bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_age_bars,nearest_raw_replay_cancel_bar_high,nearest_raw_replay_cancel_bar_low,nearest_raw_replay_cancel_bar_touched_entry,nearest_raw_replay_cancel_bars,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_pd_fallback_used,nearest_raw_replay_pd_fib_382,nearest_raw_replay_pd_fib_618,nearest_raw_replay_pd_h,nearest_raw_replay_pd_l,nearest_raw_replay_pd_outside_range,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_age_min,nearest_raw_replay_sweep_scan_expiry_min,nearest_raw_replay_sweep_scan_price,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_sweep_scan_time,nearest_raw_replay_sweep_scan_ts,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4525.33,2026-05-29 14:30:00,4516.69,2026-05-29 14:30:00,,,,-8.64,SL_GUARD_CLOSE,,,,,,SELL,,,,,-11.12,4.76,LOOSE_MATCH_SL_GUARD,4514.21,2026-05-29 13:59:24,,4511.93,M15_S3_R,2026-05-29 13:53:22,,,,-9.12,[sl 4514.21],,-2.28,-2.28,-2.28,-2.28,SELL,,,,,,,,,534412103,,,LOOSE,371.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.48,False,MISMATCH,36.63
4470.15,2026-06-02 08:45:00,4484.52,2026-06-02 06:00:00,,,,-14.37,SL,,,,,,BUY,,,,,15.76,0.0,PNL_DIFF_SAME_BUCKET,4485.905,2026-06-02 07:34:24,,4484.52,M15_S3_R,2026-06-02 07:00:39,,,,6.859999999999999,[sl 4484.91],,2.39,3.03,0.72,0.72,BUY,,,,,,,,,535974936,,,LOOSE,606.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.23,False,MISMATCH,60.65
4457.23,2026-05-28 21:00:00,4426.88,2026-05-28 20:45:00,,,,-30.35,SL,,,,,,SELL,,,,,-30.6,0.01,PNL_DIFF_SAME_BUCKET,4426.625,2026-05-28 21:50:03,,4426.89,M15_S3_G,2026-05-28 21:45:50,,,,1.06,[sl 4427.25],,2.14,-0.36,-0.36,-0.36,SELL,,,,,,,,,533893461,,,LOOSE,608.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.41,False,MISMATCH,60.83
4480.86,2026-06-01 20:00:00,4496.89,2026-06-01 14:45:00,,,,-16.03,SL,,,,,,BUY,,,,,18.58,0.0,PNL_DIFF_SAME_BUCKET,4499.44,2026-06-01 16:03:10,,4496.89,M15_S3_G,2026-06-01 15:46:02,,,,10.92,[sl 4499.44],,2.73,2.73,2.73,2.73,BUY,,,,,,,,,534365908,,,LOOSE,610.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.95,False,MISMATCH,61.03
4525.84,2026-06-01 05:00:00,4566.69,2026-05-29 23:30:00,,,,40.85,TP,,,,,,SELL,,,,,39.03,0.03,CLOSE_BUCKET_DIFF,4564.875,2026-05-30 00:54:23,,4566.72,M15_S3_G,2026-05-30 00:31:32,,,,7.38,[sl 4565.83],,2.26,3.34,0.89,0.89,SELL,,,,,,,,,534986526,,,LOOSE,615.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-33.47,False,MISMATCH,61.53
4514.99,2026-05-29 08:00:00,4499.61,2026-05-29 02:45:00,,,,-15.38,PD_FILL_FAIL,,,,,,SELL,,,,,-18.05,0.01,CLOSE_LIFECYCLE_PD,4496.9425,2026-05-29 04:07:35,,4499.62,M15_S3_G_DOJI,2026-05-29 03:46:49,,,,10.71,[sl 4497.05],,2.03,3.54,2.57,2.57,SELL,,,,,,,,,534217418,,,LOOSE,618.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.09,False,MISMATCH,61.82
4533.17,2026-06-02 17:45:00,4526.83,2026-06-02 16:45:00,,,,-6.34,PD_FILL_FAIL,,,,,,SELL,,,,,-6.25,0.0,CLOSE_LIFECYCLE_PD,4526.92,2026-06-02 18:25:35,,4526.83,M15_S3_G,2026-06-02 17:48:20,,,,-0.24,[sl 4526.92],,-0.06,-0.06,-0.06,-0.06,SELL,,,,,,,,,536262529,,,LOOSE,633.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,False,MISMATCH,63.33
,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:TIME_TOO_FAR+ENTRY_TOO_FAR,4444.702499999999,2026-05-28 09:09:22,,4446.04,M15_S3_G,2026-05-28 09:03:21,,,,-5.35,[sl 4443.58],,2.03,-2.46,-2.46,-2.46,BUY,,,,,,,,,533204662,,,,,4373.77,72.27,2026-05-28 12:15:00,SL,191.65,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1779955200,4380.41,65.63,2026-05-28 14:00:00,,,,,,ท่าที่ 3 DM SP 🟢 BUY [C1:G],False,4377.58,4384.49,4395.67,4366.4,False,,,,,,,,,,,,,M15,296.65,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4374.85,2026-05-28 12:44:54,,4374.87,M15_S3_G,2026-05-28 12:44:52,,,,0.08,PD Zone fill che,,0.02,0.02,0.02,0.02,SELL,,,,,,,,,533400791,,,,,4426.88,52.01,2026-05-28 20:45:00,SL,480.13,,,,,,,,,,,Sweep Filter scan block,CANCEL,1779945300,4374.85,0.02,2026-05-28 11:15:00,,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:G],,,,,,,,,,,,270.0,360,4448.91,SWEEP_LOW,M15,07:45 28-May-2026,1779929100,M15,89.87,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,REPLAY_PD_REJECTED:TIME_TOO_FAR+ENTRY_TOO_FAR,4384.0825,2026-05-28 18:58:13,,4380.32,M15_S3_G_DOJI,2026-05-28 18:49:51,,,,15.05,[sl 4383.98],,2.06,3.18,6.15,3.66,BUY,,,,,,,,,533528554,,,,,4373.77,6.55,2026-05-28 12:15:00,SL,394.85,,,,,,,,,,,PD Fibo Plus round1 fail,PD_FAIL,1779972300,4386.71,6.39,2026-05-28 18:45:00,,,,,,ท่าที่ 3 DM SP 🟢 BUY — Marubozu,False,4380.84,4389.76,4404.2,4366.4,False,,,,,,,,,,,,,M15,4.85,,,LIVE_ONLY,
