bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pd_fallback_used,bt_pd_fib_382,bt_pd_fib_618,bt_pd_fill_h,bt_pd_fill_l,bt_pd_h,bt_pd_l,bt_pd_outside_range,bt_pd_pending_h,bt_pd_pending_l,bt_pd_pending_round2_changed,bt_pd_pending_round2_h,bt_pd_pending_round2_l,bt_pd_round2_changed,bt_pd_round2_h,bt_pd_round2_l,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_age_bars,nearest_raw_replay_cancel_bar_high,nearest_raw_replay_cancel_bar_low,nearest_raw_replay_cancel_bar_touched_entry,nearest_raw_replay_cancel_bars,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_pd_fallback_used,nearest_raw_replay_pd_fib_382,nearest_raw_replay_pd_fib_618,nearest_raw_replay_pd_h,nearest_raw_replay_pd_l,nearest_raw_replay_pd_outside_range,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_age_min,nearest_raw_replay_sweep_scan_expiry_min,nearest_raw_replay_sweep_scan_price,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_sweep_scan_time,nearest_raw_replay_sweep_scan_ts,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4527.35,2026-06-01 09:30:00,4534.49,2026-06-01 09:17:00,,,,True,4529.17,4530.21,4531.9,4527.48,4531.9,4527.48,True,4531.9,4527.48,L,4534.4,4529.92,L,4531.9,4523.83,7.14,TP,,,,,,SELL,,,,,5.38,3.36,CLOSE_LIFECYCLE_PD,4532.73,2026-06-01 09:25:07,,4531.13,M1_S3_G,2026-06-01 09:20:12,,,,-5.0,PD Zone fill rou,,-1.25,-1.25,-1.25,-1.25,SELL,,,,,,,,,535229288,,,LOOSE,35.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12.14,False,MISMATCH,3.2
4532.67,2026-06-02 15:15:00,4533.99,2026-06-02 14:55:00,,,,False,4525.87,4531.83,4541.48,4516.22,4541.48,4516.22,False,4541.48,4516.22,,,,L,4541.48,4528.04,1.32,PD_FILL_FAIL,,,,,,SELL,,,,,3.61,1.69,CLOSE_LIFECYCLE_PD,4536.28,2026-06-02 15:04:34,,4535.68,M1_S3_R_DOJI,2026-06-02 14:59:14,,,,-2.24,[sl 4536.28],,-0.56,-0.56,-0.56,-0.56,SELL,,,,,,,,,536177711,,,NEAR,44.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.56,False,MISMATCH,4.23
4523.95,2026-06-02 13:16:00,4518.26,2026-06-02 13:15:00,,,,False,4519.51,4521.54,4524.83,4516.22,4524.83,4516.22,False,4524.83,4516.22,H,4526.84,4522.64,,,,5.69,TP,,,,,,BUY,,,,,-5.23,0.56,CLOSE_LIFECYCLE_PD,4518.72,2026-06-02 13:19:31,,4518.82,M1_S3_R,2026-06-02 13:19:29,,,,-0.4,PD Zone fill che,,-0.1,-0.1,-0.1,-0.1,BUY,,,,,,,,,536124459,,,EXACT,45.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.09,False,MISMATCH,4.48
4489.84,2026-05-29 06:40:00,4496.22,2026-05-29 03:40:00,,,,False,4498.33,4500.39,4503.73,4494.99,4503.73,4494.99,False,4503.73,4494.99,H,4503.73,4498.64,H,4500.74,4494.99,-6.38,SL,,,,,,BUY,,,,,8.87,3.38,PNL_DIFF_SAME_BUCKET,4498.7125,2026-05-29 03:55:03,,4499.6,M5_S3_G,2026-05-29 03:35:35,,,,-3.5500000000000003,[sl 4497.74],,2.03,-1.86,-1.86,-1.86,BUY,,,,,,,,,534214780,,,LOOSE,47.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.83,False,MISMATCH,4.42
4533.44,2026-05-29 21:40:00,4531.86,2026-05-29 21:37:00,,,,False,4535.85,4542.26,4552.63,4525.48,4552.63,4525.48,False,4552.63,4525.48,L,4552.63,4525.48,H,4536.63,4525.48,1.58,PD_FILL_FAIL,,,,,,BUY,,,,,-0.94,0.83,CLOSE_LIFECYCLE_PD,4532.5,2026-05-29 21:42:29,,4532.69,M1_S3_R,2026-05-29 21:42:28,,,,-0.76,PD Zone fill che,,-0.19,-0.19,-0.19,-0.19,BUY,,,,,,,,,534752055,,,NEAR,55.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.34,False,MISMATCH,5.47
4441.4,2026-06-05 11:45:00,4440.95,2026-06-05 11:00:00,4441.4,M1,,True,4489.09,4499.15,4515.42,4472.82,4515.42,4472.82,True,4515.42,4472.82,H,4483.34,4472.82,H,4483.34,4472.82,0.45,SL,,,,,,BUY,,,1,M1 4441.40,23.58,4.29,CLOSE_BUCKET_DIFF,4464.98,2026-06-05 15:23:42,,4445.24,M5_S3_R,2026-06-05 10:54:39,,,,79.16,[tp 4464.98],,19.79,19.79,19.79,19.79,BUY,,,,,,,,,538059434,,,LOOSE,57.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.71,False,MISMATCH,5.35
4514.99,2026-05-29 08:00:00,4499.61,2026-05-29 02:45:00,,,,False,4429.37,4462.67,4516.56,4375.48,4516.56,4375.48,False,4516.56,4375.48,,,,L,4516.56,4489.13,-15.38,PD_FILL_FAIL,,,,,,SELL,,,,,-12.63,2.51,PNL_DIFF_SAME_BUCKET,4502.36,2026-05-29 02:39:09,,4502.12,M1_S3_G,2026-05-29 02:39:07,,,,-0.96,PD Zone fill che,,-0.24,-0.24,-0.24,-0.24,SELL,,,,,,,,,534208684,,,NEAR,61.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.42,False,MISMATCH,5.88
4324.69,2026-06-06 03:37:00,4322.69,2026-06-06 03:34:00,,,,False,4317.42,4320.89,4326.49,4311.82,4326.49,4311.82,False,4326.49,4311.82,,,,L,4326.49,4321.74,-2.0,PD_FILL_FAIL,,,,,,SELL,,,,,-1.89,0.26,CLOSE_LIFECYCLE_PD,4322.8,2026-06-06 03:29:13,,4322.95,M1_S3_G,2026-06-06 03:27:41,,,,0.64,[sl 4322.80],,0.16,0.16,0.16,0.16,SELL,,,,,,,,,538763231,,,NEAR,63.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,False,MISMATCH,6.32
4527.74,2026-06-02 18:36:00,4528.27,2026-06-02 18:27:00,,,,False,4529.68,4531.6,4534.69,4526.59,4534.69,4526.59,False,4534.69,4526.59,,,,H,4530.77,4526.59,-0.53,PD_FILL_FAIL,,,,,,BUY,,,,,-1.96,0.32,CLOSE_LIFECYCLE_PD,4525.78,2026-06-02 18:21:55,,4528.59,M1_S3_R,2026-06-02 18:20:26,,,,-11.12,[sl 4525.78],,-2.78,-2.78,-2.78,-2.78,BUY,,,,,,,,,536273985,,,NEAR,65.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10.59,False,MISMATCH,6.57
4530.35,2026-06-02 17:45:00,4527.54,2026-06-02 17:41:00,,,,False,4526.23,4527.18,4528.71,4524.7,4528.71,4524.7,False,4528.71,4524.7,,,,L,4528.71,4525.45,-2.81,SL,,,,,,SELL,,,,,-3.43,0.71,PNL_DIFF_SAME_BUCKET,4526.92,2026-06-02 18:25:35,,4526.83,M15_S3_G,2026-06-02 17:48:20,,,,-0.24,[sl 4526.92],,-0.06,-0.06,-0.06,-0.06,SELL,,,,,,,,,536262529,,,NEAR,74.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.57,False,MISMATCH,7.33
