bt_close_price,bt_close_ts,bt_detect_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_marubozu_source,bt_pattern,bt_pd_fallback_used,bt_pd_fib_382,bt_pd_fib_618,bt_pd_fill_h,bt_pd_fill_l,bt_pd_h,bt_pd_l,bt_pd_outside_range,bt_pd_pending_h,bt_pd_pending_l,bt_pd_pending_round2_changed,bt_pd_pending_round2_h,bt_pd_pending_round2_l,bt_pd_round2_changed,bt_pd_round2_h,bt_pd_round2_l,bt_pnl,bt_reason,bt_s14_family,bt_s3_pattern_code,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_source_candle_ts,bt_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pattern,live_pnl,live_reason,live_s14_family,live_s3_pattern_code,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_age_bars,nearest_raw_replay_cancel_bar_high,nearest_raw_replay_cancel_bar_low,nearest_raw_replay_cancel_bar_touched_entry,nearest_raw_replay_cancel_bars,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_pd_fallback_used,nearest_raw_replay_pd_fib_382,nearest_raw_replay_pd_fib_618,nearest_raw_replay_pd_h,nearest_raw_replay_pd_l,nearest_raw_replay_pd_outside_range,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_age_min,nearest_raw_replay_sweep_scan_expiry_min,nearest_raw_replay_sweep_scan_price,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_sweep_scan_time,nearest_raw_replay_sweep_scan_ts,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4391.86,2026-05-28 15:15:00,2026-05-28 14:50:00,4389.13,2026-05-28 15:00:00,,,,noengulf,ท่าที่ 3 DM SP 🔴 SELL — Marubozu,False,4382.68,4387.87,4396.27,4374.28,4396.27,4374.28,False,4396.27,4374.28,,,,L,4396.27,4382.77,-2.73,PD_FILL_FAIL,,NOENGULF,,,,,SELL,,,2026-05-28 14:45:00,M5,,,-4.25,2.1,BT_CLOSE_PD_LIVE_NON_PD,4387.61,2026-05-28 15:04:08,,4387.03,M1_S3_G,2026-05-28 15:00:08,,,,G,-2.32,[sl 4387.61],,G,-0.58,-0.58,-0.58,-0.58,SELL,,,,,,,,,M1,533473762,,,NEAR,3.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.41,False,MISMATCH,0.13
4543.24,2026-06-01 07:25:00,2026-06-01 07:15:00,4540.83,2026-06-01 07:20:00,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:G_DOJI],False,4529.46,4535.69,4545.78,4519.37,4545.78,4519.37,False,4545.78,4519.37,,,,L,4545.78,4537.5,-2.41,PD_FILL_FAIL,,G_DOJI,,,,,SELL,,,,M5,,,-0.41,2.32,BT_CLOSE_PD_LIVE_NON_PD,4542.8275,2026-06-01 07:25:34,,4543.15,M1_S3_R,2026-06-01 07:20:34,,,,R,2.9699999999999998,[sl 4543.31],,R,2.19,0.26,0.26,0.26,SELL,,,,,,,,,M1,535196719,,,NEAR,7.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.38,False,MISMATCH,0.57
4529.6,2026-05-29 19:13:00,2026-05-29 19:09:00,4529.44,2026-05-29 19:12:00,,,,noengulf,ท่าที่ 3 DM SP 🟢 BUY — Marubozu,False,4532.03,4534.69,4539.01,4527.71,4539.01,4527.71,False,4539.01,4527.71,,,,,,,0.16,SL,,NOENGULF,,,,,BUY,,,2026-05-29 19:08:00,M1,,,1.66,1.6,LIVE_CLOSE_PD_BT_NON_PD,4531.26,2026-05-29 19:13:14,,4531.04,M30_S3_R,2026-05-29 19:13:13,,,,R,0.88,PD Zone fill che,,R,0.22,0.22,0.22,0.22,BUY,,,,,,,,,M30,534621963,,,NEAR,13.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,False,MISMATCH,1.22
4481.08,2026-06-02 08:39:00,2026-06-02 08:35:00,4488.34,2026-06-02 08:36:00,,,,noengulf,ท่าที่ 3 DM SP 🔴 SELL — Marubozu,False,4485.31,4488.01,4492.37,4480.95,4492.37,4480.95,False,4492.37,4480.95,,,,,,,7.26,TP,,NOENGULF,,,,,SELL,,,2026-06-02 08:34:00,M1,,,5.89,0.86,LIVE_CLOSE_PD_BT_NON_PD,4486.974999999999,2026-06-02 08:47:07,,4489.2,M1_S3_G,2026-06-02 08:38:16,,,,G,9.18,PD Zone fill rou,,G,2.35,3.17,1.83,1.83,SELL,,,,,,,,,M1,535997418,,,EXACT,23.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.92,False,MISMATCH,2.27
4532.67,2026-06-02 15:15:00,2026-06-02 14:40:00,4533.99,2026-06-02 14:55:00,,,,noengulf,ท่าที่ 3 DM SP 🔴 SELL — Marubozu,False,4525.87,4531.83,4541.48,4516.22,4541.48,4516.22,False,4541.48,4516.22,,,,L,4541.48,4528.04,1.32,PD_FILL_FAIL,,NOENGULF,,,,,SELL,,,2026-06-02 14:35:00,M5,,,3.61,1.69,BT_CLOSE_PD_LIVE_NON_PD,4536.28,2026-06-02 15:04:34,,4535.68,M1_S3_R_DOJI,2026-06-02 14:59:14,,,,R_DOJI,-2.24,[sl 4536.28],,R_DOJI,-0.56,-0.56,-0.56,-0.56,SELL,,,,,,,,,M1,536177711,,,NEAR,44.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.56,False,MISMATCH,4.23
4523.95,2026-06-02 13:16:00,2026-06-02 13:00:00,4518.26,2026-06-02 13:15:00,,,,,ท่าที่ 3 DM SP 🟢 BUY [C1:R],False,4519.51,4521.54,4524.83,4516.22,4524.83,4516.22,False,4524.83,4516.22,H,4526.84,4522.64,,,,5.69,TP,,R,,,,,BUY,,,,M1,,,-5.23,0.56,LIVE_CLOSE_PD_BT_NON_PD,4518.72,2026-06-02 13:19:31,,4518.82,M1_S3_R,2026-06-02 13:19:29,,,,R,-0.4,PD Zone fill che,,R,-0.1,-0.1,-0.1,-0.1,BUY,,,,,,,,,M1,536124459,,,EXACT,45.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.09,False,MISMATCH,4.48
4527.35,2026-06-01 09:30:00,2026-06-01 08:24:00,4534.49,2026-06-01 09:17:00,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:G],True,4529.17,4530.21,4531.9,4527.48,4531.9,4527.48,True,4531.9,4527.48,L,4534.4,4529.92,L,4531.9,4523.83,7.14,TP,,G,,,,,SELL,,,,M1,,,4.04,1.59,CLOSE_BUCKET_DIFF,4531.3875,2026-06-01 09:33:19,,4536.08,M15_S3_G,2026-06-01 09:21:36,,,,G,18.77,[sl 4529.92],,G,2.41,3.84,6.36,6.16,SELL,,,,,,,,,M15,535227924,,,NEAR,47.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.63,False,MISMATCH,4.6
4499.45,2026-05-29 03:30:00,2026-05-29 02:30:00,4499.61,2026-05-29 02:45:00,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:G_DOJI],False,4429.37,4462.67,4516.56,4375.48,4516.56,4375.48,False,4516.56,4375.48,,,,,,,0.16,SL,,G_DOJI,,,,,SELL,,,,M15,,,2.91,2.51,LIVE_CLOSE_PD_BT_NON_PD,4502.36,2026-05-29 02:39:09,,4502.12,M1_S3_G,2026-05-29 02:39:07,,,,G,-0.96,PD Zone fill che,,G,-0.24,-0.24,-0.24,-0.24,SELL,,,,,,,,,M1,534208684,,,NEAR,61.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.12,False,MISMATCH,5.88
4397.61,2026-05-28 16:21:00,2026-05-28 15:39:00,4393.48,2026-05-28 16:21:00,,,,,ท่าที่ 3 DM SP 🔴 SELL [C1:R],True,4387.89,4389.13,4391.13,4385.89,4391.13,4385.89,True,4391.13,4385.89,H,4395.04,4386.3,L,4391.13,4386.6,-4.13,SL,,R,,,,,SELL,,,,M1,,,-6.95,0.2,CLOSE_PRICE_DIFF_SAME_BUCKET,4390.655,2026-05-28 16:30:59,,4393.28,M1_S3_G_DOJI,2026-05-28 16:14:51,,,,G_DOJI,10.5,[sl 4390.70],,G_DOJI,2.25,3.09,2.58,2.58,SELL,,,,,,,,,M1,533577240,,,NEAR,61.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.63,False,MISMATCH,6.15
4324.69,2026-06-06 03:37:00,2026-06-06 03:32:00,4322.69,2026-06-06 03:34:00,,,,noengulf,ท่าที่ 3 DM SP 🔴 SELL — Marubozu,False,4317.42,4320.89,4326.49,4311.82,4326.49,4311.82,False,4326.49,4311.82,,,,L,4326.49,4321.74,-2.0,PD_FILL_FAIL,,NOENGULF,,,,,SELL,,,2026-06-06 03:31:00,M1,,,-1.89,0.26,BT_CLOSE_PD_LIVE_NON_PD,4322.8,2026-06-06 03:29:13,,4322.95,M1_S3_G,2026-06-06 03:27:41,,,,G,0.64,[sl 4322.80],,G,0.16,0.16,0.16,0.16,SELL,,,,,,,,,M1,538763231,,,NEAR,63.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.64,False,MISMATCH,6.32
