idx,rel_path,size_mb,pages,sha256,duplicate_of,text_chars,thai_chars,status,text_file,error
17,All in 4s Collector’s Edition (2)_part15.pdf,17.206,92,03f5f4a1852ea84af585c01dcb84e2a9f15d5f09ca94e0f3908f6dd9c4c6f979,,403,0,text_extracted,tmp\allin4s_pdf_audit\text\017_All_in_4s_Collector_s_Edition_2__part15.pdf.txt,
18,All in 4s Collector’s Edition (2)_part16.pdf,16.448,92,4347c9d25f3d04facc3d117fc36131348438f4587e154d40f741f854983ee58f,,504,0,text_extracted,tmp\allin4s_pdf_audit\text\018_All_in_4s_Collector_s_Edition_2__part16.pdf.txt,
19,All in 4s Collector’s Edition (2)_part17.pdf,17.498,92,c19b625fa7add9356548cb4f0f26137333061359be3eb42b5eade8255ce4d952,,370,0,text_extracted,tmp\allin4s_pdf_audit\text\019_All_in_4s_Collector_s_Edition_2__part17.pdf.txt,
20,All in 4s Collector’s Edition (2)_part18.pdf,16.67,92,5b87d50c1a1e19ad2044abfa83ce18f06e9f6d514f26796850fe1ebd6ab23a54,,543,1,text_extracted,tmp\allin4s_pdf_audit\text\020_All_in_4s_Collector_s_Edition_2__part18.pdf.txt,
21,All in 4s Collector’s Edition (2)_part19.pdf,13.16,61,c5ff6c272191d462e534a8dc1dad62be944dd3fd928eb2719fff610e9bfcd41c,,358,146,text_extracted,tmp\allin4s_pdf_audit\text\021_All_in_4s_Collector_s_Edition_2__part19.pdf.txt,
22,All in 4s Collector’s Edition (2)_part2.pdf,20.855,92,991fd2b8a9dc0cea23c9c2cf9535609be4e144260be9a5bd10eae27d3c31442d,,983,370,text_extracted,tmp\allin4s_pdf_audit\text\022_All_in_4s_Collector_s_Edition_2__part2.pdf.txt,
23,All in 4s Collector’s Edition (2)_part20.pdf,15.557,80,412558cd2ca42f0247407963e0f98fc40a7ca72d659b28f100a09cb335932ea3,,388,0,text_extracted,tmp\allin4s_pdf_audit\text\023_All_in_4s_Collector_s_Edition_2__part20.pdf.txt,
24,All in 4s Collector’s Edition (2)_part21.pdf,14.797,80,1ed17f3ab8b4703915620daa269669a0b579df8deb5b727da81b236c05c64157,,359,1,text_extracted,tmp\allin4s_pdf_audit\text\024_All_in_4s_Collector_s_Edition_2__part21.pdf.txt,
25,All in 4s Collector’s Edition (2)_part22.pdf,7.899,37,eaed840cd0d9d670f86187526a9a020f55a33fe15daf8c9f0c03704e202b3d43,,358,146,text_extracted,tmp\allin4s_pdf_audit\text\025_All_in_4s_Collector_s_Edition_2__part22.pdf.txt,
26,All in 4s Collector’s Edition (2)_part3.pdf,17.747,92,b505e64a0cd247cb10c522a5f564ae38edfd255d20153736299732ed58a7a8d5,,918,253,text_extracted,tmp\allin4s_pdf_audit\text\026_All_in_4s_Collector_s_Edition_2__part3.pdf.txt,
27,All in 4s Collector’s Edition (2)_part4.pdf,17.799,92,0e655f7cf4891f87c4a12dfc0e63da9a2d6c709943792acfbcb45a3dfcec9a1c,,1797,613,text_extracted,tmp\allin4s_pdf_audit\text\027_All_in_4s_Collector_s_Edition_2__part4.pdf.txt,
28,All in 4s Collector’s Edition (2)_part5.pdf,15.694,92,e8f4d8dd199b1985568f55fad9447dd809c5f6080d2eb63d477bd636c36e3b13,,1176,288,text_extracted,tmp\allin4s_pdf_audit\text\028_All_in_4s_Collector_s_Edition_2__part5.pdf.txt,
29,All in 4s Collector’s Edition (2)_part6.pdf,16.554,92,9b40defa786587f25707dd72c00f9917e5513cd95aaf560090999507cc1c3bcb,,910,96,text_extracted,tmp\allin4s_pdf_audit\text\029_All_in_4s_Collector_s_Edition_2__part6.pdf.txt,
30,All in 4s Collector’s Edition (2)_part7.pdf,18.201,92,dd1d11b5ed87b8f70816e88d4b37edd42521e593e62ab1051636968d2f72f116,,439,18,text_extracted,tmp\allin4s_pdf_audit\text\030_All_in_4s_Collector_s_Edition_2__part7.pdf.txt,
31,All in 4s Collector’s Edition (2)_part8.pdf,17.361,92,d2e22eefc7559b3d203e79d0c1726661ff433846976a6197b9437233ff4be0ad,,478,49,text_extracted,tmp\allin4s_pdf_audit\text\031_All_in_4s_Collector_s_Edition_2__part8.pdf.txt,
32,All in 4s Collector’s Edition (2)_part9.pdf,17.455,92,2b232f4e1d43f9c32061b0f7fa4a8f48d9f4dd5501270952d28d6dec9953ca1e,,297,26,text_extracted,tmp\allin4s_pdf_audit\text\032_All_in_4s_Collector_s_Edition_2__part9.pdf.txt,
33,First\SW.pdf,0.233,8,f5a937a711eba5f21c1e43c10e0fe7a63169477005ff503793fc7ad76252c693,,778,476,text_extracted,tmp\allin4s_pdf_audit\text\033_First_SW.pdf.txt,
34,First\Your paragraph text.pdf.pdf,1.02,28,444cd51f1713255ad1a4f1696d59ee2ad31407e47cd12d094b28efedb08113ea,,4140,2818,text_extracted,tmp\allin4s_pdf_audit\text\034_First_Your_paragraph_text.pdf.pdf.txt,
35,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked.pdf,129.58,119,997f341841a7dea69c4a4f52bdee09620e21363658e2a8e79653efc367222c73,,0,0,image_only,,
36,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part1.pdf,11.015,13,48470f80dee24f1d8f4a22455812a93b8222f80dddb97fc98dc351a7e3dd4376,,0,0,image_only,,
37,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part10.pdf,1.755,2,e53396d2accdfe6b7b2d4c78356d2d27bac433468c125086ca5bf2d1dfbadd84,,0,0,image_only,,
38,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part2.pdf,16.228,13,463c01cf346d1ab0d21c98d799cb71d3af78c01c72165b3a95cc7b0cc862309d,,0,0,image_only,,
39,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part3.pdf,16.69,13,1ed423ce8e1aa7d63b985f7640c413e27d3ae8e11326dd09036392b2bc8dab7c,,0,0,image_only,,
40,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part4.pdf,14.784,13,5dae0c27459c84d1c4fbe606021693f750e71f147abe34771106791796ceae2e,,0,0,image_only,,
41,กลุ่มDaf RP3\ALCHEMIST 2.00 AbayFX (1)_unlocked_part5.pdf,14.73,13,b288d5c6b70559e541bb4464af8d7c92bea24f1177463e526f47090a3ecbc762,,0,0,image_only,,
