idx,rel_path,size_mb,pages,sha256,duplicate_of,text_chars,thai_chars,status,text_file,error
100,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part7.pdf,18.201,92,dd1d11b5ed87b8f70816e88d4b37edd42521e593e62ab1051636968d2f72f116,All in 4s Collector’s Edition (2)_part7.pdf,439,18,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\100_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part7.pdf.txt,
101,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part8.pdf,17.361,92,d2e22eefc7559b3d203e79d0c1726661ff433846976a6197b9437233ff4be0ad,All in 4s Collector’s Edition (2)_part8.pdf,478,49,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\101_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part8.pdf.txt,
102,เทคนิคการเทรดพี่นาย\All in 4s Collector’s Edition_part9.pdf,17.455,92,2b232f4e1d43f9c32061b0f7fa4a8f48d9f4dd5501270952d28d6dec9953ca1e,All in 4s Collector’s Edition (2)_part9.pdf,297,26,duplicate_text_extracted,tmp\allin4s_pdf_audit\text\102_เทคนิคการเทรดพี่นาย_All_in_4s_Collector_s_Edition_part9.pdf.txt,
103,เทคนิคการเทรดพี่นาย\Demand&Supply.pdf,4.726,19,139c388a1637beeb057b4610000c406dae175900dccd5d7ea3d0b47ed38a0205,,0,0,image_only,,
104,เทคนิคการเทรดพี่นาย\FIBO.pdf,5.143,26,0e459ceb813b53ae2528863912dcc253ff08c49d6a06c9cc858a2c77f2fbf74e,,0,0,image_only,,
105,เทคนิคการเทรดพี่นาย\กลับต้ว.pdf,1.053,7,2842d4d855fe1593971342275369bec3ebe7e4bfa4cf6817c05c50bd744d70c0,,108,29,low_text_mostly_image,tmp\allin4s_pdf_audit\text\105_เทคนิคการเทรดพี่นาย_กลับต้ว.pdf.txt,
106,เทคนิคการเทรดพี่นาย\การ SW หลอก.pdf,2.182,6,14bd29cd0b56e0fbe7fa2ac47206b639acfdd8a4c84a8fc1df110c01c6c771d9,,0,0,image_only,,
107,เทคนิคการเทรดพี่นาย\การดูแพทเทิร์นไปต่อหรือการรับแรง.pdf,5.714,19,62626128b2ada5faf12cc634239b3af84abb9efc55a9f854c07526b5bf33e085,,0,0,image_only,,
108,เทคนิคการเทรดพี่นาย\การอ่านเเรงเเท่งเทียน.pdf,14.414,20,2d143f3e14b56c32825724228e62b56e18262fbd7b255b2d9e67c90ff4c5a9b9,,0,0,image_only,,
109,เทคนิคการเทรดพี่นาย\ขั้นตอนในการอ่านกราฟก่อนจะเข้าเทรด.pdf,5.725,18,7522e06fd81c02b0cc6c8d568704e74748601008c604b85bc97ca7a0766f640f,,0,0,image_only,,
110,เทคนิคการเทรดพี่นาย\ความลับของเเท่งเคลียร์ชนิดของเเท่งเคลียร์.pdf,10.434,25,cbe7c5e59e65b210e4fc25eefb33ca2699437160b0b657e586906b337492d03b,,54,37,low_text_mostly_image,tmp\allin4s_pdf_audit\text\110_เทคนิคการเทรดพี่นาย_ความลับของเเท่งเคลียร์ชนิดของเเท่งเคลียร์.pdf.txt,
111,เทคนิคการเทรดพี่นาย\ความสัมพัยธ์ระหว่างแท่งเทียน.pdf,1.633,7,d2d10be2d907acc57ccb8e37ebfd7f8e7d6f001139881b46d647b40f0f71905f,,260,149,text_extracted,tmp\allin4s_pdf_audit\text\111_เทคนิคการเทรดพี่นาย_ความสัมพัยธ์ระหว่างแท่งเทียน.pdf.txt,
112,เทคนิคการเทรดพี่นาย\คีย์ในการอ่านอนาคต เเละ เลขจิตวิทยา_20250803_150252_0000.pdf,1.272,8,6f83168ecec21029ea17ed12b31b65a70ca6f9386fb4815578a84bcc6f865e18,,0,0,image_only,,
113,เทคนิคการเทรดพี่นาย\นัยยะสำคัญ.pdf,3.216,20,d5208dec12b79b8bb41c1987c514aba4fb2485e29a20d0f26f264114cf783642,,0,0,image_only,,
114,เทคนิคการเทรดพี่นาย\สรุปออเดอร์ที่ผ่านมาของอาจารย์.pdf,4.753,34,5c58c0ef9bf49b152e8b22c17e788d7d1177b029c90d24329904c7c66db546f7,,0,0,image_only,,
115,เทคนิคการเทรดพี่นาย\เชิงแท่งเทียน_20250803_152020_0000.pdf,2.404,9,79e8899b66fb60f56beefe9f0206f4bf988bdb19c5cd2dbc01989a6449bf4d31,,156,76,low_text_mostly_image,tmp\allin4s_pdf_audit\text\115_เทคนิคการเทรดพี่นาย_เชิงแท่งเทียน_20250803_152020_0000.pdf.txt,
116,เทคนิคการเทรดพี่นาย\เทคนิคการ Follw Trend.pdf,2.567,11,ab64d7a58106ed22423f70903bdd07b340dd80032ce30118914b2f4b64f2a5d6,,0,0,image_only,,
117,เทคนิคการเทรดพี่นาย\โครงสร้าง 2L 2H.pdf,1.577,8,736595844b978fae32945702ba0d9cf080aa034b5191ccdebff273bce0206dcc,,0,0,image_only,,
118,เทคนิคการเทรดพี่นาย\โครงสร้างหลอกกลับตัว_20250803_152119_0000.pdf,4.596,23,e34ed5d259f438f41660a963ca617cc2034a842c2c09c067d18f6bfafe4731ef,,135,60,low_text_mostly_image,tmp\allin4s_pdf_audit\text\118_เทคนิคการเทรดพี่นาย_โครงสร้างหลอกกลับตัว_20250803_152119_0000.pdf.txt,
119,เทคนิคการเทรดพี่นาย\โครงสร้างเเท่งเทียน.pdf,7.601,12,dfb9d924702603d7e2509514b0f70d940096734ed39f88a3f4c2242279d8de2a,,0,0,image_only,,
120,โครงสร้างกลับตัวหลอก.pdf,3.383,23,df5d550c4f8afc22ac37ff06be118ab999e8406e6a86cf0dcde9320eae81f501,,0,0,image_only,,
