Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1431,186,1245,0,545.2800000000001,545.2800000000001
2025-04,4350,799,3551,0,228514.88,229060.16
2025-05,4620,680,3940,0,135218.81,364278.97
2025-06,4529,627,3902,0,79785.63,444064.6
2025-07,5074,674,4400,0,99253.11,543317.71
2025-08,4568,556,4012,0,-2065.35,541252.36
2025-09,4224,707,3517,0,7323.2,548575.5599999999
2025-10,4726,647,4079,0,14896.320000000002,563471.8799999999
2025-11,4318,717,3601,0,7684.96,571156.8399999999
2025-12,6579,673,5906,0,-31199.1,539957.7399999999
2026-01,4857,715,4142,0,959.6800000000004,540917.4199999999
2026-02,4771,558,4213,0,-15103.66,525813.7599999999
2026-03,4758,529,4229,0,-15143.69,510670.0699999999
2026-04,4716,561,4151,0,-9239.23,501430.8399999999
2026-05,5018,626,4392,0,-12362.77,489068.0699999999
2026-06,4868,736,4132,0,47522.17,536590.2399999999
2026-07,5118,646,4459,0,-931.7900000000002,535658.4499999998
2026-08,4874,503,4371,0,-17958.88,517699.56999999983
2026-09,3050,470,2552,0,9418.76,527118.3299999998
