Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,38,12,26,0,651.72
ATR,H12,2,0,2,0,-129.32
ATR,M15,177,39,137,0,143.74999999999997
ATR,M30,109,25,84,0,-233.95000000000002
Div,D1,5,0,5,0,-666.8399999999999
Div,H1,149,25,124,0,-2033.3
Div,H12,15,0,15,0,-914.72
Div,M15,397,55,342,0,-2275.16
Div,M30,318,32,286,0,-3967.9900000000002
Div/ATR,M15,3,0,3,0,-42.94
Div/FollowDiv,H1,5,1,4,0,-22.08
Div/FollowDiv,M15,12,1,11,0,-49.55000000000002
Div/FollowDiv,M30,12,2,10,0,-65.96
Doji,M15,1,0,1,0,-14.73
Doji,M30,5,0,5,0,-70.44
Fibo,D1,1,1,0,0,249.95
Fibo,H1,6,0,6,0,-42.24
Fibo,H12,4,1,3,0,-107.84
Fibo,M15,14,5,9,0,-14.080000000000002
Fibo,M30,1,0,1,0,-0.86
Fibo/ATR,M15,1,1,0,0,33.08
FollowDiv,D1,5,0,5,0,-421.83
FollowDiv,H1,74,13,61,0,123.39000000000001
FollowDiv,H12,8,0,8,0,-716.62
FollowDiv,M15,548,124,424,0,552.3799999999999
FollowDiv,M30,228,55,173,0,300.20000000000005
FollowDiv/ATR,M15,1,0,1,0,-5.15
FollowDiv/ATR,M30,1,0,1,0,-16.08
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
Naiya,D1,50,4,44,0,-813.99
Naiya,H1,5440,920,4509,0,498309.82
Naiya,H12,93,15,78,0,-749.1800000000001
Naiya,M15,5070,997,4073,0,3812.69
Naiya,M30,2602,548,2054,0,3532.19
Naiya Doji,D1,196,30,152,0,-1584.67
Naiya Doji,H1,9046,1001,8045,0,-7436.03
Naiya Doji,H12,461,49,404,0,3234.1500000000005
Naiya Doji,M15,40317,4726,35590,0,4093.74
Naiya Doji,M30,19354,2390,16963,0,15443.0
Naiya Hidden,D1,7,1,6,0,-753.74
Naiya Hidden,H1,131,27,104,0,-698.53
Naiya Hidden,H12,12,2,8,0,38.83999999999999
Naiya Hidden,M15,543,137,406,0,-468.88000000000005
Naiya Hidden,M30,279,73,206,0,602.08
Naiya/ATR,H1,30,10,20,0,2224.62
Naiya/Div,H1,154,12,142,0,8956.42
Naiya/Div/ATR,H1,1,0,1,0,-43.03
Naiya/Doji,H1,2,2,0,0,1643.81
Naiya/FollowDiv,H1,33,4,29,0,3050.01
