Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-09,77,56,21,0,588.68,588.68
2025-10,186,136,50,0,2435.56,3024.24
2025-11,118,82,36,0,1362.7,4386.94
2025-12,108,72,36,0,976.59,5363.53
2026-01,150,107,43,0,1678.52,7042.05
2026-02,62,38,24,0,1380.77,8422.82
2026-03,52,15,37,0,322.7,8745.52
2026-04,93,52,41,0,998.94,9744.46
2026-05,123,67,56,0,1127.16,10871.62
2026-06,94,47,47,0,690.05,11561.67
2026-07,131,73,58,0,1144.27,12705.94
2026-08,156,111,45,0,2005.72,14711.66
2026-09,85,51,34,0,647.46,15359.12
