Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-09-17,2,0,2,0,-15.89,-15.89
2025-09-18,6,3,3,0,7.26,-8.63
2025-09-19,2,2,0,0,69.23,60.6
2025-09-21,2,2,0,0,37.37,97.97
2025-09-22,11,10,1,0,103.43,201.4
2025-09-23,11,7,4,0,24.48,225.88
2025-09-24,6,3,3,0,-5.18,220.7
2025-09-25,8,4,4,0,45.81,266.51
2025-09-26,9,7,2,0,76.92,343.43
2025-09-29,14,14,0,0,219.87,563.3
2025-09-30,6,4,2,0,25.38,588.68
2025-10-01,7,4,3,0,123.91,712.59
2025-10-02,3,3,0,0,65.38,777.97
2025-10-03,3,3,0,0,78.65,856.62
2025-10-05,2,2,0,0,40.06,896.68
2025-10-06,15,15,0,0,224.28,1120.96
2025-10-07,14,11,3,0,108.91,1229.87
2025-10-08,20,17,3,0,163.64,1393.51
2025-10-09,4,2,2,0,47.0,1440.51
2025-10-12,2,2,0,0,161.66,1602.17
2025-10-13,14,14,0,0,241.5,1843.67
2025-10-14,10,9,1,0,129.01,1972.68
2025-10-15,9,9,0,0,226.43,2199.11
2025-10-16,18,16,2,0,315.57,2514.68
2025-10-17,7,2,5,0,-103.73,2410.95
2025-10-20,7,5,2,0,272.85,2683.8
2025-10-21,4,0,4,0,-92.71,2591.09
2025-10-22,7,1,6,0,-197.57,2393.52
2025-10-23,6,4,2,0,222.61,2616.13
2025-10-24,6,4,2,0,131.0,2747.13
2025-10-26,2,0,2,0,-55.07,2692.06
2025-10-27,4,0,4,0,-76.97,2615.09
2025-10-28,2,0,2,0,-49.81,2565.28
2025-10-29,4,2,2,0,182.69,2747.97
2025-10-30,11,9,2,0,291.21,3039.18
2025-10-31,5,2,3,0,-14.94,3024.24
2025-11-03,9,7,2,0,146.38,3170.62
2025-11-04,4,0,4,0,-63.11,3107.51
2025-11-06,4,4,0,0,177.76,3285.27
2025-11-07,5,5,0,0,113.33,3398.6
2025-11-09,2,2,0,0,25.22,3423.82
2025-11-10,12,12,0,0,201.62,3625.44
2025-11-11,7,4,3,0,20.91,3646.35
2025-11-12,2,2,0,0,81.84,3728.19
