Time (BKK),TF,Pattern,Type,Entry,SL,TP,Lot,RSI,ATR,ADX,Hour,dist_sma50,dist_sma200,body,range,CloseTime (BKK),Close,P&L,Balance,Reason,Date,Month,MT5_Ticket,MT5_Time,MT5_Entry,MT5_Comment
2026-09-02 16:15,M15,Naiya_MTF,BUY,4365.58,4346.06,4443.81,0.01,74.87,13.01,65.95,16,0,0,0.41,7.35,2026-09-03 12:45,4443.81,78.23,24859.36000000003,TP,2026-09-03,2026-09,581591812,2026-09-04 14:21,0.0,M5_S20.1423
2026-09-02 16:30,M30,Naiya_MTF,BUY,4364.55,4342.28,4443.81,0.01,77.23,14.85,30.58,16,0,0,0.57,10.65,2026-09-03 12:30,4443.81,79.26,24938.62000000003,TP,2026-09-03,2026-09,581593719,2026-09-04 14:26,0.0,M1_S20.1423
2026-09-03 13:15,M15,Naiya_MTF,BUY,4437.86,4426.5,4471.94,0.01,63.27,7.58,21.09,13,0,0,2.79,11.27,2026-09-03 13:30,4471.94,34.08,24972.700000000033,TP,2026-09-03,2026-09,581595734,2026-09-04 14:30,0.0,M5_S20.1423
2026-09-03 14:30,M30,Naiya_MTF,BUY,4456.88,4433.27,4609.91,0.01,69.68,15.74,36.57,14,0,0,9.11,25.52,2026-09-04 13:30,4433.27,-23.61,24949.090000000033,SL,2026-09-04,2026-09,581595740,2026-09-04 14:30,0.0,M15_S20.1423
2026-09-03 14:45,M15,Naiya_MTF,BUY,4456.88,4437.85,4471.94,0.01,75.22,12.68,28.89,14,0,0,0.88,14.19,2026-09-03 15:00,4471.94,15.06,24964.15000000003,TP,2026-09-03,2026-09,581596585,2026-09-04 14:33,0.0,M1_S20.1423
2026-09-03 15:30,M15,Naiya_MTF,BUY,4466.09,4444.93,4609.91,0.01,70.08,14.1,34.16,15,0,0,4.8,13.65,2026-09-04 13:30,4444.93,-21.16,24942.99000000003,SL,2026-09-04,2026-09,581609860,2026-09-04 15:02,0.0,M1_S20.1423
2026-09-04 15:45,M15,Naiya_MTF,BUY,4417.18,4384.02,4443.81,0.01,38.04,22.11,49.75,15,0,0,0.96,14.92,2026-09-04 16:15,4443.81,26.63,24969.62000000003,TP,2026-09-04,2026-09,581626767,2026-09-04 15:40,0.0,M1_S20.1423
2026-09-04 17:00,M30,Naiya_MTF,BUY,4432.24,4398.33,4471.94,0.01,39.58,22.6,29.04,17,0,0,2.31,11.17,2026-09-07 02:00,4398.33,-33.91,24935.71000000003,SL,2026-09-07,2026-09,581659324,2026-09-04 17:00,0.0,M5_S20.1423
2026-09-04 17:00,M15,Naiya_MTF,BUY,4432.24,4405.86,4471.94,0.01,72.61,17.59,40.85,17,0,0,2.14,8.13,2026-09-07 02:00,4405.86,-26.38,24909.33000000003,SL,2026-09-07,2026-09,581659744,2026-09-04 17:01,0.0,M1_S20.1423
2026-09-07 04:45,M15,Naiya_MTF,BUY,4401.27,4386.66,4448.95,0.01,37.12,9.74,41.82,4,0,0,2.27,3.69,2026-09-07 07:00,4386.66,-14.61,24894.72000000003,SL,2026-09-07,2026-09,582147128,2026-09-07 06:07,0.0,M1_S20.1423
2026-09-07 05:30,M30,Naiya_MTF,BUY,4394.37,4378.31,4448.95,0.01,16.36,10.71,42.99,5,0,0,4.24,8.21,2026-09-08 19:30,4378.31,-16.06,24878.660000000033,SL,2026-09-08,2026-09,582147240,2026-09-07 06:09,0.0,M1_S20.1423
2026-09-07 07:45,M15,Naiya_MTF,BUY,4391.3,4379.76,4413.28,0.01,37.32,7.69,17.62,7,0,0,3.52,7.88,2026-09-07 09:00,4413.28,21.98,24900.64000000003,TP,2026-09-07,2026-09,582156416,2026-09-07 07:45,0.0,M15_S20.1423
2026-09-07 09:45,M15,Naiya_MTF,BUY,4409.66,4395.9,4448.95,0.01,49.93,9.18,17.57,9,0,0,3.71,5.59,2026-09-07 11:15,4395.9,-13.76,24886.88000000003,SL,2026-09-07,2026-09,582204709,2026-09-07 10:03,0.0,M1_S20.1423
2026-09-07 11:45,M15,Naiya_MTF,BUY,4388.13,4376.73,4413.28,0.01,47.39,7.6,16.8,11,0,0,6.94,10.62,2026-09-07 15:45,4413.28,25.15,24912.030000000028,TP,2026-09-07,2026-09,582238002,2026-09-07 11:46,0.0,M1_S20.1423
2026-09-07 16:00,M15,Naiya_MTF,BUY,4409.22,4399.65,4448.95,0.01,87.85,6.38,47.63,16,0,0,1.16,7.43,2026-09-08 07:15,4399.65,-9.57,24902.46000000003,SL,2026-09-08,2026-09,582335620,2026-09-07 16:00,0.0,M15_S20.1423
2026-09-08 10:30,M15,Naiya_MTF,BUY,4390.82,4378.31,4413.28,0.01,41.47,8.34,64.54,10,0,0,8.43,12.94,2026-09-08 19:45,4378.31,-12.51,24889.95000000003,SL,2026-09-08,2026-09,582623307,2026-09-08 10:30,0.0,M1_S20.1423
2026-09-08 23:30,M30,Naiya_MTF,BUY,4350.51,4333.59,4403.75,0.01,1.23,11.28,37.41,23,0,0,0.81,5.55,2026-09-09 07:00,4403.75,53.24,24943.19000000003,TP,2026-09-09,2026-09,583032397,2026-09-08 23:36,0.0,M1_S20.1423
2026-09-08 23:30,M15,Naiya_MTF,BUY,4350.51,4338.1,4403.75,0.01,6.53,8.28,81.03,23,0,0,3.09,5.55,2026-09-09 07:00,4403.75,53.24,24996.43000000003,TP,2026-09-09,2026-09,583033328,2026-09-08 23:39,0.0,M1_S20.1423
2026-09-09 07:15,M15,Naiya_MTF,BUY,4395.27,4385.98,4403.75,0.01,65.83,6.19,45.58,7,0,0,3.2,7.86,2026-09-09 07:30,4403.75,8.48,25004.91000000003,TP,2026-09-09,2026-09,583181237,2026-09-09 10:01,0.0,M1_S20.1423
2026-09-09 09:30,M15,Naiya_MTF,BUY,4398.98,4389.11,4409.34,0.01,63.5,6.58,59.13,9,0,0,0.28,4.58,2026-09-09 10:45,4389.11,-9.87,24995.04000000003,SL,2026-09-09,2026-09,583181872,2026-09-09 10:04,0.0,M1_S20.1423
2026-09-09 11:00,M30,Naiya_MTF,BUY,4386.26,4373.16,4403.75,0.01,63.16,8.73,44.97,11,0,0,3.65,9.76,2026-09-09 12:00,4403.75,17.49,25012.530000000028,TP,2026-09-09,2026-09,583200738,2026-09-09 11:00,0.0,M1_S20.1423
2026-09-09 11:00,M15,Naiya_MTF,BUY,4386.26,4378.42,4403.75,0.01,35.8,5.23,47.74,11,0,0,0.49,7.23,2026-09-09 12:00,4403.75,17.49,25030.020000000026,TP,2026-09-09,2026-09,583200752,2026-09-09 11:00,0.0,M15_S20.1423
2026-09-09 13:30,M30,Naiya_MTF,BUY,4390.9,4376.49,4403.75,0.01,50.92,9.6,42.73,13,0,0,6.31,11.36,2026-09-09 14:00,4403.75,12.85,25042.870000000028,TP,2026-09-09,2026-09,583239529,2026-09-09 13:30,0.0,M5_S20.1423
2026-09-09 13:30,M15,Naiya_MTF,BUY,4390.9,4380.7,4403.75,0.01,46.57,6.8,17.3,13,0,0,1.6,6.72,2026-09-09 14:00,4403.75,12.85,25055.72000000003,TP,2026-09-09,2026-09,583240668,2026-09-09 13:33,0.0,M1_S20.1423
2026-09-09 14:45,M15,Naiya_MTF,BUY,4410.74,4395.44,4448.95,0.01,62.53,10.2,26.08,14,0,0,2.13,12.99,2026-09-09 16:00,4395.44,-15.3,25040.420000000027,SL,2026-09-09,2026-09,583269445,2026-09-09 14:45,0.0,M15_S20.1423
2026-09-09 15:00,M30,Naiya_MTF,BUY,4409.94,4390.68,4448.95,0.01,57.87,12.84,33.53,15,0,0,10.82,18.67,2026-09-09 16:00,4390.68,-19.26,25021.16000000003,SL,2026-09-09,2026-09,583272956,2026-09-09 14:59,0.0,M1_S20.1423
2026-09-09 17:00,M30,Naiya_MTF,BUY,4391.59,4365.17,4409.34,0.01,51.21,17.61,20.59,17,0,0,3.18,11.51,2026-09-09 17:30,4409.34,17.75,25038.91000000003,TP,2026-09-09,2026-09,583323781,2026-09-09 17:00,0.0,M15_S20.1423
2026-09-09 17:15,M15,Naiya_MTF,BUY,4391.59,4366.87,4409.34,0.01,50.7,16.48,31.43,17,0,0,3.75,10.85,2026-09-09 17:45,4409.34,17.75,25056.66000000003,TP,2026-09-09,2026-09,583330193,2026-09-09 17:17,0.0,M1_S20.1423
2026-09-09 18:30,M15,Naiya_MTF,BUY,4411.8,4392.04,4448.95,0.01,43.85,13.17,20.74,18,0,0,1.21,5.33,2026-09-10 01:00,4392.04,-19.76,25036.90000000003,SL,2026-09-10,2026-09,583359103,2026-09-09 18:29,0.0,M1_S20.1423
2026-09-09 21:00,M30,Naiya_MTF,BUY,4393.49,4371.28,4421.51,0.01,33.12,14.81,14.67,21,0,0,4.34,5.84,2026-09-10 06:30,4421.51,28.02,25064.920000000027,TP,2026-09-10,2026-09,583419816,2026-09-09 21:00,0.0,M15_S20.1423
2026-09-10 02:30,M15,Naiya_MTF,BUY,4405.36,4395.46,4421.51,0.01,59.66,6.6,26.39,2,0,0,0.52,5.68,2026-09-10 06:30,4421.51,16.15,25081.07000000003,TP,2026-09-10,2026-09,583634819,2026-09-10 02:27,0.0,M1_S20.1423
2026-09-10 07:00,M30,Naiya_MTF,BUY,4410.89,4393.96,4448.95,0.01,61.88,11.29,22.55,7,0,0,13.55,23.6,2026-09-10 09:30,4393.96,-16.93,25064.14000000003,SL,2026-09-10,2026-09,583664325,2026-09-10 06:59,0.0,M1_S20.1423
2026-09-10 07:15,M15,Naiya_MTF,BUY,4410.89,4399.42,4421.51,0.01,48.51,7.64,20.84,7,0,0,1.2,6.72,2026-09-10 07:30,4421.51,10.62,25074.76000000003,TP,2026-09-10,2026-09,583666322,2026-09-10 07:15,0.0,M15_S20.1423
2026-09-10 15:15,M15,Naiya_MTF,BUY,4354.02,4329.36,4400.18,0.01,41.26,16.44,56.21,15,0,0,4.02,22.42,2026-09-10 20:00,4329.36,-24.66,25050.100000000028,SL,2026-09-10,2026-09,583836092,2026-09-10 15:17,0.0,M1_S20.1423
2026-09-10 16:00,M30,Naiya_MTF,BUY,4352.64,4326.18,4400.18,0.01,33.56,17.64,45.69,16,0,0,7.16,15.11,2026-09-10 20:00,4326.18,-26.46,25023.64000000003,SL,2026-09-10,2026-09,583854921,2026-09-10 16:00,0.0,M1_S20.1423
2026-09-10 21:30,M30,Naiya_MTF,BUY,4314.56,4294.96,4376.44,0.01,15.02,13.07,48.95,21,0,0,2.02,4.33,2026-09-11 13:30,4294.96,-19.61,25004.030000000028,SL,2026-09-11,2026-09,584125973,2026-09-10 21:28,0.0,M1_S20.1423
2026-09-10 21:45,M15,Naiya_MTF,BUY,4314.56,4301.56,4376.44,0.01,7.96,8.66,64.16,21,0,0,1.61,4.33,2026-09-11 04:45,4301.56,-13.0,24991.030000000028,SL,2026-09-11,2026-09,584148383,2026-09-10 21:46,0.0,M1_S20.1423
2026-09-11 06:00,M15,Naiya_MTF,BUY,4328.24,4312.97,4376.44,0.01,57.78,10.18,11.78,6,0,0,6.15,9.93,2026-09-11 13:30,4312.97,-15.27,24975.76000000003,SL,2026-09-11,2026-09,584360198,2026-09-11 06:02,0.0,M5_S20.1423
2026-09-11 14:15,M15,Naiya_MTF,BUY,4380.56,4357.11,4400.18,0.01,74.94,15.63,28.14,14,0,0,0.79,17.93,2026-09-11 14:30,4400.18,19.62,24995.38000000003,TP,2026-09-11,2026-09,584580740,2026-09-11 14:14,0.0,M1_S20.1423
2026-09-11 15:30,M15,Naiya_MTF,BUY,4364.76,4336.82,4400.18,0.01,64.64,18.63,29.13,15,0,0,3.82,10.81,2026-09-13 23:00,4336.82,-27.94,24967.44000000003,SL,2026-09-13,2026-09,584611514,2026-09-11 15:28,0.0,M1_S20.1423
2026-09-11 16:00,M30,Naiya_MTF,BUY,4359.19,4328.88,4400.18,0.01,57.36,20.21,41.19,16,0,0,0.24,13.56,2026-09-13 23:00,4328.88,-30.31,24937.13000000003,SL,2026-09-13,2026-09,584623949,2026-09-11 16:00,0.0,M1_S20.1423
2026-09-14 06:30,M30,Naiya_MTF,BUY,4323.42,4304.84,4355.37,0.01,49.67,12.39,40.99,6,0,0,10.74,14.13,2026-09-14 09:30,4304.84,-18.58,24918.550000000032,SL,2026-09-14,2026-09,585150185,2026-09-14 08:14,0.0,M1_S20.1423
2026-09-14 06:45,M15,Naiya_MTF,BUY,4323.42,4310.83,4355.37,0.01,38.81,8.39,36.26,6,0,0,6.36,14.13,2026-09-14 08:45,4310.83,-12.59,24905.96000000003,SL,2026-09-14,2026-09,585166962,2026-09-14 09:00,0.0,M15_S20.1423
2026-09-14 12:15,M15,Naiya_MTF,BUY,4291.12,4278.03,4338.73,0.01,36.87,8.72,69.45,12,0,0,3.8,5.81,2026-09-14 13:30,4278.03,-13.09,24892.87000000003,SL,2026-09-14,2026-09,585244066,2026-09-14 12:15,0.0,M5_S20.1423
2026-09-14 15:15,M15,Naiya_MTF,BUY,4264.09,4246.96,4297.6,0.01,37.05,11.42,53.57,15,0,0,11.6,18.9,2026-09-14 16:30,4297.6,33.51,24926.38000000003,TP,2026-09-14,2026-09,585319433,2026-09-14 14:53,0.0,M1_S20.1423
2026-09-14 17:00,M15,Naiya_MTF,BUY,4286.3,4266.49,4338.73,0.01,49.86,13.21,35.96,17,0,0,6.13,11.44,2026-09-15 09:00,4266.49,-19.81,24906.57000000003,SL,2026-09-15,2026-09,585388216,2026-09-14 17:02,0.0,M1_S20.1423
2026-09-14 21:00,M30,Naiya_MTF,BUY,4282.36,4260.12,4297.6,0.01,54.76,14.82,33.64,21,0,0,13.09,15.97,2026-09-14 21:30,4297.6,15.24,24921.81000000003,TP,2026-09-14,2026-09,585559769,2026-09-14 21:03,0.0,M1_S20.1423
2026-09-14 23:00,M30,Naiya_MTF,BUY,4292.91,4274.15,4338.73,0.01,61.3,12.51,24.79,23,0,0,4.34,7.45,2026-09-15 09:00,4274.15,-18.76,24903.050000000032,SL,2026-09-15,2026-09,585670473,2026-09-14 23:00,0.0,M1_S20.1423
