[2026-06-16 23:45:32] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-16 23:50:32] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-16 23:55:32] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:06:03] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:14:03] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:25:03] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:30:02] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:35:08] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:40:08] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:45:07] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:50:13] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 00:55:13] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
[2026-06-17 01:11:03] BOT_ERROR | run_scan | TypeError: unsupported operand type(s) for -: 'dict' and 'dict' | tf) for tf in active_tfs]) | File "C:\Copter01_AI_Bot_2\scanner.py", line 2715, in scan_one_tf | r20 = strategy_20(rates, tf=tf_name, dt_bkk=now_bkk()) if active_strategies.get(20, False) else {"signal": "WAIT", "reason": "S20 ปิด"} | ~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^ | File "C:\Copter01_AI_Bot_2\strategy20.py", line 288, in strategy_20 | fibo_range = htf_high - htf_low | ~~~~~~~~~^~~~~~~~~ | TypeError: unsupported operand type(s) for -: 'dict' and 'dict'
