Month,SMT_Divergence_PnL($),SMT_Divergence_Trades,Judas_Swing_PnL($),Judas_Swing_Trades,Breaker_Block_PnL($),Breaker_Block_Trades
2025-09,-24.29,49,0.0,0,0.0,0
2025-10,44.48,39,0.0,0,0.0,0
2025-11,82.72,37,12.66,1,0.0,0
2025-12,-9.99,67,0.0,2,0.0,0
2026-01,22.83,42,0.0,0,0.0,0
2026-02,-14.04,14,0.0,0,0.0,0
2026-03,-1.61,6,0.0,0,0.0,0
2026-04,26.54,29,0.0,0,0.0,0
2026-05,1.54,28,-5.0,1,0.0,0
2026-06,30.25,27,0.0,0,0.0,0
2026-07,0.6,50,0.0,0,0.0,0
2026-08,-19.04,37,0.0,0,0.0,0
2026-09,13.91,11,0.0,0,0.0,0
