Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-03,97,94,3,21476.5,96.91,29476.5
2024-04,937,449,488,-33741.55,47.92,-4265.05
2024-05,1055,581,474,-13149.4,55.07,-17414.45
2024-06,703,422,281,27970.64,60.03,10556.19
2024-07,1297,896,401,110943.1,69.08,121499.29
2024-08,1058,740,318,84466.66,69.94,205965.95
2024-09,1261,845,416,71401.48,67.01,277367.43
2024-10,1064,733,331,70764.99,68.89,348132.42
2024-11,929,632,297,83401.22,68.03,431533.64
2024-12,1026,629,397,29005.35,61.31,460538.99
2025-01,836,533,303,51481.2,63.76,512020.19
2025-02,897,573,324,32054.55,63.88,544074.74
2025-03,999,617,382,21183.69,61.76,565258.43
2025-04,774,481,293,65599.71,62.14,630858.14
2025-05,825,462,363,1032.23,56.0,631890.37
2025-06,734,468,266,50486.94,63.76,682377.31
2025-07,1001,600,401,25293.04,59.94,707670.35
2025-08,769,467,302,23680.03,60.73,731350.38
2025-09,837,509,328,22539.48,60.81,753889.86
2025-10,719,435,284,9661.89,60.5,763551.75
2025-11,588,348,240,3136.6,59.18,766688.35
2025-12,852,536,316,37051.48,62.91,803739.83
2026-01,801,477,324,118837.24,59.55,922577.07
2026-02,587,407,180,169764.05,69.34,1092341.12
2026-03,723,422,301,77821.2,58.37,1170162.32
2026-04,614,354,260,-6384.06,57.65,1163778.26
2026-05,688,428,260,95628.83,62.21,1259407.09
2026-06,595,377,218,19931.84,63.36,1279338.93
2026-07,201,123,78,26695.88,61.19,1306034.81
