Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-03,2,2,0,2150.21,100.0,2650.21
2024-04,50,19,31,-13803.23,38.0,-11153.02
2024-05,63,38,25,-2049.75,60.32,-13202.77
2024-06,47,23,24,1935.89,48.94,-11266.88
2024-07,60,44,16,13908.81,73.33,2641.93
2024-08,64,41,23,10864.35,64.06,13506.28
2024-09,53,42,11,16188.27,79.25,29694.55
2024-10,59,40,19,15521.79,67.8,45216.34
2024-11,43,34,9,11760.11,79.07,56976.45
2024-12,52,30,22,12455.65,57.69,69432.1
2025-01,36,23,13,6137.57,63.89,75569.67
2025-02,52,29,23,5294.37,55.77,80864.04
2025-03,66,44,22,10859.91,66.67,91723.95
2025-04,64,46,18,19705.44,71.88,111429.39
2025-05,50,30,20,7419.87,60.0,118849.26
2025-06,41,26,15,6382.68,63.41,125231.94
2025-07,42,30,12,9543.45,71.43,134775.39
2025-08,56,37,19,6546.13,66.07,141321.52
2025-09,46,32,14,4667.03,69.57,145988.55
2025-10,49,37,12,15008.81,75.51,160997.36
2025-11,41,29,12,8727.14,70.73,169724.5
2025-12,47,29,18,4914.52,61.7,174639.02
2026-01,36,24,12,13658.34,66.67,188297.36
2026-02,34,22,12,24553.97,64.71,212851.33
2026-03,44,29,15,20641.93,65.91,233493.26
2026-04,33,21,12,7659.85,63.64,241153.11
2026-05,57,40,17,13143.92,70.18,254297.03
2026-06,40,22,18,196.77,55.0,254493.8
2026-07,21,18,3,12063.47,85.71,266557.27
