Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2024-03,75,72,3,102221.14,96.0,112221.14
2024-04,629,260,369,-202426.81,41.34,-90205.67
2024-05,700,374,326,-143842.59,53.43,-234048.26
2024-06,472,290,182,251814.82,61.44,17766.56
2024-07,817,596,221,865828.91,72.95,883595.47
2024-08,707,506,201,743626.99,71.57,1627222.46
2024-09,758,535,223,845707.77,70.58,2472930.23
2024-10,707,502,205,725048.5,71.0,3197978.73
2024-11,555,411,144,563132.69,74.05,3761111.42
2024-12,612,386,226,42372.44,63.07,3803483.86
2025-01,551,378,173,397946.18,68.6,4201430.04
2025-02,507,336,171,199316.75,66.27,4400746.79
2025-03,522,338,184,62857.62,64.75,4463604.41
2025-04,342,247,95,41449.1,72.22,4505053.51
2025-05,411,237,174,13340.57,57.66,4518394.08
2025-06,374,243,131,25639.15,64.97,4544033.23
2025-07,488,312,176,12457.59,63.93,4556490.82
2025-08,508,323,185,47452.41,63.58,4603943.23
2025-09,349,210,139,55096.45,60.17,4659039.68
2025-10,371,258,113,275994.77,69.54,4935034.45
2025-11,327,222,105,38473.65,67.89,4973508.1
2025-12,384,266,118,53230.96,69.27,5026739.06
2026-01,270,180,90,28368.98,66.67,5055108.04
2026-02,218,155,63,38805.78,71.1,5093913.82
2026-03,246,152,94,10317.66,61.79,5104231.48
2026-04,272,192,80,8104.24,70.59,5112335.72
2026-05,364,248,116,25518.02,68.13,5137853.74
2026-06,253,170,83,4093.48,67.19,5141947.22
2026-07,120,78,42,3620.88,65.0,5145568.1
