Month,Standalone_PnL($),Fusion_VWAP_PnL($)
2025-09,16.58,0.87
2025-10,56.45,56.45
2025-11,55.49,55.49
2025-12,44.91,44.91
2026-01,118.13,85.67
2026-02,84.68,59.45
2026-03,112.37,112.37
2026-04,84.5,84.5
2026-05,95.71,95.71
2026-06,57.58,45.6
2026-07,56.2,56.2
2026-08,165.31,165.31
2026-09,25.98,25.98
