Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-09,49,22,27,0,42.84,42.84
2025-10,125,67,58,0,784.96,827.8
2025-11,107,53,54,0,395.26,1223.06
2025-12,82,36,46,0,144.99,1368.05
2026-01,100,51,49,0,78.56,1446.61
2026-02,56,24,32,0,81.56,1528.17
2026-03,51,8,43,0,-404.33,1123.84
2026-04,80,26,54,0,61.69,1185.53
2026-05,101,33,68,0,-194.13,991.4
2026-06,89,24,65,0,-461.34,530.06
2026-07,108,33,75,0,-327.28,202.78
2026-08,106,48,58,0,251.78,454.56
2026-09,60,16,44,0,-249.01,205.55
