Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1814,522,1292,0,-805.34,-805.34
2025-04,4825,1392,3433,0,-5063.3099999999995,-5868.65
2025-05,5255,1500,3755,0,-6927.34,-12795.99
2025-06,5443,1585,3858,0,-3618.96,-16414.95
2025-07,6151,1893,4258,0,-1502.33,-17917.28
2025-08,5943,1741,4202,0,-185.0599999999999,-18102.34
2025-09,5155,1562,3593,0,-940.0999999999999,-19042.44
2025-10,5024,1433,3591,0,-3852.87,-22895.309999999998
2025-11,5021,1655,3366,0,2390.35,-20504.96
2025-12,5646,1998,3648,0,7584.02,-12920.939999999999
2026-01,4201,1437,2764,0,-3299.76,-16220.699999999999
2026-02,4868,1545,3322,0,-9759.29,-25979.989999999998
2026-03,4886,1681,3205,0,3207.8300000000004,-22772.159999999996
2026-04,5231,1674,3557,0,-2018.4199999999998,-24790.579999999994
2026-05,5465,1744,3721,0,-4705.9,-29496.479999999996
2026-06,5325,1662,3662,0,-1977.8600000000001,-31474.339999999997
2026-07,6183,1994,4183,0,3764.89,-27709.449999999997
2026-08,5024,1515,3502,0,1109.9099999999996,-26599.539999999997
2026-09,3448,1052,2348,0,4106.28,-22493.26
