Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,10,3,7,0,61.33000000000003
ATR,M15,27,3,24,0,80.98000000000002
ATR,M30,19,6,13,0,290.48999999999995
Div,D1,2,0,2,0,-276.65999999999997
Div,H1,163,20,143,0,-616.09
Div,H12,13,0,13,0,-804.08
Div,M15,216,14,202,0,-2234.9700000000003
Div,M30,190,18,172,0,-1910.26
Div/ATR,H1,1,0,1,0,-41.71
Div/ATR,M15,1,0,1,0,-14.97
Div/FollowDiv,H1,1,0,1,0,-23.8
Div/FollowDiv,M15,1,1,0,0,297.67
Div/FollowDiv,M30,1,0,1,0,-14.48
Fibo,D1,243,47,176,0,15.070000000000206
Fibo,H1,12267,3771,8489,0,-11134.45
Fibo,H12,558,145,407,0,2765.2200000000003
Fibo,M15,53595,16844,36739,0,-4162.59
Fibo,M30,25315,7981,17325,0,-4377.1
Fibo/ATR,D1,2,0,1,0,-12.05
Fibo/ATR,H1,60,18,42,0,25.219999999999978
Fibo/ATR,H12,6,1,5,0,-196.32000000000002
Fibo/ATR,M15,161,46,115,0,-144.86
Fibo/ATR,M30,114,44,69,0,101.36000000000001
Fibo/Div,D1,3,0,3,0,-270.3
Fibo/Div,H1,139,24,115,0,-2065.18
Fibo/Div,H12,2,0,2,0,-110.64
Fibo/Div,M15,192,47,145,0,-299.18
Fibo/Div,M30,129,27,102,0,-452.66
Fibo/Div/ATR,M15,2,0,2,0,-27.96
Fibo/Div/FollowDiv,H1,4,0,4,0,-84.36
Fibo/Div/FollowDiv,M15,11,0,11,0,-220.47
Fibo/Div/FollowDiv,M30,11,1,10,0,-117.22
Fibo/Fibo,D1,4,3,1,0,152.32999999999998
Fibo/Fibo,H1,5,3,2,0,29.29
Fibo/Fibo,M15,13,9,4,0,47.07
Fibo/Fibo/ATR,M15,1,1,0,0,26.03
Fibo/FollowDiv,D1,5,0,4,0,-334.32
Fibo/FollowDiv,H1,97,21,75,0,-583.94
Fibo/FollowDiv,H12,4,0,4,0,-227.05
Fibo/FollowDiv,M15,540,140,400,0,-54.49000000000003
Fibo/FollowDiv,M30,228,66,162,0,-170.46999999999997
Fibo/FollowDiv/ATR,M15,1,0,1,0,-1.45
Fibo/FollowDiv/ATR,M30,2,1,1,0,15.7
FollowDiv,D1,1,0,1,0,-87.51
FollowDiv,H1,15,3,12,0,255.39999999999995
FollowDiv,H12,4,0,4,0,-311.47
FollowDiv,M15,25,4,21,0,272.21000000000004
FollowDiv,M30,16,3,13,0,-27.790000000000013
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
