Group,Matched,BT_Unmatched,MT5_Unmatched
1,2,3,18
2,2,4,10
3,0,138,0
4,0,93,0
5,18,241,0
6,0,163,0
7,0,638,0
8,0,165,0
9,4,156,0
10,0,501,0
11,0,501,0
12,7,394,0
13,7,28,1
14,0,6,0
15,0,370,0
16,0,175,0
17,0,42,0
18,0,160,0
19,0,0,0
20,0,15,0
21,0,2,0
22,1,0,0
23,0,35,0
24,5,8,0
