symbol,portfolio,days,result,backtest,live_style,detail
BTCUSD.iux,AF22,30,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF22,60,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF22,90,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF22,120,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF22,150,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF22,180,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF34,30,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF34,60,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF34,90,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF34,120,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF34,150,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF34,180,MATCH,0,0,0 filtered trades match
BTCUSD.iux,AF47,30,MATCH,2,2,2 filtered trades match
BTCUSD.iux,AF47,60,MATCH,5,5,5 filtered trades match
BTCUSD.iux,AF47,90,MATCH,5,5,5 filtered trades match
BTCUSD.iux,AF47,120,MATCH,5,5,5 filtered trades match
BTCUSD.iux,AF47,150,MATCH,5,5,5 filtered trades match
BTCUSD.iux,AF47,180,MATCH,8,8,8 filtered trades match
