symbol,portfolio,window_days,order_no,raw_no,family,cfg_idx,mode,entry_tf,fill_hour,signal,raw_outcome,effective_outcome,signal_time,fill_time,exit_time,exit_date,exit_month,entry,tp,sl,exit_price,risk_distance,spread,pnl_per_001lot,weight,pnl_weighted_full,reason
XAUUSD.iux,AF34,180,3,462,s84,889,inverse,M15,13,SELL,SL,TP,2025-12-08 13:00,2025-12-08 13:15,2025-12-08 13:30,2025-12-08,2025-12,4214.69,4211.59,4218.41,4211.59,3.1,0.13,2.97,273.83,813.2751,oldWick side=LOWER ageRef=4302 mode=rr riskATR=0.62
XAUUSD.iux,AF34,180,4,482,s84,889,inverse,M15,13,SELL,SL,TP,2025-12-10 12:45,2025-12-10 13:00,2025-12-10 13:45,2025-12-10,2025-12,4207.37,4204.4,4210.93,4204.4,2.97,0.13,2.84,273.83,777.6772,oldWick side=LOWER ageRef=4480 mode=rr riskATR=0.71
XAUUSD.iux,AF34,180,5,697,s84,889,inverse,M15,13,BUY,SL,TP,2026-01-12 13:30,2026-01-12 13:45,2026-01-12 13:45,2026-01-12,2026-01,4583.79,4587.01,4579.93,4587.01,3.22,0.13,3.09,273.83,846.1347,oldWick side=UPPER ageRef=6403 mode=rr riskATR=0.41
XAUUSD.iux,AF34,180,6,1925,s84,889,inverse,M15,13,BUY,SL,TP,2026-07-02 12:45,2026-07-02 13:00,2026-07-02 13:00,2026-07-02,2026-07,4066.1,4069.38,4062.16,4069.38,3.28,0.13,3.15,273.83,862.5645,oldWick side=UPPER ageRef=17580 mode=rr riskATR=0.40
XAUUSD.iux,AF47,60,1,11,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=927/925 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,90,1,9,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=708/712 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,90,2,36,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=2367/2365 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,120,1,21,s86,7171,direct,M30,13,SELL,TP,TP,2026-02-05 12:30,2026-02-05 13:00,2026-02-06 05:30,2026-02-06,2026-02,4920.79,4720.3,5075.01,4720.3,154.22,0.13,200.36,145.72,29196.4592,fiboRUN imp=1558/1510 zone=4927.79-4955.35 riskATR=3.28
XAUUSD.iux,AF47,120,2,30,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=2148/2152 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,120,3,57,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=3807/3805 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,150,1,39,s86,7171,direct,M30,13,SELL,TP,TP,2026-02-05 12:30,2026-02-05 13:00,2026-02-06 05:30,2026-02-06,2026-02,4920.79,4720.3,5075.01,4720.3,154.22,0.13,200.36,145.72,29196.4592,fiboRUN imp=2998/2950 zone=4927.79-4955.35 riskATR=3.28
XAUUSD.iux,AF47,150,2,48,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=3588/3592 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,150,3,75,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=5247/5245 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,180,1,55,s86,7171,direct,M30,13,SELL,TP,TP,2026-02-05 12:30,2026-02-05 13:00,2026-02-06 05:30,2026-02-06,2026-02,4920.79,4720.3,5075.01,4720.3,154.22,0.13,200.36,145.72,29196.4592,fiboRUN imp=4438/4390 zone=4927.79-4955.35 riskATR=3.28
XAUUSD.iux,AF47,180,2,64,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=5028/5032 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,180,3,91,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=6687/6685 zone=4824.49-4827.11 riskATR=2.26
