symbol,portfolio,window_days,exit_month,trades,wins,losses,pnl_per_001lot,pnl_weighted_full,profit_factor
BTCUSD.iux,AF47,30,2026-05,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,30,2026-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,60,2026-04,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,60,2026-05,3,2,1,835.09,121689.3148,2.767498
BTCUSD.iux,AF47,60,2026-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,90,2026-04,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,90,2026-05,3,2,1,835.09,121689.3148,2.767498
BTCUSD.iux,AF47,90,2026-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,120,2026-04,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,120,2026-05,3,2,1,835.09,121689.3148,2.767498
BTCUSD.iux,AF47,120,2026-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,150,2026-04,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,150,2026-05,3,2,1,835.09,121689.3148,2.767498
BTCUSD.iux,AF47,150,2026-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,180,2025-12,1,0,1,-260.85,-38011.062,0.0
BTCUSD.iux,AF47,180,2026-01,2,0,2,-1007.2,-146769.184,0.0
BTCUSD.iux,AF47,180,2026-04,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,180,2026-05,3,2,1,835.09,121689.3148,2.767498
BTCUSD.iux,AF47,180,2026-06,1,1,0,2966.19,432233.2068,99.0
