symbol,portfolio,window_days,exit_date,trades,wins,losses,pnl_per_001lot,pnl_weighted_full,profit_factor
BTCUSD.iux,AF47,30,2026-05-26,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,30,2026-06-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,60,2026-04-28,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,60,2026-05-06,1,1,0,831.12,121110.8064,99.0
BTCUSD.iux,AF47,60,2026-05-22,1,1,0,476.44,69426.8368,99.0
BTCUSD.iux,AF47,60,2026-05-26,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,60,2026-06-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,90,2026-04-28,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,90,2026-05-06,1,1,0,831.12,121110.8064,99.0
BTCUSD.iux,AF47,90,2026-05-22,1,1,0,476.44,69426.8368,99.0
BTCUSD.iux,AF47,90,2026-05-26,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,90,2026-06-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,120,2026-04-28,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,120,2026-05-06,1,1,0,831.12,121110.8064,99.0
BTCUSD.iux,AF47,120,2026-05-22,1,1,0,476.44,69426.8368,99.0
BTCUSD.iux,AF47,120,2026-05-26,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,120,2026-06-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,150,2026-04-28,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,150,2026-05-06,1,1,0,831.12,121110.8064,99.0
BTCUSD.iux,AF47,150,2026-05-22,1,1,0,476.44,69426.8368,99.0
BTCUSD.iux,AF47,150,2026-05-26,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,150,2026-06-06,1,1,0,2966.19,432233.2068,99.0
BTCUSD.iux,AF47,180,2025-12-28,1,0,1,-260.85,-38011.062,0.0
BTCUSD.iux,AF47,180,2026-01-05,1,0,1,-360.6,-52546.632,0.0
BTCUSD.iux,AF47,180,2026-01-07,1,0,1,-646.6,-94222.552,0.0
BTCUSD.iux,AF47,180,2026-04-28,1,1,0,831.6,121180.752,99.0
BTCUSD.iux,AF47,180,2026-05-06,1,1,0,831.12,121110.8064,99.0
BTCUSD.iux,AF47,180,2026-05-22,1,1,0,476.44,69426.8368,99.0
BTCUSD.iux,AF47,180,2026-05-26,1,0,1,-472.47,-68848.3284,0.0
BTCUSD.iux,AF47,180,2026-06-06,1,1,0,2966.19,432233.2068,99.0
