symbol,portfolio,window_days,order_no,raw_no,family,cfg_idx,mode,entry_tf,fill_hour,signal,raw_outcome,effective_outcome,signal_time,fill_time,exit_time,exit_date,exit_month,entry,tp,sl,exit_price,risk_distance,spread,pnl_per_001lot,weight,pnl_weighted_full,reason
BTCUSD.iux,AF47,30,1,1,s86,7171,direct,M30,13,SELL,SL,SL,2026-05-26 13:00,2026-05-26 13:30,2026-05-26 17:30,2026-05-26,2026-05,76752.89,76150.24,77216.47,77216.47,463.58,8.89,-472.47,145.72,-68848.3284,fiboRUN imp=213/160 zone=76781.46-76860.98 riskATR=2.48
BTCUSD.iux,AF47,30,2,9,s86,7171,direct,M30,13,SELL,TP,TP,2026-06-05 12:30,2026-06-05 13:00,2026-06-06 01:30,2026-06-06,2026-06,62257.36,59282.28,64545.88,59282.28,2288.52,8.89,2966.19,145.72,432233.2068,fiboRUN imp=693/667 zone=63346.20-63563.45 riskATR=4.04
BTCUSD.iux,AF47,60,1,2,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-28 12:30,2026-04-28 13:00,2026-04-28 20:00,2026-04-28,2026-04,76873.77,76033.28,77520.3,76033.28,646.53,8.89,831.6,145.72,121180.752,fiboRUN imp=309/304 zone=77067.69-77148.52 riskATR=2.67
BTCUSD.iux,AF47,60,2,8,s86,7171,direct,M30,13,BUY,TP,TP,2026-05-06 12:30,2026-05-06 13:00,2026-05-06 17:00,2026-05-06,2026-05,81308.52,82148.53,80662.36,82148.53,646.16,8.89,831.12,145.72,121110.8064,fiboRUN imp=688/693 zone=81128.75-81231.33 riskATR=2.30
BTCUSD.iux,AF47,60,3,25,s86,7171,direct,M30,13,SELL,TP,TP,2026-05-22 12:30,2026-05-22 13:00,2026-05-22 21:00,2026-05-22,2026-05,77401.91,76916.58,77775.24,76916.58,373.33,8.89,476.44,145.72,69426.8368,fiboRUN imp=1457/1449 zone=77485.89-77535.69 riskATR=1.85
BTCUSD.iux,AF47,60,4,26,s86,7171,direct,M30,13,SELL,SL,SL,2026-05-26 13:00,2026-05-26 13:30,2026-05-26 17:30,2026-05-26,2026-05,76752.89,76150.24,77216.47,77216.47,463.58,8.89,-472.47,145.72,-68848.3284,fiboRUN imp=1653/1600 zone=76781.46-76860.98 riskATR=2.48
BTCUSD.iux,AF47,60,5,34,s86,7171,direct,M30,13,SELL,TP,TP,2026-06-05 12:30,2026-06-05 13:00,2026-06-06 01:30,2026-06-06,2026-06,62257.36,59282.28,64545.88,59282.28,2288.52,8.89,2966.19,145.72,432233.2068,fiboRUN imp=2133/2107 zone=63346.20-63563.45 riskATR=4.04
BTCUSD.iux,AF47,90,1,17,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-28 12:30,2026-04-28 13:00,2026-04-28 20:00,2026-04-28,2026-04,76873.77,76033.28,77520.3,76033.28,646.53,8.89,831.6,145.72,121180.752,fiboRUN imp=1749/1744 zone=77067.69-77148.52 riskATR=2.67
BTCUSD.iux,AF47,90,2,23,s86,7171,direct,M30,13,BUY,TP,TP,2026-05-06 12:30,2026-05-06 13:00,2026-05-06 17:00,2026-05-06,2026-05,81308.52,82148.53,80662.36,82148.53,646.16,8.89,831.12,145.72,121110.8064,fiboRUN imp=2128/2133 zone=81128.75-81231.33 riskATR=2.30
BTCUSD.iux,AF47,90,3,40,s86,7171,direct,M30,13,SELL,TP,TP,2026-05-22 12:30,2026-05-22 13:00,2026-05-22 21:00,2026-05-22,2026-05,77401.91,76916.58,77775.24,76916.58,373.33,8.89,476.44,145.72,69426.8368,fiboRUN imp=2897/2889 zone=77485.89-77535.69 riskATR=1.85
BTCUSD.iux,AF47,90,4,41,s86,7171,direct,M30,13,SELL,SL,SL,2026-05-26 13:00,2026-05-26 13:30,2026-05-26 17:30,2026-05-26,2026-05,76752.89,76150.24,77216.47,77216.47,463.58,8.89,-472.47,145.72,-68848.3284,fiboRUN imp=3093/3040 zone=76781.46-76860.98 riskATR=2.48
