symbol,portfolio,window_days,order_no,raw_no,family,cfg_idx,mode,entry_tf,fill_hour,signal,raw_outcome,effective_outcome,signal_time,fill_time,exit_time,exit_date,exit_month,entry,tp,sl,exit_price,risk_distance,spread,pnl_per_001lot,weight,pnl_weighted_full,reason
XAUUSD.iux,AF47,60,1,11,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=923/921 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,90,1,9,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=704/708 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,90,2,36,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=2363/2361 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,120,1,21,s86,7171,direct,M30,13,SELL,TP,TP,2026-02-05 12:30,2026-02-05 13:00,2026-02-06 05:30,2026-02-06,2026-02,4920.79,4720.3,5075.01,4720.3,154.22,0.13,200.36,145.72,29196.4592,fiboRUN imp=1554/1506 zone=4927.79-4955.35 riskATR=3.28
XAUUSD.iux,AF47,120,2,30,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=2144/2148 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,120,3,57,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=3803/3801 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,150,1,39,s86,7171,direct,M30,13,SELL,TP,TP,2026-02-05 12:30,2026-02-05 13:00,2026-02-06 05:30,2026-02-06,2026-02,4920.79,4720.3,5075.01,4720.3,154.22,0.13,200.36,145.72,29196.4592,fiboRUN imp=2994/2946 zone=4927.79-4955.35 riskATR=3.28
XAUUSD.iux,AF47,150,2,48,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=3584/3588 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,150,3,75,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=5243/5241 zone=4824.49-4827.11 riskATR=2.26
XAUUSD.iux,AF47,180,1,55,s86,7171,direct,M30,13,SELL,TP,TP,2026-02-05 12:30,2026-02-05 13:00,2026-02-06 05:30,2026-02-06,2026-02,4920.79,4720.3,5075.01,4720.3,154.22,0.13,200.36,145.72,29196.4592,fiboRUN imp=4434/4386 zone=4927.79-4955.35 riskATR=3.28
XAUUSD.iux,AF47,180,2,64,s86,7171,direct,M30,13,BUY,SL,SL,2026-02-24 13:00,2026-02-24 13:30,2026-02-24 19:30,2026-02-24,2026-02,5182.82,5236.18,5141.77,5141.77,41.05,0.13,-41.18,145.72,-6000.7496,fiboRUN imp=5024/5028 zone=5163.90-5168.56 riskATR=2.35
XAUUSD.iux,AF47,180,3,91,s86,7171,direct,M30,13,SELL,TP,TP,2026-04-16 13:00,2026-04-16 13:30,2026-04-16 20:30,2026-04-16,2026-04,4816.17,4785.58,4839.7,4785.58,23.53,0.13,30.46,145.72,4438.6312,fiboRUN imp=6683/6681 zone=4824.49-4827.11 riskATR=2.26
