Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2025-01,6,4,2,3816.97,66.67,4816.97
2025-02,14,7,7,3489.87,50.0,8306.84
2025-03,13,5,8,-3300.9,38.46,5005.94
2025-04,27,20,7,18416.02,74.07,23421.96
2025-05,20,7,13,-11984.28,35.0,11437.68
2025-06,15,9,6,-463.25,60.0,10974.43
2025-07,7,5,2,606.11,71.43,11580.54
2025-08,9,1,8,-12447.81,11.11,-867.27
2025-09,13,5,8,-2116.49,38.46,-2983.76
2025-10,26,18,8,8949.22,69.23,5965.46
2025-11,25,15,10,3641.1,60.0,9606.56
2025-12,16,10,6,4069.88,62.5,13676.44
2026-01,19,11,8,4763.71,57.89,18440.15
2026-02,30,21,9,5883.14,70.0,24323.29
2026-03,33,21,12,4376.62,63.64,28699.91
2026-04,30,19,11,10085.6,63.33,38785.51
2026-05,36,23,13,6892.35,63.89,45677.86
2026-06,23,20,3,10856.88,86.96,56534.74
2026-07,11,6,5,1398.92,54.55,57933.66
