Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2025-01,37,25,12,22908.29,67.57,24908.29
2025-02,58,28,30,-11925.75,48.28,12982.54
2025-03,60,36,24,28102.67,60.0,41085.21
2025-04,54,38,16,34407.11,70.37,75492.32
2025-05,54,17,37,-44825.94,31.48,30666.38
2025-06,40,23,17,4843.76,57.5,35510.14
2025-07,37,25,12,17837.97,67.57,53348.11
2025-08,27,10,17,-9700.14,37.04,43647.97
2025-09,39,14,25,-19166.28,35.9,24481.69
2025-10,36,22,14,3038.02,61.11,27519.71
2025-11,42,26,16,13079.98,61.9,40599.69
2025-12,42,29,13,17256.74,69.05,57856.43
2026-01,42,31,11,29232.32,73.81,87088.75
2026-02,41,26,15,4701.63,63.41,91790.38
2026-03,41,27,14,7293.13,65.85,99083.51
2026-04,49,31,18,12040.28,63.27,111123.79
2026-05,54,33,21,12617.87,61.11,123741.66
2026-06,49,36,13,14038.7,73.47,137780.36
2026-07,25,17,8,17532.26,68.0,155312.62
