Month,Trades,Win,Loss,Net Profit,Win Rate (%),Balance
2025-01,24,15,9,17161.9,62.5,18661.9
2025-02,38,16,22,-13410.56,42.11,5251.34
2025-03,40,25,15,19777.55,62.5,25028.89
2025-04,44,31,13,28981.83,70.45,54010.72
2025-05,37,17,20,-14218.85,45.95,39791.87
2025-06,35,23,12,8191.78,65.71,47983.65
2025-07,31,21,10,17444.54,67.74,65428.19
2025-08,19,6,13,-9686.08,31.58,55742.11
2025-09,25,9,16,-14948.21,36.0,40793.9
2025-10,33,20,13,884.21,60.61,41678.11
2025-11,35,22,13,10191.31,62.86,51869.42
2025-12,30,20,10,12078.21,66.67,63947.63
2026-01,34,24,10,18073.92,70.59,82021.55
2026-02,33,21,12,2725.86,63.64,84747.41
2026-03,34,22,12,7886.84,64.71,92634.25
2026-04,38,24,14,6055.6,63.16,98689.85
2026-05,45,28,17,10500.27,62.22,109190.12
2026-06,35,28,7,14917.69,80.0,124107.81
2026-07,19,13,6,13477.76,68.42,137585.57
