Mode,TF,Trades,WinRate%,FullWins,ScalpWins,BEs,Losses,NetPnL($),PF,MaxDD($),WinMonths
benchmark_s26,M15,341,47.5,3,159,174,5,1615.93,24.19,29.14,13/13
nexus_fvg,M15,87,50.6,0,44,40,3,374.87,9.14,29.14,13/13
nexus_htf,M15,338,47.0,3,156,174,5,1596.23,23.91,29.14,13/13
nexus_ultimate,M15,114,50.9,0,58,53,3,489.38,11.62,29.14,13/13
