[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_13 skipped - hour 17 != 12
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_14 skipped - hour 17 != 9
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_15 skipped - hour 17 != 20
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_20 skipped - hour 17 != 14
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_22 skipped - hour 17 != 8
[2026-07-27 17:51:43] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_23 skipped - hour 17 != 12
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_24 skipped - hour 17 != 11
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_29 skipped - hour 17 != 11
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_30 skipped - hour 17 != 13
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_32 skipped - hour 17 != 9
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_33 skipped - hour 17 != 16
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_34 skipped - hour 17 != 19
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_40 skipped - hour 17 != 11
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_41 skipped - risk_distance 8.63 > 4.00
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_43 skipped - hour 17 != 12
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_44 skipped - hour 17 != 14
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_45 skipped - hour 17 != 19
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_50 skipped - hour 17 != 14
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_51 skipped - hour 17 != 20
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_53 skipped - hour 17 != 15
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_54 skipped - hour 17 != 11
[2026-07-27 17:51:44] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_55 skipped - hour 17 != 11
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_60 skipped - hour 17 != 19
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_61 skipped - hour 17 != 21
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_63 skipped - hour 17 != 15
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_64 skipped - hour 17 != 9
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_70 skipped - hour 17 != 9
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_71 skipped - hour 17 != 16
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_73 skipped - hour 17 != 20
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_74 skipped - hour 17 != 13
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_75 skipped - hour 17 != 21
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_79 skipped - hour 17 != 18
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_81 skipped - hour 17 != 15
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_82 skipped - hour 17 != 20
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_83 skipped - hour 17 != 11
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_88 skipped - hour 17 != 9
[2026-07-27 17:51:45] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_89 skipped - hour 17 != 12
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_91 skipped - hour 17 != 16
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_92 skipped - hour 17 != 16
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_93 skipped - hour 17 != 19
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_98 skipped - hour 17 != 22
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_99 skipped - hour 17 != 9
[2026-07-27 17:51:46] DEMO_PORTFOLIO_SKIP | LTS_AVENGERS_HIGH_RISK_101 skipped - hour 17 != 13
