bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4450.29,2026-06-05 08:26:00,4464.44,2026-06-05 08:01:00,,,,-56.6,SL,,,,,,BUY,,,,,0.0,11.44,PNL_DIFF_SAME_BUCKET,4450.29,2026-06-05 09:26:11,,4453.0,[H1_M1]_S10_#2,2026-06-05 09:25:25,,,,-10.76,[sl 4450.29],,-2.69,-2.69,-2.69,-2.69,BUY,,,,,,,,,537996364,,,LOOSE,855.61,,,,,,45.84,False,MISMATCH,84.42
,,,,,,,,,,,,,,,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,4450.29,2026-06-05 09:26:11,,4452.22,[H1_M1]_S10_#1,2026-06-05 09:25:59,,,,-7.28,[sl 4450.29],,-1.82,-1.82,-1.82,-1.82,BUY,,,,,,,,,537996363,,,,,4464.44,12.22,2026-06-05 08:01:00,SL,84.98,,,LIVE_ONLY,
