Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
2026-09-14 23:05:41,2026-09-14 23:05:41,M1_S20.18,M1,SELL,4280.2,4280.5,0.01,-0.3,SL
2026-09-14 23:28:38,2026-09-14 23:32:28,M5_S20.18,M5,SELL,4283.36,4287.9,0.01,-4.54,SL
2026-09-14 23:28:37,2026-09-14 23:32:31,M15_S20.18,M15,SELL,4283.06,4288.94,0.01,-5.88,SL
2026-09-15 00:53:16,2026-09-15 01:00:09,M1_S20.18,M1,SELL,4316.94,4314.67,0.01,2.27,TP
2026-09-15 11:46:21,2026-09-15 11:46:37,M1_S20.18,M1,BUY,4308.35,4309.35,0.01,1.0,TP
2026-09-15 10:59:34,2026-09-15 11:48:33,M15_S20.18,M15,SELL,4314.41,4306.45,0.01,7.96,TP
2026-09-15 13:36:36,2026-09-15 13:37:16,M1_S20.18,M1,BUY,4293.87,4293.02,0.01,-0.85,SL
2026-09-15 13:56:12,2026-09-15 13:59:00,M5_S20.18,M5,BUY,4292.94,4291.22,0.01,-1.72,SL
2026-09-15 14:27:31,2026-09-15 14:39:50,M5_S20.18,M5,BUY,4287.42,4291.22,0.01,3.8,TP
2026-09-15 14:25:46,2026-09-15 14:45:35,M15_S20.18,M15,BUY,4287.88,4293.58,0.01,5.7,TP
2026-09-15 14:50:43,2026-09-15 14:57:29,M1_S20.18,M1,SELL,4293.36,4294.72,0.01,-1.36,SL
