Time (BKK),TF,Pattern,Type,Entry,SL,TP,Lot,RSI,ATR,ADX,Hour,dist_sma50,dist_sma200,body,range,CloseTime (BKK),Close,P&L,Balance,Reason,Date,Month,MT5_Ticket,MT5_Time,MT5_Entry,MT5_Comment
2026-09-15 12:00,M15,Naiya_MTF,BUY,4284.39,4274.87,4297.98,0.01,64.32,6.35,45.45,12,0,0,6.06,9.18,2026-09-15 12:15,4274.87,-9.52,9743.67,SL,2026-09-15,2026-09,4725829225,2026-09-17 10:06,0.0,M5_S20.1423
2026-09-15 13:00,M30,Naiya_MTF,BUY,4290.46,4273.15,4338.68,0.01,48.65,11.54,40.98,13,0,0,3.08,11.0,2026-09-16 03:00,4338.68,48.22,9791.89,TP,2026-09-16,2026-09,4725859723,2026-09-17 10:13,0.0,M1_S20.1423
2026-09-15 13:45,M15,Naiya_MTF,BUY,4289.38,4277.01,4297.98,0.01,73.91,8.24,34.7,13,0,0,5.44,10.43,2026-09-15 13:45,4297.98,8.6,9800.49,TP,2026-09-15,2026-09,4725866723,2026-09-17 10:15,0.0,M1_S20.1423
2026-09-15 15:15,M15,Naiya_MTF,BUY,4285.44,4270.45,4297.98,0.01,49.51,9.99,27.83,15,0,0,1.56,5.32,2026-09-15 16:45,4297.98,12.54,9813.029999999999,TP,2026-09-15,2026-09,4725867301,2026-09-17 10:15,0.0,M15_S20.1423
2026-09-15 17:30,M15,Naiya_MTF,BUY,4293.33,4281.0,4338.68,0.01,48.6,8.22,10.39,17,0,0,0.04,6.79,2026-09-16 00:00,4281.0,-12.33,9800.699999999999,SL,2026-09-16,2026-09,4725877865,2026-09-17 10:18,0.0,M1_S20.1423
2026-09-16 01:15,M15,Naiya_MTF,BUY,4287.09,4277.74,4297.98,0.01,46.55,6.23,42.09,1,0,0,3.39,8.97,2026-09-16 02:15,4297.98,10.89,9811.59,TP,2026-09-16,2026-09,4725893949,2026-09-17 10:24,0.0,M1_S20.1423
2026-09-16 04:15,M15,Naiya_MTF,BUY,4326.69,4312.01,4338.68,0.01,77.99,9.79,41.21,4,0,0,0.9,5.36,2026-09-16 07:30,4338.68,11.99,9823.58,TP,2026-09-16,2026-09,4725912052,2026-09-17 10:30,0.0,M5_S20.1423
2026-09-16 05:30,M30,Naiya_MTF,BUY,4325.01,4307.72,4338.68,0.01,69.03,11.53,30.71,5,0,0,1.6,9.47,2026-09-16 07:30,4338.68,13.67,9837.25,TP,2026-09-16,2026-09,4725912141,2026-09-17 10:30,0.0,M30_S20.1423
2026-09-16 08:30,M15,Naiya_MTF,BUY,4334.17,4322.89,4355.28,0.01,56.5,7.52,28.34,8,0,0,5.9,10.81,2026-09-16 13:00,4355.28,21.11,9858.359999999999,TP,2026-09-16,2026-09,4725925331,2026-09-17 10:31,0.0,M1_S20.1423
2026-09-16 09:00,M30,Naiya_MTF,BUY,4330.17,4313.59,4355.28,0.01,71.19,11.05,58.77,9,0,0,0.49,6.8,2026-09-16 13:00,4355.28,25.12,9883.48,TP,2026-09-16,2026-09,4725940036,2026-09-17 10:34,0.0,M1_S20.1423
2026-09-16 16:00,M15,Naiya_MTF,BUY,4352.71,4336.19,4376.52,0.01,54.24,11.01,19.26,16,0,0,2.85,6.41,2026-09-16 18:00,4336.19,-16.52,9866.96,SL,2026-09-16,2026-09,4725954718,2026-09-17 10:38,0.0,M1_S20.1423
2026-09-16 16:30,M30,Naiya_MTF,BUY,4345.85,4326.18,4376.52,0.01,54.55,13.12,24.09,16,0,0,0.74,5.18,2026-09-16 18:00,4326.18,-19.67,9847.289999999999,SL,2026-09-16,2026-09,4726005360,2026-09-17 10:49,0.0,M1_S20.1423
2026-09-16 20:45,M15,Naiya_MTF,BUY,4262.23,4223.88,4297.98,0.01,27.84,25.57,47.93,20,0,0,2.04,5.52,2026-09-17 01:00,4297.98,35.74,9883.029999999999,TP,2026-09-17,2026-09,4726015585,2026-09-17 10:53,0.0,M1_S20.1423
2026-09-16 23:00,M30,Naiya_MTF,BUY,4266.73,4231.57,4297.98,0.01,30.26,23.44,35.55,23,0,0,5.27,14.24,2026-09-17 01:00,4297.98,31.25,9914.279999999999,TP,2026-09-17,2026-09,4726029711,2026-09-17 10:57,0.0,M1_S20.1423
