mt5_ticket,mt5_time,mt5_type,mt5_entry,mt5_sl,mt5_tp,comment,position_id
4726049200,2026-09-17 11:03,BUY,0.0,4291.79,4297.98,M1_S20.1423,4726049200
4726054584,2026-09-17 11:05,BUY,0.0,4291.58,4297.98,M1_S20.1423,4726054584
4726065920,2026-09-17 11:08,BUY,0.0,4291.03,4297.98,M1_S20.1423,4726065920
4726092085,2026-09-17 11:15,BUY,0.0,4290.65,4297.98,M1_S20.1423,4726092085
4726102328,2026-09-17 11:18,BUY,0.0,4290.2,4297.98,M1_S20.1423,4726102328
4726118192,2026-09-17 11:22,BUY,0.0,4289.82,4297.98,M1_S20.1423,4726118192
4726138492,2026-09-17 11:28,BUY,0.0,4288.79,4297.98,M1_S20.1423,4726138492
4726155374,2026-09-17 11:32,BUY,0.0,4288.08,4297.98,M1_S20.1423,4726155374
4726167208,2026-09-17 11:36,BUY,0.0,4288.59,4297.98,M1_S20.1423,4726167208
4726186780,2026-09-17 11:40,BUY,0.0,4291.67,4297.98,M1_S20.1423,4726186780
4726186813,2026-09-17 11:40,BUY,0.0,4284.94,4297.98,M5_S20.1423,4726186813
4726204618,2026-09-17 11:44,BUY,0.0,4290.06,4297.98,M1_S20.1423,4726204618
4726248101,2026-09-17 11:53,BUY,0.0,4292.61,4297.98,M1_S20.1423,4726248101
4726252925,2026-09-17 11:55,BUY,0.0,4294.17,4338.68,M1_S20.1423,4726252925
4726260687,2026-09-17 11:57,BUY,0.0,4293.03,4297.98,M1_S20.1423,4726260687
4726269636,2026-09-17 12:00,BUY,0.0,4294.61,4338.68,M1_S20.1423,4726269636
4726269815,2026-09-17 12:00,BUY,0.0,4277.04,4338.68,M15_S20.1423,4726269815
4726276223,2026-09-17 12:02,BUY,0.0,4294.31,4338.68,M1_S20.1423,4726276223
4726289276,2026-09-17 12:06,BUY,0.0,4294.6,4338.68,M1_S20.1423,4726289276
4726294671,2026-09-17 12:08,BUY,0.0,4294.65,4338.68,M1_S20.1423,4726294671
4726299493,2026-09-17 12:10,BUY,0.0,4294.55,4297.98,M1_S20.1423,4726299493
4726321737,2026-09-17 12:14,BUY,0.0,4291.9,4297.98,M1_S20.1423,4726321737
4726342084,2026-09-17 12:18,BUY,0.0,4289.16,4297.98,M1_S20.1423,4726342084
4726372031,2026-09-17 12:23,BUY,0.0,4283.4,4297.98,M1_S20.1423,4726372031
4726383243,2026-09-17 12:26,BUY,0.0,4282.88,4297.98,M1_S20.1423,4726383243
4726392575,2026-09-17 12:29,BUY,0.0,4284.24,4297.98,M1_S20.1423,4726392575
4726396603,2026-09-17 12:30,BUY,0.0,4280.09,4297.98,M5_S20.1423,4726396603
4726407696,2026-09-17 12:31,BUY,0.0,4283.43,4297.98,M1_S20.1423,4726407696
4726452333,2026-09-17 12:38,BUY,0.0,4288.67,4297.98,M1_S20.1423,4726452333
4726478635,2026-09-17 12:43,BUY,0.0,4290.0,4297.98,M1_S20.1423,4726478635
4726487555,2026-09-17 12:45,BUY,0.0,4273.93,4297.98,M15_S20.1423,4726487555
4726502365,2026-09-17 12:48,BUY,0.0,4292.16,4338.68,M1_S20.1423,4726502365
4726523037,2026-09-17 12:51,BUY,0.0,4292.8,4338.68,M1_S20.1423,4726523037
4726573918,2026-09-17 12:59,BUY,0.0,4299.03,4338.68,M1_S20.1423,4726573918
4726578509,2026-09-17 13:00,BUY,0.0,4261.51,4338.68,M30_S20.1423,4726578509
4726623112,2026-09-17 13:07,BUY,0.0,4302.33,4338.68,M1_S20.1423,4726623112
4726660110,2026-09-17 13:13,BUY,0.0,4305.97,4338.68,M1_S20.1423,4726660110
4726671798,2026-09-17 13:15,BUY,0.0,4305.04,4338.68,M1_S20.1423,4726671798
4726701668,2026-09-17 13:19,BUY,0.0,4301.12,4338.68,M1_S20.1423,4726701668
4726711842,2026-09-17 13:21,BUY,0.0,4302.31,4338.68,M1_S20.1423,4726711842
4726721662,2026-09-17 13:23,BUY,0.0,4302.14,4338.68,M1_S20.1423,4726721662
4726732904,2026-09-17 13:25,BUY,0.0,4301.84,4338.68,M1_S20.1423,4726732904
4726732967,2026-09-17 13:25,BUY,0.0,4297.36,4338.68,M5_S20.1423,4726732967
4726750971,2026-09-17 13:28,BUY,0.0,4303.33,4338.68,M1_S20.1423,4726750971
4726769015,2026-09-17 13:31,BUY,0.0,4305.93,4338.68,M1_S20.1423,4726769015
4726833666,2026-09-17 13:41,BUY,0.0,4302.65,4338.68,M1_S20.1423,4726833666
4726850897,2026-09-17 13:45,BUY,0.0,4298.59,4338.68,M5_S20.1423,4726850897
4726857326,2026-09-17 13:46,BUY,0.0,4304.37,4338.68,M1_S20.1423,4726857326
4726870488,2026-09-17 13:49,BUY,0.0,4303.98,4338.68,M1_S20.1423,4726870488
4726894105,2026-09-17 13:53,BUY,0.0,4303.56,4338.68,M1_S20.1423,4726894105
4726905871,2026-09-17 13:55,BUY,0.0,4303.58,4338.68,M1_S20.1423,4726905871
4726922219,2026-09-17 13:58,BUY,0.0,4304.96,4338.68,M1_S20.1423,4726922219
