Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-09,72,39,33,0,211.9,211.9
2025-10,166,84,82,0,741.8,953.7
2025-11,119,51,68,0,98.65,1052.35
2025-12,114,49,65,0,23.44,1075.79
2026-01,140,58,82,0,-656.04,419.75
2026-02,57,23,34,0,608.23,1027.98
2026-03,50,8,42,0,-120.98,907.0
2026-04,103,37,66,0,-55.6,851.4
2026-05,127,43,84,0,40.58,891.98
2026-06,98,34,64,0,63.65,955.63
2026-07,143,46,97,0,-301.99,653.64
2026-08,131,55,76,0,231.57,885.21
2026-09,75,25,50,0,-167.96,717.25
