Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
2026-09-18 07:30:46,2026-09-18 07:32:50,M15_S20.302,M15,SELL,4356.35,4359.02,0.01,-2.67,SL
2026-09-18 07:30:46,2026-09-18 07:32:50,M15_S20.303,M15,SELL,4356.35,4359.02,0.01,-2.67,SL
2026-09-18 07:30:46,2026-09-18 07:32:50,M15_S20.301,M15,SELL,4356.35,4359.02,0.01,-2.67,SL
2026-09-18 07:30:46,2026-09-18 07:32:50,M15_S20.304,M15,SELL,4356.35,4359.02,0.01,-2.67,SL
2026-09-18 08:19:50,2026-09-18 08:33:13,M15_S20.18,M15,SELL,4361.88,4353.13,0.01,8.75,TP
2026-09-18 08:19:50,2026-09-18 08:33:13,M15_S20.19,M15,SELL,4361.88,4352.61,0.01,9.27,TP
2026-09-18 08:32:08,2026-09-18 08:33:14,M15_S20.303,M15,BUY,4355.86,4352.71,0.01,-3.15,SL
2026-09-18 08:32:08,2026-09-18 08:33:14,M15_S20.301,M15,BUY,4355.86,4352.71,0.01,-3.15,SL
2026-09-18 08:32:08,2026-09-18 08:33:14,M15_S20.302,M15,BUY,4355.86,4352.71,0.01,-3.15,SL
2026-09-18 08:32:08,2026-09-18 08:33:14,M15_S20.304,M15,BUY,4355.86,4352.71,0.01,-3.15,SL
2026-09-18 08:21:23,2026-09-18 08:34:12,M15_S20.301,M15,SELL,4362.99,4354.33,0.01,8.66,TP
2026-09-18 08:21:23,2026-09-18 08:34:12,M15_S20.302,M15,SELL,4362.99,4354.33,0.01,8.66,TP
2026-09-18 08:21:23,2026-09-18 08:34:12,M15_S20.303,M15,SELL,4362.99,4354.33,0.01,8.66,TP
2026-09-18 08:21:23,2026-09-18 08:34:12,M15_S20.304,M15,SELL,4362.99,4354.33,0.01,8.66,TP
2026-09-18 08:33:03,2026-09-18 08:35:02,M15_S20.304,M15,BUY,4353.81,4350.88,0.01,-2.93,SL
2026-09-18 08:33:03,2026-09-18 08:35:02,M15_S20.301,M15,BUY,4353.81,4350.88,0.01,-2.93,SL
2026-09-18 08:33:03,2026-09-18 08:35:02,M15_S20.302,M15,BUY,4353.81,4350.88,0.01,-2.93,SL
2026-09-18 08:33:03,2026-09-18 08:35:03,M15_S20.303,M15,BUY,4353.81,4350.88,0.01,-2.93,SL
