bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4535.07,2026-05-29 16:45:00,4526.06,2026-05-29 16:10:00,,,,-9.01,SL,,,,,,SELL,,,,,-11.78,1.69,PNL_DIFF_SAME_BUCKET,4523.285,2026-05-29 15:49:09,,4524.37,M5_S9_RSI9,2026-05-29 15:35:48,,,,4.34,[sl 4525.07],,2.01,3.73,-0.7,-0.7,SELL,,,,,,,,,534479582,,,LOOSE,343.69,,,,,,13.35,False,MISMATCH,34.2
4495.3,2026-05-28 23:15:00,4473.34,2026-05-28 21:45:00,,,,-21.96,SL,,,,,,SELL,,,,,-25.95,0.06,PNL_DIFF_SAME_BUCKET,4469.3475,2026-05-28 22:53:26,,4473.4,M5_S9_RSI9,2026-05-28 22:45:14,,,,16.21,[sl 4471.34],,3.69,4.19,6.27,2.06,SELL,,,,,,,,,534024451,,,LOOSE,602.39,,,,,,38.17,False,MISMATCH,60.23
4501.24,2026-05-29 08:50:00,4516.56,2026-05-29 08:15:00,4508.89,M1,,15.32,TP,,,,,,SELL,,,1,M1 4508.89,-7.45,0.23,CLOSE_BUCKET_DIFF,4493.7925000000005,2026-05-29 09:36:18,,4516.79,M5_S9_RSI9,2026-05-29 09:15:18,,,,32.94,[sl 4505.81],,0.0,10.98,10.98,10.98,SELL,,,,,,,,,534206154,,,LOOSE,603.23,,,,,,17.62,False,MISMATCH,60.3
4501.57,2026-06-01 13:45:00,4508.7,2026-06-01 13:20:00,,,,-7.13,SL,,,,,,BUY,,,,,9.91,0.0,PNL_DIFF_SAME_BUCKET,4511.4800000000005,2026-06-01 14:31:32,,4508.7,M5_S9_RSI9,2026-06-01 14:20:36,,,,11.56,[sl 4511.79],,2.1,3.06,3.2,3.2,BUY,,,,,,,,,535336164,,,LOOSE,606.0,,,,,,18.69,False,MISMATCH,60.6
4479.33,2026-06-01 20:10:00,4489.26,2026-06-01 20:10:00,,,,-9.93,SL,,,,,,BUY,,,,,0.47,0.0,PNL_DIFF_SAME_BUCKET,4479.8,2026-06-01 21:12:30,,4489.26,M5_S9_RSI9,2026-06-01 21:11:23,,,,-37.8,[sl 4479.80],,-9.45,-9.45,-9.45,-9.45,BUY,,,,,,,,,535503433,,,LOOSE,613.83,,,,,,-27.87,False,MISMATCH,61.38
4526.1,2026-06-02 18:30:00,4537.21,2026-06-02 14:00:00,4526.1,M1,,11.11,SL,,,,,,SELL,,,1,M1 4526.10,10.18,0.0,PNL_DIFF_SAME_BUCKET,4536.282499999999,2026-06-02 15:07:40,,4537.21,M5_S9_RSI9,2026-06-02 15:04:46,,,,3.87,[sl 4536.74],,2.34,0.51,0.51,0.51,SELL,,,,,,,,,536189635,,,LOOSE,647.67,,,,,,-7.24,False,MISMATCH,64.77
4515.65,2026-05-29 14:55:00,4522.42,2026-05-29 13:50:00,4515.65,M1,,6.77,SL,,,,,,SELL,,,1,M1 4515.65,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4524.37,1.95,2026-05-29 15:35:48,[sl 4525.07],105.8,,,BACKTEST_ONLY,
4525.07,2026-05-29 14:55:00,4524.22,2026-05-29 14:35:00,4525.07,M1,,-0.85,SL,,,,,,SELL,,,1,M1 4525.07,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4524.37,0.15,2026-05-29 15:35:48,[sl 4525.07],60.8,,,BACKTEST_ONLY,
4552.44,2026-05-29 21:05:00,4543.27,2026-05-29 21:00:00,,,,-9.17,SL,,,,,,SELL,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4524.37,18.9,2026-05-29 15:35:48,[sl 4525.07],324.2,,,BACKTEST_ONLY,
4504.52,2026-06-01 17:30:00,4490.74,2026-06-01 16:30:00,,,,13.78,TP,,,,,,BUY,,,,,,,ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4508.7,17.96,2026-06-01 14:20:36,[sl 4511.79],129.4,,,BACKTEST_ONLY,
4483.04,2026-06-01 20:10:00,4489.21,2026-06-01 20:10:00,,,,-6.17,SL,,,,,,BUY,,,,,,,NEAREST_ALREADY_MATCHED_OR_GREEDY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489.26,0.05,2026-06-01 21:11:23,[sl 4479.80],61.38,,,BACKTEST_ONLY,
4478.76,2026-06-03 01:40:00,4486.36,2026-06-03 00:35:00,,,,-7.6,SL,,,,,,BUY,,,,,,,TIME_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489.26,2.9,2026-06-01 21:11:23,[sl 4479.80],1643.62,,,BACKTEST_ONLY,
4490.16,2026-06-03 01:50:00,4482.12,2026-06-03 01:40:00,,,,8.04,TP,,,,,,BUY,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489.26,7.14,2026-06-01 21:11:23,[sl 4479.80],1708.62,,,BACKTEST_ONLY,
4472.05,2026-06-03 06:15:00,4478.73,2026-06-03 06:10:00,,,,-6.68,SL,,,,,,BUY,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489.26,10.53,2026-06-01 21:11:23,[sl 4479.80],1978.62,,,BACKTEST_ONLY,
4452.69,2026-06-03 16:35:00,4448.94,2026-06-03 15:50:00,4452.69,M1,,3.75,SL,,,,,,BUY,,,1,M1 4452.69,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489.26,40.32,2026-06-01 21:11:23,[sl 4479.80],2558.62,,,BACKTEST_ONLY,
4454.43,2026-06-03 19:25:00,4464.61,2026-06-03 18:30:00,,,,10.18,TP,,,,,,SELL,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4537.21,72.6,2026-06-02 15:04:46,[sl 4536.74],1645.23,,,BACKTEST_ONLY,
4428.06,2026-06-03 20:40:00,4439.38,2026-06-03 20:40:00,,,,-11.32,SL,,,,,,BUY,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4489.26,49.88,2026-06-01 21:11:23,[sl 4479.80],2848.62,,,BACKTEST_ONLY,
