ticket,fill_ts,side,raw_tf,tf_used,sid,is_multitf,fill_price,eq,pd_result,actual_pl,sim_pl,diff,close_ts
531707426,2026-05-26 15:28:10,SELL,M1,M1,2,False,4524.9,4531.01,FAIL,0.2,-0.2,-0.4,2026-05-26 15:28:11
531712059,2026-05-26 15:30:35,BUY,M5,M5,14,False,4521.65,4529.62,PASS,4.39,4.39,0.0,2026-05-26 15:46:10
531712061,2026-05-26 15:30:35,BUY,M15,M15,14,False,4521.65,4534.72,PASS,4.39,4.39,0.0,2026-05-26 15:46:10
531712889,2026-05-26 15:31:15,SELL,M1,M1,2,False,4522.85,4528.99,FAIL,-1.76,-0.2,1.56,2026-05-26 15:31:15
531717307,2026-05-26 15:35:10,BUY,M1,M1,14,False,4521.11,4527.6,PASS,4.93,4.93,0.0,2026-05-26 15:46:10
531717312,2026-05-26 15:35:10,BUY,M15,M15,14,False,4521.09,4534.72,PASS,4.95,4.95,0.0,2026-05-26 15:46:10
531717386,2026-05-26 15:35:15,BUY,M1,M1,14,False,4520.64,4527.6,PASS,5.4,5.4,0.0,2026-05-26 15:46:10
531720879,2026-05-26 15:39:05,BUY,M1,M1,2,False,4522.76,4526.91,PASS,6.56,6.56,0.0,2026-05-26 15:46:10
531726424,2026-05-26 15:45:05,SELL,M1,M1,14,False,4525.5,4525.12,PASS,0.0,0.0,0.0,2026-05-26 15:46:10
531814552,2026-05-26 17:31:12,BUY,M1,M1,3,False,4534.21,4527.46,FAIL,-1.68,-0.2,1.48,2026-05-26 17:31:12
531824191,2026-05-26 17:45:12,SELL,M1,M1,3,False,4534.19,4533.15,PASS,-16.92,-16.92,0.0,2026-05-26 17:50:07
531822353,2026-05-26 17:45:52,SELL,M1,M1,2,False,4534.92,4533.15,PASS,-2.92,-2.92,0.0,2026-05-26 17:48:52
531824192,2026-05-26 17:45:57,SELL,M1,M1,11,False,4535.89,4533.15,PASS,0.72,0.72,0.0,2026-05-26 17:48:52
531828625,2026-05-26 17:48:17,SELL,M1,M1,1,False,4535.06,4533.15,PASS,-18.88,-18.88,0.0,2026-05-26 17:50:27
531825768,2026-05-26 17:49:57,SELL,M5,M5,1,False,4536.4,4525.45,PASS,0.32,0.32,0.0,2026-05-26 18:04:12
531832153,2026-05-26 17:54:12,BUY,M5,M5,1,False,4535.21,4526.32,FAIL,-2.08,-0.2,1.8800000000000001,2026-05-26 17:54:12
531830220,2026-05-26 17:54:17,BUY,M1,M1,11,False,4534.67,4536.01,PASS,-5.32,-5.32,0.0,2026-05-26 18:00:42
531839473,2026-05-26 18:07:17,BUY,M5,M5,1,False,4534.56,4526.32,FAIL,-1.04,-0.2,0.8400000000000001,2026-05-26 18:07:17
531836949,2026-05-26 18:18:52,BUY,M30,M30,2,False,4531.33,4546.13,PASS,-104.76,-104.76,0.0,2026-05-26 19:28:49
531813674,2026-05-26 18:23:12,BUY,M5,M5,2,False,4525.56,4526.32,PASS,-77.0,-77.0,0.0,2026-05-26 19:28:39
531850334,2026-05-26 18:24:12,SELL,M1,M1,2,False,4526.95,4530.78,FAIL,-1.4,-0.2,1.2,2026-05-26 18:24:12
531813679,2026-05-26 18:25:17,BUY,M30,M30,3,False,4524.83,4546.13,PASS,-77.84,-77.84,0.0,2026-05-26 19:28:44
531852330,2026-05-26 18:26:27,SELL,M1,M1,3,False,4526.19,4530.03,FAIL,1.04,-0.2,-1.24,2026-05-26 18:26:27
531836965,2026-05-26 18:26:42,BUY,H1,H1,1,False,4524.08,4541.96,PASS,-73.76,-73.76,0.0,2026-05-26 19:28:49
531812319,2026-05-26 18:30:42,BUY,M15,M15,1,False,4518.2,4522.6,PASS,-3.22,-3.22,0.0,2026-05-26 18:35:27
531812321,2026-05-26 18:30:42,BUY,M15,M15,11,False,4518.2,4522.6,PASS,-3.22,-3.22,0.0,2026-05-26 18:35:27
531895828,2026-05-26 18:57:17,SELL,M1,M1,3,False,4511.27,4514.59,FAIL,0.66,-0.2,-0.8600000000000001,2026-05-26 19:08:27
531896589,2026-05-26 18:57:17,SELL,M1,M1,2,False,4510.72,4514.59,FAIL,0.16,-0.2,-0.36,2026-05-26 19:08:27
531901055,2026-05-26 19:00:52,BUY,M15,M15,11,False,4504.69,4522.15,PASS,5.0,5.0,0.0,2026-05-26 19:03:52
