bt_entry,bt_fill_ts,bt_pnl,bt_reason,status
4530.94,2026-06-02 15:01:00,55.88,TP,BACKTEST_ONLY
4530.48,2026-06-02 17:01:00,-35.84,SL,BACKTEST_ONLY
