ticket,fill_ts,side,raw_tf,tf_used,sid,fill_price,eq,swing_h,swing_l,pd_result,actual_pl,sim_pl,diff,close_ts
531943975,2026-05-26 22:17:54,BUY,M1,M1,2,4505.51,4512.89,4520.55,4505.23,PASS,0.62,0.62,0.0,2026-05-26 22:24:04
531962159,2026-05-26 22:17:54,BUY,M15,M15,1,4506.34,4520.58,4540.51,4500.65,PASS,-1.04,-1.04,0.0,2026-05-26 22:24:04
531962160,2026-05-26 22:17:54,BUY,M15,M15,11,4506.34,4520.58,4540.51,4500.65,PASS,-1.04,-1.04,0.0,2026-05-26 22:24:04
532137688,2026-05-26 22:34:09,BUY,M1,M1,3,4506.48,4509.05,4514.37,4503.73,PASS,-0.3,-0.3,0.0,2026-05-26 22:50:09
531942441,2026-05-26 22:37:34,BUY,M1,M1,1,4503.41,4507.44,4512.57,4502.31,PASS,5.94,5.94,0.0,2026-05-26 22:50:09
531943978,2026-05-26 22:37:34,BUY,M1,M1,11,4503.41,4507.44,4512.57,4502.31,PASS,5.94,5.94,0.0,2026-05-26 22:50:09
532140891,2026-05-26 22:39:19,SELL,M1,M1,1,4504.99,4507.44,4512.57,4502.31,FAIL,-0.88,-0.2,0.6799999999999999,2026-05-26 22:39:19
532155626,2026-05-26 22:56:04,BUY,M5,M5,1,4508.17,4516.83,4531.35,4502.31,PASS,-2.49,-2.49,0.0,2026-05-26 23:42:14
532155627,2026-05-26 22:56:04,BUY,M5,M5,3,4508.17,4516.83,4531.35,4502.31,PASS,-2.49,-2.49,0.0,2026-05-26 23:42:14
532167189,2026-05-26 23:18:19,SELL,M1,M1,1,4502.36,4505.5,4510.83,4500.17,FAIL,-0.8,-0.2,0.6000000000000001,2026-05-26 23:18:19
532169797,2026-05-26 23:18:19,SELL,M1,M1,11,4502.36,4505.5,4510.83,4500.17,FAIL,-0.8,-0.2,0.6000000000000001,2026-05-26 23:18:19
532166021,2026-05-26 23:18:24,SELL,M1,M1,3,4503.02,4505.5,4510.83,4500.17,FAIL,0.4,-0.2,-0.6000000000000001,2026-05-26 23:18:24
532164208,2026-05-26 23:19:14,SELL,M1,M1,2,4503.56,4505.5,4510.83,4500.17,FAIL,-1.36,-0.2,1.1600000000000001,2026-05-26 23:19:14
532164207,2026-05-26 23:19:24,SELL,M1,M1,3,4504.3,4505.5,4510.83,4500.17,FAIL,-0.8,-0.2,0.6000000000000001,2026-05-26 23:19:24
532171525,2026-05-26 23:21:19,BUY,M5,M5,1,4502.85,4512.56,4524.95,4500.17,PASS,4.49,4.49,0.0,2026-05-26 23:42:14
532163125,2026-05-26 23:26:59,SELL,M1,M1,11,4507.57,4504.34,4508.51,4500.17,PASS,-6.08,-6.08,0.0,2026-05-26 23:30:44
532157095,2026-05-26 23:30:44,SELL,M1,M1,11,4509.04,4504.85,4509.53,4500.17,PASS,-4.12,-4.12,0.0,2026-05-26 23:33:19
532183269,2026-05-26 23:43:44,SELL,M1,M1,3,4507.75,4505.74,4511.31,4500.17,PASS,4.36,4.36,0.0,2026-05-26 23:55:29
532187721,2026-05-26 23:58:04,SELL,M5,M5,2,4505.9,4512.56,4524.95,4500.17,FAIL,-1.0,-0.2,0.8,2026-05-27 00:01:44
532188675,2026-05-27 00:00:09,BUY,M1,M1,1,4504.74,4507.2,4511.31,4503.1,PASS,-0.48,-0.48,0.0,2026-05-27 00:05:44
532188676,2026-05-27 00:00:09,BUY,M1,M1,11,4504.74,4507.2,4511.31,4503.1,PASS,-0.48,-0.48,0.0,2026-05-27 00:05:44
532190420,2026-05-27 00:04:29,BUY,M1,M1,2,4506.29,4506.9,4510.69,4503.1,PASS,-6.84,-6.84,0.0,2026-05-27 00:28:44
532186842,2026-05-27 00:08:49,BUY,M1,M1,11,4503.85,4506.48,4509.85,4503.1,PASS,2.0,2.0,0.0,2026-05-27 00:12:24
532195984,2026-05-27 00:29:04,BUY,M5,M5,1,4504.02,4507.91,4515.66,4500.17,PASS,-27.4,-27.4,0.0,2026-05-27 00:43:24
532195985,2026-05-27 00:29:04,BUY,M5,M5,11,4504.02,4507.91,4515.66,4500.17,PASS,-4.52,-4.52,0.0,2026-05-27 00:29:09
532208450,2026-05-27 00:51:09,SELL,M1,M1,3,4500.43,4502.31,4507.54,4497.07,FAIL,-0.44,-0.2,0.24,2026-05-27 00:51:09
532208126,2026-05-27 00:54:14,BUY,M5,M5,1,4498.12,4503.74,4511.31,4496.16,PASS,-29.36,-29.36,0.0,2026-05-27 00:59:04
532217119,2026-05-27 01:04:44,SELL,M1,M1,2,4487.81,4493.24,4501.23,4485.25,FAIL,2.52,-0.2,-2.72,2026-05-27 01:04:44
532221998,2026-05-27 01:12:09,BUY,M1,M1,2,4490.0,4491.93,4501.23,4482.63,PASS,6.03,6.03,0.0,2026-05-27 01:35:29
532217790,2026-05-27 01:25:39,SELL,M5,M5,2,4493.41,4496.97,4511.31,4482.63,FAIL,-2.28,-0.2,2.0799999999999996,2026-05-27 01:25:39
532223094,2026-05-27 01:25:39,SELL,M15,M15,2,4493.41,4509.41,4536.18,4482.63,FAIL,-2.28,-0.2,2.0799999999999996,2026-05-27 01:25:39
532223095,2026-05-27 01:26:14,SELL,M15,M15,11,4496.05,4509.41,4536.18,4482.63,FAIL,0.6,-0.2,-0.8,2026-05-27 01:26:14
532226511,2026-05-27 01:29:19,SELL,M1,M1,1,4495.01,4489.41,4496.2,4482.63,PASS,-15.2,-15.2,0.0,2026-05-27 01:51:49
532226618,2026-05-27 01:31:44,SELL,M30,M30,2,4496.42,4512.9,4543.17,4482.63,FAIL,-0.28,-0.2,0.08000000000000002,2026-05-27 01:31:44
532214591,2026-05-27 01:32:59,SELL,M1,M1,2,4497.03,4489.86,4497.09,4482.63,PASS,0.64,0.64,0.0,2026-05-27 01:34:44
532228129,2026-05-27 01:34:09,BUY,M1,M1,2,4497.02,4490.49,4498.34,4482.63,FAIL,-2.2,-0.2,2.0,2026-05-27 01:34:09
532229456,2026-05-27 01:37:34,SELL,M1,M1,1,4496.7,4491.1,4498.34,4483.86,PASS,2.0,2.0,0.0,2026-05-27 01:41:19
532230121,2026-05-27 01:43:54,SELL,M1,M1,3,4496.0,4491.96,4498.34,4485.58,PASS,-11.36,-11.36,0.0,2026-05-27 01:51:49
532230849,2026-05-27 01:51:09,SELL,M1,M1,1,4498.1,4495.15,4499.29,4491.0,PASS,-6.8,-6.8,0.0,2026-05-27 02:03:09
532231248,2026-05-27 01:53:19,BUY,M1,M1,2,4498.9,4495.75,4499.45,4492.05,FAIL,-0.68,-0.2,0.48000000000000004,2026-05-27 01:53:19
532234095,2026-05-27 02:01:44,SELL,M1,M1,1,4499.13,4497.48,4499.81,4495.14,PASS,-8.32,-8.32,0.0,2026-05-27 02:10:29
532235624,2026-05-27 02:04:39,SELL,H1,H1,2,4499.52,4531.39,4580.14,4482.63,FAIL,-1.12,-0.2,0.9200000000000002,2026-05-27 02:04:39
532235932,2026-05-27 02:09:24,SELL,M1,M1,1,4500.07,4498.14,4501.13,4495.14,PASS,-4.64,-4.64,0.0,2026-05-27 02:15:49
532240294,2026-05-27 02:35:04,SELL,M1,M1,3,4503.74,4501.68,4504.66,4498.7,PASS,-5.6,-5.6,0.0,2026-05-27 02:42:04
532198422,2026-05-27 02:42:34,SELL,M1,M1,2,4505.41,4502.27,4505.41,4499.13,PASS,-2.76,-2.76,0.0,2026-05-27 02:48:04
532197469,2026-05-27 02:43:04,SELL,M1,M1,3,4505.68,4502.52,4505.92,4499.13,PASS,-1.68,-1.68,0.0,2026-05-27 02:48:04
532214616,2026-05-27 02:48:09,SELL,H1,H1,3,4506.46,4531.39,4580.14,4482.63,FAIL,-0.88,-0.2,0.6799999999999999,2026-05-27 02:48:09
532197470,2026-05-27 02:49:04,SELL,M1,M1,1,4507.04,4504.41,4508.0,4500.83,PASS,-4.76,-4.76,0.0,2026-05-27 02:56:49
532197471,2026-05-27 02:49:04,SELL,M1,M1,11,4507.04,4504.41,4508.0,4500.83,PASS,-3.48,-3.48,0.0,2026-05-27 02:49:19
532183270,2026-05-27 02:57:49,SELL,M1,M1,11,4509.06,4505.11,4509.4,4500.83,PASS,0.64,0.64,0.0,2026-05-27 02:59:59
532183848,2026-05-27 02:58:09,SELL,M5,M5,11,4509.47,4496.35,4510.07,4482.63,PASS,2.67,2.67,0.0,2026-05-27 03:15:14
532244034,2026-05-27 02:59:24,BUY,M1,M1,2,4508.04,4505.45,4510.07,4500.83,FAIL,-0.6,-0.2,0.39999999999999997,2026-05-27 02:59:24
532245041,2026-05-27 03:04:14,BUY,M1,M1,2,4509.02,4506.82,4510.49,4503.14,FAIL,-0.72,-0.2,0.52,2026-05-27 03:04:14
532244817,2026-05-27 03:04:19,BUY,M1,M1,3,4508.74,4506.82,4510.49,4503.14,FAIL,-1.64,-0.2,1.44,2026-05-27 03:04:19
532246096,2026-05-27 03:09:14,BUY,M1,M1,1,4508.0,4507.01,4510.49,4503.53,FAIL,0.64,-0.2,-0.8400000000000001,2026-05-27 03:21:34
532246580,2026-05-27 03:15:19,SELL,M1,M1,1,4508.65,4507.34,4510.49,4504.19,PASS,0.64,0.64,0.0,2026-05-27 03:22:43
532247430,2026-05-27 03:21:44,BUY,M1,M1,2,4507.93,4508.15,4510.49,4505.8,PASS,2.0,2.0,0.0,2026-05-27 03:25:24
532247875,2026-05-27 03:22:49,SELL,M1,M1,3,4508.7,4508.15,4510.49,4505.8,PASS,2.1,2.1,0.0,2026-05-27 03:39:43
532248243,2026-05-27 03:31:04,SELL,M5,M5,1,4507.66,4496.56,4510.49,4482.63,PASS,-1.36,-1.36,0.0,2026-05-27 03:39:43
532248432,2026-05-27 03:38:04,BUY,M1,M1,1,4506.39,4508.09,4509.96,4506.22,PASS,8.13,8.13,0.0,2026-05-27 03:40:59
532248079,2026-05-27 03:40:59,SELL,M1,M1,3,4509.12,4508.09,4509.96,4506.22,PASS,0.64,0.64,0.0,2026-05-27 03:44:19
532247733,2026-05-27 03:41:34,SELL,M1,M1,1,4509.55,4508.09,4509.96,4506.22,PASS,0.64,0.64,0.0,2026-05-27 03:45:04
532248884,2026-05-27 03:44:14,BUY,M1,M1,2,4508.75,4508.09,4509.96,4506.22,FAIL,0.16,-0.2,-0.36,2026-05-27 03:44:14
532249003,2026-05-27 03:45:09,SELL,M1,M1,1,4509.53,4508.09,4509.96,4506.22,PASS,6.62,6.62,0.0,2026-05-27 03:50:03
532249760,2026-05-27 03:54:44,SELL,M1,M1,2,4506.35,4507.03,4510.11,4503.95,FAIL,0.04,-0.2,-0.24000000000000002,2026-05-27 03:54:44
532251426,2026-05-27 04:46:23,SELL,M1,M1,1,75919.2,4507.03,4510.11,4503.95,PASS,0.0,0.0,0.0,2026-05-27 05:02:39
532251572,2026-05-27 05:02:13,SELL,M5,M5,2,75841.1,4509.0,4524.19,4493.81,PASS,0.0,0.0,0.0,2026-05-27 05:02:39
532248244,2026-05-27 05:02:39,BUY,M30,M30,2,4506.12,4511.57,4540.51,4482.63,PASS,0.0,0.0,0.0,2026-05-27 04:01:39
532177111,2026-05-27 05:02:39,SELL,M30,M30,11,4524.17,4511.57,4540.51,4482.63,PASS,68.44,68.44,0.0,2026-05-27 05:54:19
532250156,2026-05-27 05:02:44,BUY,M1,M1,2,4504.91,4509.0,4524.19,4493.81,PASS,-12.12,-12.12,0.0,2026-05-27 05:02:49
532240667,2026-05-27 05:02:49,BUY,M15,M15,2,4496.59,4505.98,4529.33,4482.63,PASS,90.4,90.4,0.0,2026-05-27 07:31:14
532240672,2026-05-27 05:02:49,BUY,M15,M15,3,4496.59,4505.98,4529.33,4482.63,PASS,77.52,77.52,0.0,2026-05-27 06:34:39
532253399,2026-05-27 05:02:49,BUY,H1,H1,2,4496.59,4531.39,4580.14,4482.63,PASS,23.34,23.34,0.0,2026-05-27 07:31:14
532257460,2026-05-27 05:12:09,BUY,M1,M1,1,4504.78,4509.0,4524.19,4493.81,PASS,5.84,5.84,0.0,2026-05-27 06:01:29
532260855,2026-05-27 05:37:54,SELL,M1,M1,2,4500.83,4504.16,4510.2,4498.13,FAIL,1.8,-0.2,-2.0,2026-05-27 05:37:54
532261000,2026-05-27 05:38:09,SELL,M1,M1,2,4500.12,4504.16,4510.2,4498.13,FAIL,-2.12,-0.2,1.9200000000000002,2026-05-27 05:38:09
532261793,2026-05-27 05:48:09,SELL,M1,M1,2,4500.36,4504.13,4510.13,4498.13,FAIL,-0.32,-0.2,0.12,2026-05-27 05:48:09
532261765,2026-05-27 05:48:34,SELL,M1,M1,3,4500.86,4504.13,4510.13,4498.13,FAIL,-19.36,-0.2,19.16,2026-05-27 05:52:44
532261230,2026-05-27 05:54:19,SELL,M5,M5,11,4507.03,4509.0,4524.19,4493.81,FAIL,-20.32,-0.2,20.12,2026-05-27 05:57:54
532263237,2026-05-27 06:00:09,SELL,M1,M1,1,4511.69,4505.91,4513.7,4498.13,PASS,2.0,2.0,0.0,2026-05-27 06:04:54
532263565,2026-05-27 06:01:09,BUY,M1,M1,3,4511.8,4505.91,4513.7,4498.13,FAIL,-1.4,-0.2,1.2,2026-05-27 06:01:09
532264863,2026-05-27 06:16:43,SELL,M1,M1,2,4510.15,4506.67,4513.7,4499.65,PASS,-0.6,-0.6,0.0,2026-05-27 06:28:54
532266841,2026-05-27 06:28:49,SELL,M5,M5,3,4508.97,4509.0,4524.19,4493.81,FAIL,-38.24,-0.2,38.04,2026-05-27 06:41:04
532265373,2026-05-27 06:28:54,SELL,M5,M5,11,4511.28,4509.0,4524.19,4493.81,PASS,-10.44,-10.44,0.0,2026-05-27 06:33:54
532268688,2026-05-27 06:36:14,BUY,M1,M1,2,4513.27,4510.59,4516.65,4504.52,FAIL,0.2,-0.2,-0.4,2026-05-27 06:36:14
532269082,2026-05-27 06:37:09,SELL,M1,M1,1,4514.71,4510.59,4516.65,4504.52,PASS,0.64,0.64,0.0,2026-05-27 06:39:49
532269292,2026-05-27 06:38:24,BUY,M1,M1,1,4514.3,4510.59,4516.65,4504.52,FAIL,-1.08,-0.2,0.8800000000000001,2026-05-27 06:38:24
532032671,2026-05-27 06:45:49,SELL,M5,M5,11,4527.61,4510.74,4527.67,4493.81,PASS,27.08,27.08,0.0,2026-05-27 07:00:24
532038437,2026-05-27 06:45:49,SELL,M5,M5,11,4527.61,4510.74,4527.67,4493.81,PASS,27.08,27.08,0.0,2026-05-27 07:00:24
532277134,2026-05-27 07:03:14,BUY,M1,M1,2,4521.61,4520.24,4527.67,4512.81,FAIL,0.48,-0.2,-0.6799999999999999,2026-05-27 07:10:39
532277912,2026-05-27 07:07:04,BUY,M1,M1,1,4521.43,4520.63,4527.67,4513.59,FAIL,0.48,-0.2,-0.6799999999999999,2026-05-27 07:10:39
532278211,2026-05-27 07:08:44,SELL,M1,M1,1,4522.01,4520.63,4527.67,4513.59,PASS,3.22,3.22,0.0,2026-05-27 07:28:54
532280875,2026-05-27 07:20:14,BUY,M1,M1,3,4520.99,4521.57,4525.89,4517.24,PASS,-16.72,-16.72,0.0,2026-05-27 07:22:34
532280876,2026-05-27 07:20:29,BUY,M1,M1,1,4520.33,4521.57,4525.89,4517.24,PASS,-18.24,-18.24,0.0,2026-05-27 07:26:04
532281973,2026-05-27 07:25:19,SELL,M1,M1,3,4517.15,4520.76,4525.89,4515.62,FAIL,-2.6,-0.2,2.4,2026-05-27 07:25:19
532283392,2026-05-27 07:30:54,SELL,M5,M5,2,4519.19,4512.9,4527.67,4498.13,PASS,0.0,0.0,0.0,2026-05-27 07:31:14
532283621,2026-05-27 07:40:04,BUY,M1,M1,3,4517.88,4518.35,4522.59,4514.11,PASS,-2.36,-2.36,0.0,2026-05-27 07:40:04
532285083,2026-05-27 07:41:49,SELL,M1,M1,2,4518.74,4518.35,4522.59,4514.11,PASS,0.48,0.48,0.0,2026-05-27 07:57:09
532283620,2026-05-27 07:54:24,BUY,M1,M1,1,4516.27,4518.13,4522.15,4514.11,PASS,1.08,1.08,0.0,2026-05-27 08:18:49
532287121,2026-05-27 07:54:24,BUY,M5,M5,11,4516.27,4512.9,4527.67,4498.13,FAIL,0.32,-0.2,-0.52,2026-05-27 08:27:33
532293091,2026-05-27 08:06:09,SELL,M1,M1,3,4515.65,4517.44,4522.15,4512.73,FAIL,0.6,-0.2,-0.8,2026-05-27 08:06:09
532287120,2026-05-27 08:13:59,SELL,M1,M1,2,4520.5,4517.44,4522.15,4512.73,PASS,4.18,4.18,0.0,2026-05-27 08:22:09
532296637,2026-05-27 08:19:59,BUY,M5,M5,3,4515.95,4514.86,4527.67,4502.05,FAIL,0.32,-0.2,-0.52,2026-05-27 08:27:39
532298880,2026-05-27 08:27:34,BUY,M1,M1,1,4516.54,4516.92,4521.11,4512.73,PASS,-21.24,-21.24,0.0,2026-05-27 08:41:22
532302117,2026-05-27 08:31:24,SELL,M1,M1,1,4515.2,4516.92,4521.11,4512.73,FAIL,-0.68,-0.2,0.48000000000000004,2026-05-27 08:31:24
532302761,2026-05-27 08:33:08,BUY,M1,M1,3,4516.07,4516.92,4521.11,4512.73,PASS,-23.48,-23.48,0.0,2026-05-27 08:43:33
532305380,2026-05-27 08:41:54,SELL,M1,M1,2,4513.51,4516.16,4521.11,4511.21,FAIL,-0.64,-0.2,0.44,2026-05-27 08:41:54
532306707,2026-05-27 08:42:39,BUY,M1,M1,1,4512.0,4516.14,4521.11,4511.16,PASS,-16.68,-16.68,0.0,2026-05-27 08:46:59
532309518,2026-05-27 08:48:34,SELL,M1,M1,3,4510.08,4514.04,4521.11,4506.97,FAIL,-0.2,-0.2,0.0,2026-05-27 08:48:34
532267141,2026-05-27 09:01:44,BUY,M1,M1,3,4505.15,4510.81,4517.18,4504.44,PASS,0.64,0.64,0.0,2026-05-27 09:04:04
532314902,2026-05-27 09:03:19,SELL,M1,M1,2,4505.82,4510.44,4516.76,4504.13,FAIL,-0.64,-0.2,0.44,2026-05-27 09:03:19
532316003,2026-05-27 09:06:09,SELL,M1,M1,1,4505.01,4510.08,4516.03,4504.13,FAIL,-0.16,-0.2,-0.04000000000000001,2026-05-27 09:06:09
