ticket,fill_ts,side,raw_tf,tf_used,sid,fill_price,eq,swing_h,swing_l,pd_result,actual_pl,sim_pl,diff,close_ts
531707426,2026-05-26 15:28:10,SELL,M1,M1,2,4524.9,4531.01,4538.99,4523.03,FAIL,0.2,-0.2,-0.4,2026-05-26 15:28:11
531712059,2026-05-26 15:30:35,BUY,M5,M5,14,4521.65,4529.62,4538.99,4520.25,PASS,4.39,4.39,0.0,2026-05-26 15:46:10
531712061,2026-05-26 15:30:35,BUY,M15,M15,14,4521.65,4534.72,4549.18,4520.25,PASS,4.39,4.39,0.0,2026-05-26 15:46:10
531712889,2026-05-26 15:31:15,SELL,M1,M1,2,4522.85,4528.99,4537.61,4520.38,FAIL,-1.76,-0.2,1.56,2026-05-26 15:31:15
531717307,2026-05-26 15:35:10,BUY,M1,M1,14,4521.11,4527.6,4534.95,4520.25,PASS,4.93,4.93,0.0,2026-05-26 15:46:10
531717312,2026-05-26 15:35:10,BUY,M15,M15,14,4521.09,4534.72,4549.18,4520.25,PASS,4.95,4.95,0.0,2026-05-26 15:46:10
531717386,2026-05-26 15:35:15,BUY,M1,M1,14,4520.64,4527.6,4534.95,4520.25,PASS,5.4,5.4,0.0,2026-05-26 15:46:10
531720879,2026-05-26 15:39:05,BUY,M1,M1,2,4522.76,4526.91,4533.58,4520.25,PASS,6.56,6.56,0.0,2026-05-26 15:46:10
531726424,2026-05-26 15:45:05,SELL,M1,M1,14,4525.5,4525.12,4530.0,4520.25,PASS,0.0,0.0,0.0,2026-05-26 15:46:10
531814552,2026-05-26 17:31:12,BUY,M1,M1,3,4534.21,4527.46,4535.47,4519.45,FAIL,-1.68,-0.2,1.48,2026-05-26 17:31:12
531824191,2026-05-26 17:45:12,SELL,M1,M1,3,4534.19,4533.15,4538.78,4527.53,PASS,-16.92,-16.92,0.0,2026-05-26 17:50:07
531822353,2026-05-26 17:45:52,SELL,M1,M1,2,4534.92,4533.15,4538.78,4527.53,PASS,-2.92,-2.92,0.0,2026-05-26 17:48:52
531824192,2026-05-26 17:45:57,SELL,M1,M1,11,4535.89,4533.15,4538.78,4527.53,PASS,0.72,0.72,0.0,2026-05-26 17:48:52
531828625,2026-05-26 17:48:17,SELL,M1,M1,1,4535.06,4533.15,4538.78,4527.53,PASS,-18.88,-18.88,0.0,2026-05-26 17:50:27
531825768,2026-05-26 17:49:57,SELL,M5,M5,1,4536.4,4525.45,4538.78,4512.12,PASS,0.32,0.32,0.0,2026-05-26 18:04:12
531832153,2026-05-26 17:54:12,BUY,M5,M5,1,4535.21,4526.32,4540.51,4512.12,FAIL,-2.08,-0.2,1.8800000000000001,2026-05-26 17:54:12
531830220,2026-05-26 17:54:17,BUY,M1,M1,11,4534.67,4536.01,4540.51,4531.5,PASS,-5.32,-5.32,0.0,2026-05-26 18:00:42
531839473,2026-05-26 18:07:17,BUY,M5,M5,1,4534.56,4526.32,4540.51,4512.12,FAIL,-1.04,-0.2,0.8400000000000001,2026-05-26 18:07:17
531836949,2026-05-26 18:18:52,BUY,M30,M30,2,4531.33,4546.13,4580.14,4512.12,PASS,-104.76,-104.76,0.0,2026-05-26 19:28:49
531813674,2026-05-26 18:23:12,BUY,M5,M5,2,4525.56,4526.32,4540.51,4512.12,PASS,-77.0,-77.0,0.0,2026-05-26 19:28:39
531850334,2026-05-26 18:24:12,SELL,M1,M1,2,4526.95,4530.78,4536.18,4525.39,FAIL,-1.4,-0.2,1.2,2026-05-26 18:24:12
531813679,2026-05-26 18:25:17,BUY,M30,M30,3,4524.83,4546.13,4580.14,4512.12,PASS,-77.84,-77.84,0.0,2026-05-26 19:28:44
531852330,2026-05-26 18:26:27,SELL,M1,M1,3,4526.19,4530.03,4536.18,4523.88,FAIL,1.04,-0.2,-1.24,2026-05-26 18:26:27
531836965,2026-05-26 18:26:42,BUY,H1,H1,1,4524.08,4541.96,4580.14,4503.78,PASS,-73.76,-73.76,0.0,2026-05-26 19:28:49
531812319,2026-05-26 18:30:42,BUY,M15,M15,1,4518.2,4522.6,4540.51,4504.68,PASS,-3.22,-3.22,0.0,2026-05-26 18:35:27
531812321,2026-05-26 18:30:42,BUY,M15,M15,11,4518.2,4522.6,4540.51,4504.68,PASS,-3.22,-3.22,0.0,2026-05-26 18:35:27
531895828,2026-05-26 18:57:17,SELL,M1,M1,3,4511.27,4514.59,4524.5,4504.68,FAIL,0.66,-0.2,-0.8600000000000001,2026-05-26 19:08:27
531896589,2026-05-26 18:57:17,SELL,M1,M1,2,4510.72,4514.59,4524.5,4504.68,FAIL,0.16,-0.2,-0.36,2026-05-26 19:08:27
531901055,2026-05-26 19:00:52,BUY,M15,M15,11,4504.69,4522.15,4540.51,4503.78,PASS,5.0,5.0,0.0,2026-05-26 19:03:52
531900839,2026-05-26 19:01:32,SELL,M5,M5,3,4510.06,4522.15,4540.51,4503.78,FAIL,-0.6,-0.2,0.39999999999999997,2026-05-26 19:01:32
531902475,2026-05-26 19:28:44,BUY,M1,M1,1,4505.55,4509.83,4515.97,4503.68,PASS,2.0,2.0,0.0,2026-05-26 19:32:09
531904953,2026-05-26 19:30:49,BUY,M1,M1,9,4503.78,4509.26,4515.97,4502.54,PASS,5.68,5.68,0.0,2026-05-26 19:37:54
531930984,2026-05-26 19:31:49,SELL,M1,M1,3,4505.68,4508.31,4515.97,4500.65,FAIL,0.48,-0.2,-0.6799999999999999,2026-05-26 19:31:49
531932960,2026-05-26 19:32:44,SELL,M1,M1,11,4506.57,4508.31,4515.97,4500.65,FAIL,2.88,-0.2,-3.08,2026-05-26 19:32:44
531900876,2026-05-26 19:53:39,SELL,H1,H1,3,4522.8,4540.4,4580.14,4500.65,FAIL,-1.88,-0.2,1.68,2026-05-26 19:53:39
531857511,2026-05-26 19:55:39,SELL,M1,M1,3,4523.76,4512.2,4523.76,4500.65,PASS,0.72,0.72,0.0,2026-05-26 20:00:49
531956598,2026-05-26 19:58:39,BUY,M1,M1,2,4520.46,4512.2,4523.76,4500.65,FAIL,-0.08,-0.2,-0.12000000000000001,2026-05-26 19:58:39
531962157,2026-05-26 20:00:09,SELL,M1,M1,2,4521.04,4512.2,4523.76,4500.65,PASS,6.92,6.92,0.0,2026-05-26 20:11:14
531854856,2026-05-26 20:02:39,SELL,M1,M1,3,4525.1,4513.95,4526.41,4501.5,PASS,17.2,17.2,0.0,2026-05-26 20:05:59
531968481,2026-05-26 20:09:54,SELL,M1,M1,3,4523.21,4514.28,4526.41,4502.16,PASS,11.7,11.7,0.0,2026-05-26 20:11:14
531972120,2026-05-26 20:10:08,BUY,M1,M1,3,4521.69,4515.07,4526.41,4503.72,FAIL,6.88,-0.2,-7.08,2026-05-26 20:27:39
531977346,2026-05-26 20:17:59,SELL,M5,M5,3,4520.2,4520.58,4540.51,4500.65,FAIL,4.32,-0.2,-4.5200000000000005,2026-05-26 21:01:54
531987931,2026-05-26 20:27:29,SELL,M1,M1,1,4526.27,4521.79,4527.51,4516.07,PASS,-0.42,-0.42,0.0,2026-05-26 20:30:09
531992482,2026-05-26 20:31:09,SELL,M1,M1,2,4523.56,4521.96,4527.85,4516.07,PASS,-5.85,-5.85,0.0,2026-05-26 20:37:09
532005739,2026-05-26 20:40:44,SELL,M1,M1,1,4527.78,4522.41,4528.76,4516.07,PASS,2.0,2.0,0.0,2026-05-26 20:44:59
532005740,2026-05-26 20:40:44,SELL,M1,M1,11,4527.78,4522.41,4528.76,4516.07,PASS,-6.84,-6.84,0.0,2026-05-26 20:44:04
531848346,2026-05-26 20:44:04,SELL,[M1_M5],M1,2,4529.35,4524.77,4531.35,4518.18,PASS,13.16,13.16,0.0,2026-05-26 20:46:44
531849314,2026-05-26 20:44:04,SELL,M1,M1,11,4529.72,4524.77,4531.35,4518.18,PASS,2.0,2.0,0.0,2026-05-26 20:48:29
531847562,2026-05-26 20:44:09,SELL,M1,M1,11,4531.08,4524.77,4531.35,4518.18,PASS,21.28,21.28,0.0,2026-05-26 20:49:14
532010855,2026-05-26 20:44:54,BUY,M1,M1,3,4528.28,4524.77,4531.35,4518.18,FAIL,-4.68,-0.2,4.4799999999999995,2026-05-26 20:44:54
531947948,2026-05-26 21:00:34,BUY,M1,M1,3,4511.82,4521.32,4531.35,4511.28,PASS,7.08,7.08,0.0,2026-05-26 21:05:49
532051847,2026-05-26 21:11:09,BUY,M1,M1,11,4513.79,4521.32,4531.35,4511.28,PASS,-15.44,-15.44,0.0,2026-05-26 21:12:59
532061868,2026-05-26 21:32:54,SELL,M5,M5,2,4521.5,4516.0,4531.35,4500.65,PASS,-0.98,-0.98,0.0,2026-05-26 21:36:09
532081132,2026-05-26 21:34:09,SELL,M1,M1,1,4519.24,4514.85,4521.83,4507.88,PASS,5.55,5.55,0.0,2026-05-26 22:05:29
532092081,2026-05-26 21:44:59,SELL,M1,M1,3,4521.3,4516.76,4524.95,4508.57,PASS,7.61,7.61,0.0,2026-05-26 22:05:29
532088516,2026-05-26 21:53:29,BUY,M5,M5,3,4517.69,4516.0,4531.35,4500.65,FAIL,-54.48,-0.2,54.279999999999994,2026-05-26 22:31:59
532093141,2026-05-26 21:56:04,BUY,M15,M15,1,4512.98,4520.58,4540.51,4500.65,PASS,-0.51,-0.51,0.0,2026-05-26 22:01:44
532093158,2026-05-26 21:56:04,BUY,M15,M15,11,4512.98,4520.58,4540.51,4500.65,PASS,-0.51,-0.51,0.0,2026-05-26 22:01:44
532088517,2026-05-26 22:02:19,BUY,M5,M5,11,4511.64,4516.43,4531.35,4501.5,PASS,-4.23,-4.23,0.0,2026-05-26 22:06:39
532117259,2026-05-26 22:09:34,BUY,M1,M1,1,4511.35,4515.99,4523.83,4508.16,PASS,-26.72,-26.72,0.0,2026-05-26 22:31:44
