entry_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason,tf
2026-07-20 11:27:00,2026-07-20 12:12:00,BUY,4023.63,4014.25,4029.08,SL,-9.58,S430 BUY Triple EMA StochRSI,k=11.87 d=11.77 close=4023.69 ATR=1.35,M1
2026-07-20 16:17:00,2026-07-20 18:31:00,BUY,4021.45,4009.68,4027.83,TP,6.18,S430 BUY Triple EMA StochRSI,k=17.12 d=16.89 close=4021.23 ATR=1.65,M1
2026-07-21 09:24:00,2026-07-21 09:37:00,BUY,4027.21,4012.41,4035.7,TP,8.29,S430 BUY Triple EMA StochRSI,k=12.18 d=12.05 close=4027.23 ATR=2.12,M1
2026-07-21 11:39:00,2026-07-21 12:16:00,BUY,4046.25,4036.64,4051.75,TP,5.3,S430 BUY Triple EMA StochRSI,k=11.89 d=11.79 close=4046.26 ATR=1.37,M1
2026-07-21 14:33:00,2026-07-21 18:05:00,BUY,4071.0,4059.05,4077.31,SL,-12.15,S430 BUY Triple EMA StochRSI,k=2.80 d=2.62 close=4070.67 ATR=1.66,M1
2026-07-22 03:32:00,2026-07-22 03:56:00,BUY,4083.96,4077.44,4087.61,SL,-6.72,S430 BUY Triple EMA StochRSI,k=13.12 d=12.95 close=4083.91 ATR=0.92,M1
2026-07-22 06:06:00,2026-07-22 07:07:00,BUY,4081.47,4074.32,4085.71,TP,4.04,S430 BUY Triple EMA StochRSI,k=27.51 d=27.15 close=4081.57 ATR=1.04,M1
2026-07-22 09:46:00,2026-07-22 10:07:00,BUY,4128.39,4114.72,4136.23,TP,7.64,S430 BUY Triple EMA StochRSI,k=26.32 d=25.16 close=4128.41 ATR=1.96,M1
2026-07-22 12:31:00,2026-07-22 12:38:00,BUY,4127.3,4119.61,4131.66,TP,4.16,S430 BUY Triple EMA StochRSI,k=6.83 d=5.75 close=4127.28 ATR=1.10,M1
2026-07-22 18:50:00,2026-07-22 19:01:00,BUY,4120.25,4110.99,4125.57,TP,5.12,S430 BUY Triple EMA StochRSI,k=30.21 d=27.58 close=4120.27 ATR=1.33,M1
2026-07-22 22:04:00,2026-07-22 22:50:00,BUY,4153.73,4136.09,4163.77,TP,9.84,S430 BUY Triple EMA StochRSI,k=13.12 d=12.66 close=4153.70 ATR=2.52,M1
2026-07-24 16:43:00,2026-07-24 17:05:00,BUY,4055.83,4046.61,4061.11,TP,5.08,S430 BUY Triple EMA StochRSI,k=30.79 d=30.65 close=4055.84 ATR=1.32,M1
2026-07-24 17:59:00,2026-07-24 18:54:00,BUY,4060.21,4052.94,4064.38,SL,-7.47,S430 BUY Triple EMA StochRSI,k=20.83 d=20.11 close=4060.22 ATR=1.04,M1
2026-07-24 18:59:00,2026-07-24 20:07:00,BUY,4057.79,4049.89,4062.23,SL,-8.1,S430 BUY Triple EMA StochRSI,k=4.36 d=2.30 close=4057.74 ATR=1.12,M1
2026-07-27 06:49:00,2026-07-27 07:01:00,BUY,4093.37,4084.8,4098.25,TP,4.68,S430 BUY Triple EMA StochRSI,k=31.28 d=28.99 close=4093.36 ATR=1.22,M1
2026-07-27 08:02:00,2026-07-27 10:11:00,BUY,4108.7,4090.9,4119.26,SL,-18.0,S430 BUY Triple EMA StochRSI,k=28.88 d=28.79 close=4108.95 ATR=2.58,M1
2026-07-27 19:03:00,2026-07-27 19:14:00,BUY,4097.54,4087.91,4103.03,SL,-9.83,S430 BUY Triple EMA StochRSI,k=10.85 d=10.31 close=4097.53 ATR=1.37,M1
2026-07-28 15:24:00,2026-07-28 16:30:00,BUY,4050.72,4039.69,4057.09,SL,-11.23,S430 BUY Triple EMA StochRSI,k=30.61 d=29.11 close=4050.76 ATR=1.58,M1
2026-07-29 10:36:00,2026-07-29 12:31:00,BUY,4028.14,4017.46,4034.32,TP,5.98,S430 BUY Triple EMA StochRSI,k=6.84 d=6.48 close=4028.19 ATR=1.53,M1
2026-07-30 01:42:00,2026-07-30 01:50:00,BUY,4075.99,4043.47,4094.64,TP,18.45,S430 BUY Triple EMA StochRSI,k=22.76 d=22.64 close=4076.03 ATR=4.65,M1
2026-07-30 17:09:00,2026-07-30 17:32:00,BUY,4070.48,4056.75,4078.24,TP,7.56,S430 BUY Triple EMA StochRSI,k=23.29 d=22.25 close=4070.43 ATR=1.95,M1
2026-07-30 19:26:00,2026-07-30 19:31:00,BUY,4078.32,4065.99,4085.34,TP,6.82,S430 BUY Triple EMA StochRSI,k=9.17 d=8.56 close=4078.30 ATR=1.76,M1
2026-07-30 19:46:00,2026-07-30 20:38:00,BUY,4077.51,4061.01,4086.81,TP,9.1,S430 BUY Triple EMA StochRSI,k=18.85 d=18.09 close=4077.43 ATR=2.35,M1
2026-07-30 22:19:00,2026-07-30 22:56:00,BUY,4094.95,4071.22,4108.49,TP,13.34,S430 BUY Triple EMA StochRSI,k=6.55 d=6.47 close=4094.94 ATR=3.39,M1
2026-07-31 01:32:00,2026-07-31 02:18:00,BUY,4105.48,4094.26,4111.88,TP,6.2,S430 BUY Triple EMA StochRSI,k=15.97 d=14.41 close=4105.47 ATR=1.60,M1
2026-08-01 02:00:00,2026-08-01 02:46:00,BUY,4050.79,4042.58,4055.5,TP,4.51,S430 BUY Triple EMA StochRSI,k=30.71 d=30.32 close=4050.80 ATR=1.17,M1
2026-08-03 06:51:00,2026-08-03 07:02:00,BUY,4072.35,4062.66,4077.96,TP,5.41,S430 BUY Triple EMA StochRSI,k=27.78 d=25.29 close=4072.40 ATR=1.39,M1
2026-08-03 07:31:00,2026-08-03 07:45:00,BUY,4069.42,4057.09,4076.54,SL,-12.53,S430 BUY Triple EMA StochRSI,k=4.95 d=4.83 close=4069.47 ATR=1.77,M1
2026-08-03 12:43:00,2026-08-03 12:59:00,BUY,4063.07,4052.98,4068.96,TP,5.69,S430 BUY Triple EMA StochRSI,k=25.07 d=24.55 close=4063.15 ATR=1.45,M1
2026-08-04 06:05:00,2026-08-04 07:01:00,BUY,4052.98,4046.99,4056.34,TP,3.16,S430 BUY Triple EMA StochRSI,k=21.92 d=21.86 close=4052.94 ATR=0.85,M1
2026-08-04 10:20:00,2026-08-04 11:49:00,BUY,4060.14,4050.69,4065.56,TP,5.22,S430 BUY Triple EMA StochRSI,k=27.08 d=25.46 close=4060.15 ATR=1.35,M1
2026-08-04 13:03:00,2026-08-04 15:04:00,BUY,4064.39,4054.53,4070.01,TP,5.42,S430 BUY Triple EMA StochRSI,k=26.12 d=24.17 close=4064.38 ATR=1.41,M1
2026-08-04 19:28:00,2026-08-04 19:36:00,BUY,4068.61,4051.47,4078.42,TP,9.61,S430 BUY Triple EMA StochRSI,k=33.12 d=32.09 close=4068.62 ATR=2.45,M1
2026-08-04 21:51:00,2026-08-05 00:01:00,BUY,4082.76,4063.12,4094.16,TP,11.2,S430 BUY Triple EMA StochRSI,k=23.24 d=23.13 close=4082.87 ATR=2.82,M1
2026-08-05 00:46:00,2026-08-05 01:01:00,BUY,4095.89,4085.13,4102.01,SL,-10.96,S430 BUY Triple EMA StochRSI,k=27.11 d=26.32 close=4095.87 ATR=1.53,M1
2026-08-05 11:04:00,2026-08-05 11:13:00,BUY,4134.44,4122.74,4141.14,TP,6.5,S430 BUY Triple EMA StochRSI,k=29.34 d=29.23 close=4134.45 ATR=1.67,M1
2026-08-05 12:21:00,2026-08-05 12:35:00,BUY,4139.49,4130.15,4144.84,TP,5.15,S430 BUY Triple EMA StochRSI,k=17.96 d=17.47 close=4139.50 ATR=1.34,M1
