Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03-20,2,0,2,0,-4.75,-4.75
2025-03-21,8,4,4,0,113.35,108.6
2025-03-24,12,5,7,0,2.969999999999999,111.57
2025-03-25,3,0,3,0,-16.75,94.82
2025-03-26,4,1,3,0,-12.399999999999999,82.41999999999999
2025-03-27,15,4,11,0,49.32,131.73999999999998
2025-03-28,5,0,5,0,-42.14,89.59999999999998
2025-03-31,3,0,3,0,-24.48,65.11999999999998
2025-04-03,46,1,45,0,-527.98,-462.86
2025-04-04,45,5,40,0,-379.43,-842.29
2025-04-07,57,23,34,0,2093.59,1251.3000000000002
2025-04-08,6,0,6,0,-76.9,1174.4
2025-04-09,60,6,54,0,-667.7,506.70000000000005
2025-04-10,129,20,109,0,491.94,998.6400000000001
2025-04-11,57,0,57,0,-1173.6200000000001,-174.98000000000002
2025-04-14,6,2,4,0,30.01,-144.97000000000003
2025-04-15,2,1,1,0,5.29,-139.68000000000004
2025-04-16,44,15,29,0,1238.5,1098.82
2025-04-17,13,1,12,0,-103.46000000000001,995.3599999999999
2025-04-21,32,1,31,0,-466.55,528.81
2025-04-22,23,0,23,0,-382.72,146.08999999999992
2025-04-23,76,7,69,0,-654.24,-508.1500000000001
2025-04-24,12,0,12,0,-247.93,-756.0800000000002
2025-04-25,31,2,29,0,-325.6,-1081.6800000000003
2025-04-28,7,4,3,0,151.23,-930.4500000000003
2025-04-29,4,0,4,0,-13.709999999999999,-944.1600000000003
2025-04-30,25,5,20,0,-141.27,-1085.4300000000003
2025-05-01,88,8,80,0,-926.95,-2012.3800000000003
2025-05-02,5,0,5,0,-71.03999999999999,-2083.4200000000005
2025-05-05,44,6,38,0,-421.82,-2505.2400000000007
2025-05-06,104,2,102,0,-1690.77,-4196.01
2025-05-07,6,0,6,0,-78.66,-4274.67
2025-05-08,67,2,65,0,-886.33,-5161.0
2025-05-09,9,0,9,0,-108.27,-5269.27
2025-05-12,51,0,51,0,-923.96,-6193.2300000000005
2025-05-14,68,0,68,0,-1059.12,-7252.35
2025-05-15,26,2,24,0,-302.91,-7555.26
2025-05-16,11,4,7,0,81.86,-7473.400000000001
2025-05-19,15,3,12,0,-82.67,-7556.070000000001
2025-05-20,87,3,84,0,-1574.89,-9130.960000000001
2025-05-21,29,3,26,0,59.18000000000001,-9071.78
2025-05-22,19,3,16,0,-72.75,-9144.53
2025-05-23,32,6,26,0,-217.02,-9361.550000000001
2025-05-26,1,1,0,0,10.31,-9351.240000000002
2025-05-27,12,9,3,0,411.75,-8939.490000000002
2025-05-28,19,6,13,0,283.64,-8655.850000000002
2025-05-29,54,1,53,0,-838.51,-9494.360000000002
2025-05-30,7,2,5,0,42.2,-9452.160000000002
2025-06-02,50,7,43,0,-86.49000000000001,-9538.650000000001
2025-06-03,12,0,12,0,-203.94,-9742.590000000002
2025-06-04,1,0,1,0,-5.52,-9748.110000000002
2025-06-05,13,3,10,0,6.970000000000007,-9741.140000000003
2025-06-06,29,1,28,0,-333.45,-10074.590000000004
2025-06-09,5,1,4,0,-10.399999999999999,-10084.990000000003
2025-06-10,7,2,5,0,10.530000000000001,-10074.460000000003
2025-06-11,4,1,3,0,-3.9200000000000026,-10078.380000000003
2025-06-12,46,12,34,0,150.14999999999998,-9928.230000000003
2025-06-13,49,2,47,0,-575.62,-10503.850000000004
2025-06-16,8,4,4,0,51.980000000000004,-10451.870000000004
2025-06-17,17,5,12,0,200.1,-10251.770000000004
2025-06-18,8,1,7,0,8.190000000000007,-10243.580000000004
2025-06-19,28,0,28,0,-356.97,-10600.550000000003
2025-06-20,5,0,5,0,-68.08,-10668.630000000003
2025-06-23,1,0,1,0,-6.88,-10675.510000000002
2025-06-24,62,12,50,0,706.38,-9969.130000000003
2025-06-25,1,0,1,0,-1.76,-9970.890000000003
2025-06-26,3,0,3,0,-16.79,-9987.680000000004
2025-06-27,44,1,43,0,-447.99,-10435.670000000004
2025-07-01,15,0,15,0,-182.18,-10617.850000000004
2025-07-02,4,0,4,0,-23.69,-10641.540000000005
2025-07-03,6,4,2,0,159.29000000000002,-10482.250000000004
2025-07-07,14,2,12,0,-55.3,-10537.550000000003
2025-07-08,6,1,5,0,-31.4,-10568.950000000003
2025-07-09,6,1,5,0,22.959999999999997,-10545.990000000003
2025-07-10,5,1,4,0,12.200000000000003,-10533.790000000003
2025-07-11,23,8,15,0,452.21999999999997,-10081.570000000003
2025-07-15,10,3,7,0,40.63,-10040.940000000004
2025-07-16,2,1,1,0,20.85,-10020.090000000004
2025-07-17,10,1,9,0,-40.45,-10060.540000000005
2025-07-18,4,2,2,0,40.61,-10019.930000000004
2025-07-21,48,11,37,0,202.45,-9817.480000000003
2025-07-22,14,10,4,0,904.83,-8912.650000000003
2025-07-23,4,1,3,0,26.589999999999996,-8886.060000000003
2025-07-24,10,1,9,0,-13.619999999999994,-8899.680000000004
2025-07-25,24,4,20,0,7.799999999999997,-8891.880000000005
2025-07-28,11,3,8,0,-37.16,-8929.040000000005
2025-07-30,41,7,34,0,-376.39,-9305.430000000004
2025-08-01,10,0,10,0,-134.96,-9440.390000000003
2025-08-04,7,1,6,0,47.47,-9392.920000000004
2025-08-05,4,1,3,0,-8.370000000000001,-9401.290000000005
2025-08-06,1,0,1,0,-3.52,-9404.810000000005
2025-08-07,6,1,5,0,-26.96,-9431.770000000004
2025-08-08,4,0,4,0,-30.659999999999997,-9462.430000000004
2025-08-11,56,2,54,0,-595.27,-10057.700000000004
2025-08-12,5,0,5,0,-51.26,-10108.960000000005
2025-08-13,2,1,1,0,25.99,-10082.970000000005
2025-08-14,11,0,11,0,-120.45,-10203.420000000006
2025-08-18,16,1,15,0,-143.33,-10346.750000000005
2025-08-19,23,3,20,0,-191.88,-10538.630000000005
2025-08-20,8,1,7,0,-41.12,-10579.750000000005
2025-08-21,3,1,2,0,8.149999999999999,-10571.600000000006
2025-08-22,13,7,6,0,158.12,-10413.480000000005
2025-08-26,10,4,6,0,41.209999999999994,-10372.270000000006
2025-08-27,4,0,4,0,-27.21,-10399.480000000005
2025-08-28,19,3,16,0,-34.93000000000001,-10434.410000000005
2025-08-29,4,1,3,0,54.65,-10379.760000000006
2025-09-01,6,2,4,0,152.01999999999998,-10227.740000000005
2025-09-02,25,3,22,0,59.449999999999996,-10168.290000000005
2025-09-03,12,1,11,0,91.56000000000002,-10076.730000000005
2025-09-04,2,0,2,0,-21.37,-10098.100000000006
2025-09-05,17,0,17,0,-218.53,-10316.630000000006
2025-09-08,9,2,7,0,-70.64,-10387.270000000006
2025-09-09,9,0,9,0,-104.71000000000001,-10491.980000000005
2025-09-10,1,0,1,0,-14.69,-10506.670000000006
2025-09-11,4,0,4,0,-33.88,-10540.550000000005
2025-09-15,20,6,14,0,141.51,-10399.040000000005
2025-09-16,25,2,23,0,-234.95,-10633.990000000005
2025-09-17,13,9,4,0,270.89,-10363.100000000006
2025-09-18,7,0,7,0,-106.26,-10469.360000000006
2025-09-19,13,8,5,0,72.74,-10396.620000000006
2025-09-22,44,20,24,0,743.6800000000001,-9652.940000000006
2025-09-23,20,12,8,0,1173.3,-8479.640000000007
2025-09-24,4,0,4,0,-36.8,-8516.440000000006
2025-09-25,1,0,1,0,-0.03,-8516.470000000007
2025-09-26,10,1,9,0,-100.86,-8617.330000000007
2025-09-29,38,6,32,0,-325.92,-8943.250000000007
2025-09-30,15,2,13,0,-208.78,-9152.030000000008
2025-10-01,31,0,31,0,-470.37,-9622.400000000009
2025-10-02,13,9,4,0,576.0,-9046.400000000009
2025-10-03,2,0,2,0,-19.94,-9066.34000000001
2025-10-06,40,2,38,0,-603.9,-9670.240000000009
