Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,52,14,38,0,65.11999999999999,65.11999999999999
2025-04,675,93,582,0,-1150.55,-1085.43
2025-05,754,61,693,0,-8366.73,-9452.16
2025-06,393,52,341,0,-983.51,-10435.67
2025-07,257,61,196,0,1130.24,-9305.43
2025-08,206,27,179,0,-1074.33,-10379.76
2025-09,295,74,221,0,1227.73,-9152.03
2025-10,916,156,760,0,4406.2,-4745.830000000001
2025-11,824,137,687,0,-1628.97,-6374.800000000001
2025-12,707,136,571,0,-311.24999999999994,-6686.050000000001
2026-01,924,101,823,0,-13744.04,-20430.090000000004
2026-02,1140,135,1005,0,-15987.14,-36417.23
2026-03,1371,216,1155,0,-11591.75,-48008.98
2026-04,1074,169,896,0,-4618.59,-52627.57000000001
2026-05,1175,240,935,0,4954.84,-47672.73000000001
2026-06,1028,169,852,0,2530.2400000000002,-45142.49000000001
2026-07,1041,223,817,0,4558.29,-40584.20000000001
2026-08,1031,172,859,0,-1496.4,-42080.60000000001
2026-09,659,127,482,0,2257.69,-39822.91000000001
