entry_time,exit_time,direction,entry,sl,tp1,tp2,tp3,exit_price,outcome,profit,tp1_hit,tp2_hit,pattern,reason
2026-07-20 23:57:00,2026-07-21 02:43:00,BUY,4009.5,4000.99,4014.71,4019.92,4025.12,4009.5,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.617 width=15.85
2026-07-21 03:46:00,2026-07-21 05:02:00,SELL,4008.09,4008.87,4005.63,4003.17,4000.71,4008.87,SL,-0.98,False,False,S431 Breakout Channel,touches=2H/2L conv=0.965 width=7.64
2026-07-21 05:20:00,2026-07-21 05:23:00,SELL,4005.45,4007.69,4001.18,3996.9,3992.63,4007.69,SL,-2.44,False,False,S431 Breakout Channel,touches=2H/2L conv=0.832 width=13.52
2026-07-21 05:41:00,2026-07-21 06:02:00,SELL,4004.19,4010.02,4000.55,3996.92,3993.28,4004.19,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.579 width=11.82
2026-07-21 07:19:00,2026-07-21 07:53:00,BUY,4015.51,4003.73,4019.06,4022.61,4026.16,4026.16,TP3,10.45,True,True,S431 Breakout Channel,touches=5H/2L conv=0.120 width=12.11
2026-07-21 10:52:00,2026-07-21 12:15:00,SELL,4046.17,4053.5,4040.15,4034.13,4028.11,4053.5,SL,-7.53,False,False,S431 Breakout Channel,touches=2H/2L conv=0.677 width=18.55
2026-07-21 12:25:00,2026-07-21 12:36:00,BUY,4054.8,4047.45,4056.93,4059.05,4061.18,4061.18,TP3,6.18,True,True,S431 Breakout Channel,touches=3H/4L conv=0.261 width=7.39
2026-07-21 14:53:00,2026-07-21 15:00:00,SELL,4070.56,4072.26,4067.88,4065.2,4062.52,4072.26,SL,-1.9,False,False,S431 Breakout Channel,touches=2H/2L conv=0.938 width=8.65
2026-07-21 15:52:00,2026-07-21 16:29:00,BUY,4062.82,4059.29,4065.08,4067.33,4069.59,4062.82,BE,-0.2,True,True,S431 Breakout Channel,touches=2H/2L conv=0.716 width=7.84
2026-07-21 16:40:00,2026-07-21 16:51:00,SELL,4062.43,4067.59,4058.65,4054.87,4051.09,4067.59,SL,-5.36,False,False,S431 Breakout Channel,touches=2H/2L conv=0.739 width=11.47
2026-07-21 23:36:00,2026-07-22 01:17:00,SELL,4072.96,4076.84,4068.74,4064.52,4060.3,4072.96,BE,-0.2,True,False,S431 Breakout Channel,touches=3H/2L conv=0.903 width=14.74
2026-07-22 03:30:00,2026-07-22 03:40:00,BUY,4084.58,4081.89,4085.87,4087.16,4088.45,4081.89,SL,-2.89,False,False,S431 Breakout Channel,touches=2H/2L conv=0.859 width=5.16
2026-07-22 05:10:00,2026-07-22 07:00:00,BUY,4077.91,4076.1,4080.58,4083.24,4085.91,4077.91,BE,-0.2,True,True,S431 Breakout Channel,touches=2H/2L conv=0.905 width=8.14
2026-07-22 11:21:00,2026-07-22 11:33:00,BUY,4128.77,4126.56,4134.48,4140.2,4145.91,4126.56,SL,-2.41,False,False,S431 Breakout Channel,touches=2H/2L conv=0.938 width=17.40
2026-07-22 11:54:00,2026-07-22 12:16:00,BUY,4126.06,4124.62,4131.31,4136.57,4141.82,4124.62,SL,-1.64,False,False,S431 Breakout Channel,touches=2H/2L conv=0.897 width=15.84
2026-07-22 12:35:00,2026-07-22 12:56:00,BUY,4128.67,4122.46,4131.07,4133.47,4135.86,4128.67,BE,-0.2,True,True,S431 Breakout Channel,touches=2H/3L conv=0.209 width=7.33
2026-07-22 15:55:00,2026-07-22 16:29:00,BUY,4118.19,4106.72,4122.13,4126.07,4130.01,4118.19,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/3L conv=0.144 width=12.36
2026-07-22 16:53:00,2026-07-22 17:20:00,SELL,4113.44,4121.07,4110.97,4108.5,4106.03,4121.07,SL,-7.83,False,False,S431 Breakout Channel,touches=3H/2L conv=0.558 width=9.12
2026-07-22 17:57:00,2026-07-22 18:17:00,SELL,4116.74,4121.6,4113.96,4111.18,4108.4,4121.6,SL,-5.06,False,False,S431 Breakout Channel,touches=3H/2L conv=0.527 width=8.64
2026-07-22 18:26:00,2026-07-22 18:47:00,SELL,4117.69,4123.18,4115.57,4113.44,4111.32,4117.69,BE,-0.2,True,True,S431 Breakout Channel,touches=2H/2L conv=0.772 width=7.66
2026-07-22 23:09:00,2026-07-22 23:36:00,SELL,4156.85,4168.83,4152.92,4148.98,4145.05,4145.05,TP3,11.6,True,True,S431 Breakout Channel,touches=3H/2L conv=0.100 width=12.39
2026-07-22 23:57:00,2026-07-23 00:02:00,BUY,4148.31,4144.58,4154.93,4161.56,4168.18,4144.58,SL,-3.93,False,False,S431 Breakout Channel,touches=2H/2L conv=0.865 width=21.68
2026-07-23 00:08:00,2026-07-23 00:29:00,SELL,4144.07,4146.45,4140.95,4137.83,4134.71,4146.45,SL,-2.58,False,False,S431 Breakout Channel,touches=2H/2L conv=0.856 width=9.92
2026-07-23 00:38:00,2026-07-23 03:46:00,SELL,4140.5,4146.37,4136.61,4132.72,4128.83,4128.83,TP3,11.47,True,True,S431 Breakout Channel,touches=2H/3L conv=0.770 width=13.16
2026-07-23 05:20:00,2026-07-23 07:51:00,BUY,4125.28,4114.66,4130.43,4135.58,4140.73,4125.28,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/2L conv=0.525 width=16.07
2026-07-23 11:22:00,2026-07-23 11:41:00,BUY,4129.1,4124.1,4133.47,4137.85,4142.22,4124.1,SL,-5.2,False,False,S431 Breakout Channel,touches=2H/2L conv=0.832 width=14.53
2026-07-23 11:52:00,2026-07-23 12:07:00,SELL,4120.44,4122.62,4117.99,4115.55,4113.1,4122.62,SL,-2.38,False,False,S431 Breakout Channel,touches=2H/3L conv=0.965 width=8.32
2026-07-23 12:29:00,2026-07-23 12:32:00,BUY,4125.55,4118.23,4127.8,4130.04,4132.29,4125.55,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/3L conv=0.475 width=9.08
2026-07-23 17:17:00,2026-07-23 18:24:00,BUY,4091.43,4081.45,4096.06,4100.68,4105.31,4081.45,SL,-10.18,False,False,S431 Breakout Channel,touches=3H/3L conv=0.194 width=14.15
2026-07-23 22:51:00,2026-07-23 23:57:00,SELL,4047.3,4051.57,4044.07,4040.84,4037.61,4051.57,SL,-4.47,False,False,S431 Breakout Channel,touches=3H/2L conv=0.934 width=12.07
2026-07-24 00:07:00,2026-07-24 02:25:00,SELL,4049.01,4054.55,4044.36,4039.71,4035.06,4049.01,BE,-0.2,True,False,S431 Breakout Channel,touches=2H/3L conv=0.653 width=14.15
2026-07-24 03:45:00,2026-07-24 05:08:00,SELL,4049.13,4050.29,4047.39,4045.66,4043.92,4050.29,SL,-1.36,False,False,S431 Breakout Channel,touches=2H/2L conv=0.690 width=5.38
2026-07-24 05:31:00,2026-07-24 05:43:00,BUY,4050.15,4049.09,4051.4,4052.65,4053.9,4049.09,SL,-1.26,False,False,S431 Breakout Channel,touches=3H/2L conv=0.772 width=3.87
2026-07-24 06:04:00,2026-07-24 06:15:00,SELL,4048.83,4050.22,4047.76,4046.7,4045.63,4048.83,BE,-0.2,True,False,S431 Breakout Channel,touches=3H/2L conv=0.665 width=3.26
