TF,Sub-Pattern,Trades,WinRate(%),P/L($),AvgWin($),AvgLoss($),MaxSLStreak
M1,S20.8 Small2L2H,810,51.0,-107.44,4.51,-4.96,7
M5,S20.8 Small2L2H,418,50.0,-45.21,9.46,-9.68,8
M15,S20.8 Small2L2H,125,58.4,296.17,13.69,-13.52,8
M30,S20.8 Small2L2H,27,55.6,25.31,15.22,-16.91,4
