SIM_Open_Time,SIM_Close_Time,SIM_TF,SIM_Type,SIM_Entry,SIM_P&L,SIM_Reason,MT5_Close_Time,MT5_Price,MT5_P&L,MT5_Comment,MT5_Position_ID,Matched
2026-06-30 16:54:00,2026-06-30 17:05:00,M1,SELL,4014.86,-20.5,SL,,,,,,NO
2026-06-30 17:15:00,2026-06-30 17:59:00,M1,SELL,4018.1,-22.82,SL,,,,,,NO
2026-06-30 17:28:00,2026-06-30 17:53:00,M1,SELL,4018.02,-19.98,SL,,,,,,NO
2026-06-30 17:30:00,2026-06-30 17:53:00,M1,SELL,4017.13,-17.69,SL,,,,,,NO
2026-06-30 17:31:00,2026-06-30 17:53:00,M1,SELL,4016.27,-20.3,SL,,,,,,NO
2026-06-30 17:32:00,2026-06-30 17:53:00,M1,SELL,4013.53,-19.09,SL,,,,,,NO
2026-06-30 17:34:00,2026-06-30 17:45:00,M1,SELL,4014.18,-19.7,SL,,,,,,NO
2026-06-30 17:35:00,2026-06-30 17:45:00,M1,SELL,4013.16,-17.81,SL,,,,,,NO
2026-06-30 17:36:00,2026-06-30 17:45:00,M1,SELL,4012.81,-18.86,SL,,,,,,NO
2026-06-30 17:44:00,2026-06-30 17:53:00,M1,SELL,4016.95,-18.17,SL,,,,,,NO
2026-06-30 17:49:00,2026-06-30 17:53:00,M1,SELL,4018.76,-16.98,SL,,,,,,NO
2026-06-30 18:55:00,2026-06-30 19:41:00,M1,BUY,4029.21,21.98,TP,,,,,,NO
2026-06-30 18:56:00,2026-06-30 19:46:00,M1,BUY,4030.11,20.53,TP,,,,,,NO
2026-06-30 18:58:00,2026-06-30 20:18:00,M1,BUY,4030.88,-17.54,SL,,,,,,NO
2026-06-30 20:47:00,2026-06-30 21:09:00,M1,SELL,4015.2,-15.91,SL,,,,,,NO
2026-06-30 20:49:00,2026-06-30 21:09:00,M1,SELL,4013.66,-18.97,SL,,,,,,NO
2026-06-30 20:52:00,2026-06-30 21:09:00,M1,SELL,4014.3,-17.65,SL,,,,,,NO
2026-06-30 20:53:00,2026-06-30 21:09:00,M1,SELL,4013.56,-19.13,SL,,,,,,NO
2026-06-30 20:56:00,2026-06-30 21:09:00,M1,SELL,4012.51,-10.64,SL,,,,,,NO
2026-06-30 21:03:00,2026-06-30 21:19:00,M1,BUY,4017.11,24.55,TP,,,,,,NO
2026-06-30 21:05:00,2026-06-30 21:18:00,M1,BUY,4016.71,23.43,TP,,,,,,NO
2026-06-30 21:06:00,2026-06-30 22:09:00,M1,BUY,4019.32,15.66,TP,,,,,,NO
2026-06-30 21:08:00,2026-06-30 22:09:00,M1,BUY,4020.59,17.54,TP,,,,,,NO
2026-06-30 21:10:00,2026-06-30 22:10:00,M1,BUY,4023.71,22.23,TP,,,,,,NO
2026-06-30 21:11:00,2026-06-30 22:10:00,M1,BUY,4023.83,22.4,TP,,,,,,NO
2026-06-30 21:12:00,2026-06-30 22:20:00,M1,BUY,4025.39,24.74,TP,,,,,,NO
2026-06-30 21:16:00,2026-06-30 22:10:00,M1,BUY,4024.38,23.17,TP,,,,,,NO
2026-06-30 21:17:00,2026-06-30 22:15:00,M1,BUY,4025.06,24.17,TP,,,,,,NO
2026-06-30 21:18:00,2026-06-30 22:20:00,M1,BUY,4025.78,25.25,TP,,,,,,NO
2026-06-30 21:19:00,2026-06-30 22:23:00,M1,BUY,4028.4,29.21,TP,,,,,,NO
2026-06-30 21:20:00,2026-06-30 22:24:00,M1,BUY,4030.19,31.92,TP,,,,,,NO
2026-06-30 21:27:00,2026-06-30 22:09:00,M1,BUY,4021.92,39.21,TP,,,,,,NO
2026-06-30 21:28:00,2026-06-30 22:09:00,M1,BUY,4022.6,41.21,TP,,,,,,NO
2026-06-30 21:30:00,2026-06-30 22:10:00,M1,BUY,4024.08,22.78,TP,,,,,,NO
2026-06-30 21:31:00,2026-06-30 22:21:00,M1,BUY,4026.32,26.16,TP,,,,,,NO
2026-06-30 21:35:00,2026-06-30 22:09:00,M1,BUY,4021.87,38.97,TP,,,,,,NO
2026-06-30 21:39:00,2026-06-30 22:09:00,M1,BUY,4017.34,49.84,TP,,,,,,NO
2026-06-30 21:40:00,2026-06-30 21:43:00,M1,SELL,4013.35,-20.87,SL,,,,,,NO
2026-06-30 22:16:00,2026-06-30 23:17:00,M1,BUY,4046.87,-18.28,SL,,,,,,NO
2026-06-30 22:19:00,2026-06-30 23:17:00,M1,BUY,4047.9,-19.27,SL,,,,,,NO
2026-06-30 22:20:00,2026-06-30 23:17:00,M1,BUY,4049.62,-20.97,SL,,,,,,NO
2026-06-30 22:21:00,2026-06-30 23:17:00,M1,BUY,4051.68,-23.01,SL,,,,,,NO
2026-06-30 22:22:00,2026-06-30 23:17:00,M1,BUY,4053.6,-24.94,SL,,,,,,NO
2026-06-30 22:23:00,2026-06-30 23:17:00,M1,BUY,4054.98,-26.31,SL,,,,,,NO
2026-06-30 22:24:00,2026-06-30 23:17:00,M1,BUY,4059.3,-30.67,SL,,,,,,NO
2026-06-30 22:25:00,2026-06-30 23:17:00,M1,BUY,4062.95,-34.33,SL,,,,,,NO
2026-06-30 22:29:00,2026-06-30 23:17:00,M1,BUY,4058.64,-29.95,SL,,,,,,NO
2026-06-30 22:40:00,2026-06-30 23:17:00,M1,BUY,4049.67,-20.89,SL,,,,,,NO
2026-06-30 22:41:00,2026-06-30 23:17:00,M1,BUY,4049.98,-21.22,SL,,,,,,NO
2026-06-30 22:42:00,2026-06-30 23:17:00,M1,BUY,4050.57,-21.79,SL,,,,,,NO
2026-06-30 22:43:00,2026-06-30 23:17:00,M1,BUY,4050.67,-21.87,SL,,,,,,NO
