Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,50,13,37,0,22.379999999999992,22.379999999999992
2025-04,185,32,153,0,-108.52000000000001,-86.14000000000001
2025-05,171,35,136,0,-530.15,-616.29
2025-06,104,26,78,0,1111.94,495.6500000000001
2025-07,140,44,96,0,1250.9,1746.5500000000002
2025-08,98,23,75,0,-35.490000000000016,1711.0600000000002
2025-09,170,36,134,0,-548.66,1162.4
2025-10,172,9,163,0,-2567.44,-1405.04
2025-11,139,49,90,0,1078.69,-326.3499999999999
2025-12,139,34,105,0,-18.54999999999999,-344.8999999999999
2026-01,178,21,157,0,-2839.59,-3184.4900000000002
2026-02,162,28,134,0,-1418.42,-4602.91
2026-03,173,44,129,0,410.05,-4192.86
2026-04,135,25,110,0,201.57,-3991.2899999999995
2026-05,185,44,141,0,322.27000000000004,-3669.0199999999995
2026-06,184,26,158,0,-1124.0,-4793.0199999999995
2026-07,121,41,80,0,1653.97,-3139.0499999999993
2026-08,205,34,171,0,-1437.78,-4576.829999999999
2026-09,114,30,77,0,494.17,-4082.659999999999
