bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4499.06,2026-06-01 14:30:00,4517.53,2026-06-01 13:15:00,,,,-18.47,SL,,,,,,BUY,,,,,20.03,1.85,PNL_DIFF_SAME_BUCKET,4519.092500000001,2026-06-01 13:41:42,,4515.68,[M5_M15]_S2,2026-06-01 13:32:20,,,,13.69,[sl 4517.42],,2.18,3.51,6.25,1.75,BUY,,,,,,,,,535341125,,,NEAR,175.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.16,False,MISMATCH,17.33
4538.21,2026-06-02 13:30:00,4519.72,2026-06-02 12:45:00,,,,18.49,TP,,,,,,BUY,,,,,-22.56,3.91,LIVE_HISTORICAL_PD_SKIP_DRIFT,4515.65,2026-06-02 13:05:13,,4515.81,[M5_M15]_S2,2026-06-02 13:05:13,,,,-0.64,PD Zone fill che,,-0.16,-0.16,-0.16,-0.16,BUY,,,,,,,,,536118248,,,LOOSE,206.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19.13,False,MISMATCH,20.22
4495.29,2026-06-04 18:45:00,4469.95,2026-06-04 12:45:00,,,,25.34,TP,,,,,,BUY,,,,,-23.22,2.87,LIVE_HISTORICAL_PD_SKIP_DRIFT,4472.07,2026-06-04 13:11:07,,4472.82,[M15_M30]_S2,2026-06-04 13:11:02,,,,0.32,PD Zone fill che,,0.08,0.08,0.08,0.08,BUY,,,,,,,,,537416021,,,NEAR,263.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-25.02,False,MISMATCH,26.03
4386.49,2026-05-28 18:00:00,4386.33,2026-05-28 14:30:00,,,,0.16,SL,,,,,,BUY,,,,,-1.35,1.07,PNL_DIFF_SAME_BUCKET,4385.14,2026-05-28 14:06:01,,4387.4,[M15_M30]_S2,2026-05-28 14:00:26,,,,-9.04,[sl 4385.14],,-2.26,-2.26,-2.26,-2.26,BUY,,,,,,,,,533469126,,,NEAR,296.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.2,False,MISMATCH,29.57
4518.74,2026-05-29 20:30:00,4534.52,2026-05-29 19:00:00,4518.74,M5,,15.78,SL,,,,,,SELL,,,1,M5 4518.74,11.84,0.05,,4530.5775,2026-05-29 20:09:35,,4534.57,M15_S2_P1,2026-05-29 19:53:58,,,,15.97,[sl 4530.65],,2.38,3.62,6.05,3.92,SELL,,,,,,,,,534643103,,,LOOSE,539.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,False,MATCH,53.97
4398.8,2026-05-28 19:35:00,4389.13,2026-05-28 18:00:00,,,,-9.67,SL_GUARD_CLOSE,,,,,,SELL,,,,,-9.38,0.07,LIVE_HISTORICAL_PD_SKIP_DRIFT,4389.42,2026-05-28 19:05:04,,4389.2,[M5_M15]_S2,2026-05-28 19:05:03,,,,-0.88,PD Zone fill che,,-0.22,-0.22,-0.22,-0.22,SELL,,,,,,,,,533702297,,,LOOSE,650.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.79,False,MISMATCH,65.05
4476.15,2026-06-04 09:45:00,4453.59,2026-06-04 07:00:00,,,,22.56,TP,,,,,,BUY,,,,,-21.99,0.0,LIVE_HISTORICAL_PD_SKIP_DRIFT,4454.16,2026-06-04 08:13:31,,4453.59,[M5_M15]_S2,2026-06-04 08:13:27,,,,2.56,PD Zone fill che,,0.64,0.64,0.64,0.64,BUY,,,,,,,,,537277914,,,LOOSE,734.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20.0,False,MISMATCH,73.45
4493.64,2026-06-02 21:00:00,4531.72,2026-06-02 14:30:00,,,,-38.08,SL,,,,,,BUY,,,,,37.96,0.07,LIVE_HISTORICAL_PD_SKIP_DRIFT,4531.6,2026-06-02 15:43:47,,4531.65,M15_S2_P2,2026-06-02 15:43:45,,,,0.16,PD Zone fill che,,0.04,0.04,0.04,0.04,BUY,,,,,,,,,536180512,,,LOOSE,737.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.24,False,MISMATCH,73.75
4528.08,2026-05-29 16:00:00,4508.4,2026-05-29 11:45:00,,,,19.68,TP,,,,,,BUY,,,,,-16.21,3.44,CLOSE_BUCKET_DIFF,4511.87,2026-05-29 15:07:40,,4504.96,[M5_M15_M30]_S2,2026-05-29 13:38:30,,,,27.64,[sl 4520.74],,2.35,3.19,6.32,15.78,BUY,,,,,,,,,534387536,,,LOOSE,1138.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.96,False,MISMATCH,113.5
,,,,,,,,,,,,,,,,,,,,,ENTRY_TOO_FAR,4420.57,2026-05-28 09:40:55,,4426.11,[M15_H1]_S2,2026-05-28 09:25:43,,,,-22.16,[sl 4420.57],,-5.54,-5.54,-5.54,-5.54,BUY,,,,,,,,,532987481,,,,,4439.84,13.73,2026-05-28 08:00:00,SL_GUARD_CLOSE,85.72,,,,,,cancel_bars,CANCEL,1779950700,4387.55,38.56,2026-05-28 12:45:00,4379.92,4387.71,4379.92,4387.71,,ท่าที่ 2 FVG 🟢 BUY — ปฏิเสธราคา,,,,,,,,M15,199.28,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_HISTORICAL_PD_SKIP_DRIFT:TIME_TOO_FAR+ENTRY_TOO_FAR,4441.902499999999,2026-05-28 22:40:09,,4440.51,[M5_M15]_S2,2026-05-28 22:09:30,,,,-5.57,PD Zone fill rou,,1.94,3.42,7.27,-18.2,SELL,,,,,,,,,533235372,,,,,4389.13,51.38,2026-05-28 18:00:00,SL_GUARD_CLOSE,249.5,,,,,,SL Guard blocked new LIMIT,CANCEL,1779997500,4503.63,63.12,2026-05-29 01:45:00,4503.59,4505.43,4503.59,4505.43,,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,2,"M5,M15,M30",group,1779975300,4404.2,,,M15,215.5,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4445.785,2026-05-28 22:45:14,,4440.63,M15_S2_P1,2026-05-28 22:09:30,,,,-20.619999999999997,[sl 4474.39],,2.07,3.69,7.38,-33.76,SELL,,,,,,,,,533239894,,,,,4389.13,51.5,2026-05-28 18:00:00,SL_GUARD_CLOSE,249.5,,,,,,SL Guard blocked new LIMIT,CANCEL,1779997500,4503.63,63.0,2026-05-29 01:45:00,4503.59,4505.43,4503.59,4505.43,,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,2,"M5,M15,M30",group,1779975300,4404.2,,,M15,215.5,,,LIVE_ONLY,
