bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,close_price_diff,entry_diff,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,match_quality,match_score,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,nearest_raw_replay_cancel_age_bars,nearest_raw_replay_cancel_bar_high,nearest_raw_replay_cancel_bar_low,nearest_raw_replay_cancel_bar_touched_entry,nearest_raw_replay_cancel_bars,nearest_raw_replay_cancel_reason,nearest_raw_replay_close_type,nearest_raw_replay_detect_time_raw,nearest_raw_replay_entry,nearest_raw_replay_entry_diff,nearest_raw_replay_entry_ts,nearest_raw_replay_final_gap_bot,nearest_raw_replay_final_gap_top,nearest_raw_replay_gap_bot,nearest_raw_replay_gap_top,nearest_raw_replay_parallel_tfs,nearest_raw_replay_pattern,nearest_raw_replay_pd_fallback_used,nearest_raw_replay_pd_fib_382,nearest_raw_replay_pd_fib_618,nearest_raw_replay_pd_h,nearest_raw_replay_pd_l,nearest_raw_replay_pd_outside_range,nearest_raw_replay_sl_guard_count,nearest_raw_replay_sl_guard_key,nearest_raw_replay_sl_guard_scope,nearest_raw_replay_sl_guard_since,nearest_raw_replay_sl_guard_swing_ref,nearest_raw_replay_sweep_scan_age_min,nearest_raw_replay_sweep_scan_expiry_min,nearest_raw_replay_sweep_scan_price,nearest_raw_replay_sweep_scan_state,nearest_raw_replay_sweep_scan_tf,nearest_raw_replay_sweep_scan_time,nearest_raw_replay_sweep_scan_ts,nearest_raw_replay_tf,nearest_raw_replay_time_diff_min,pnl_diff,s14_family_mismatch,status,time_diff_min
4516.47,2026-05-29 08:15:00,4498.69,2026-05-29 03:15:00,,,,-17.78,SL,,,,,,SELL,,,,,-15.36,4.99,PNL_DIFF_SAME_BUCKET,4501.1125,2026-05-29 03:11:50,,4503.68,M15_S2_P2,2026-05-29 03:02:33,,,,10.27,[sl 4501.22],,2.26,3.09,2.46,2.46,SELL,,,,,,,,,534211757,,,LOOSE,129.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.05,False,MISMATCH,12.45
4499.06,2026-06-01 14:30:00,4517.53,2026-06-01 13:15:00,,,,-18.47,SL,,,,,,BUY,,,,,20.03,1.85,PNL_DIFF_SAME_BUCKET,4519.092500000001,2026-06-01 13:41:42,,4515.68,[M5_M15]_S2,2026-06-01 13:32:20,,,,13.69,[sl 4517.42],,2.18,3.51,6.25,1.75,BUY,,,,,,,,,535341125,,,NEAR,175.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.16,False,MISMATCH,17.33
4564.21,2026-05-29 21:30:00,4534.52,2026-05-29 19:00:00,,,,-29.69,SL_GUARD_CLOSE,,,,,,SELL,,,,,-33.63,0.05,LOOSE_MATCH_SL_GUARD,4530.5775,2026-05-29 20:09:35,,4534.57,M15_S2_P1,2026-05-29 19:53:58,,,,15.97,[sl 4530.65],,2.38,3.62,6.05,3.92,SELL,,,,,,,,,534643103,,,LOOSE,539.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.66,False,MISMATCH,53.97
4385.87,2026-05-28 14:30:00,4387.55,2026-05-28 13:00:00,4385.87,M5,,-1.68,SL,,,,,,BUY,,,1,M5 4385.87,-0.73,0.15,PNL_DIFF_SAME_BUCKET,4385.14,2026-05-28 14:06:01,,4387.4,[M15_M30]_S2,2026-05-28 14:00:26,,,,-9.04,[sl 4385.14],,-2.26,-2.26,-2.26,-2.26,BUY,,,,,,,,,533469126,,,LOOSE,604.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-7.36,False,MISMATCH,60.43
4533.59,2026-05-29 16:45:00,4502.85,2026-05-29 08:30:00,,,,30.74,TP,,,,,,BUY,,,,,-27.61,0.09,CLOSE_BUCKET_DIFF,4505.975,2026-05-29 10:50:48,,4502.76,M15_S2_P2,2026-05-29 09:47:43,,,,12.86,[sl 4502.92],,2.19,3.58,6.93,0.16,BUY,,,,,,,,,534285946,,,LOOSE,777.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-17.88,False,MISMATCH,77.72
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4420.57,2026-05-28 09:40:55,,4426.11,[M15_H1]_S2,2026-05-28 09:25:43,,,,-22.16,[sl 4420.57],,-5.54,-5.54,-5.54,-5.54,BUY,,,,,,,,,532987481,,,,,4387.55,38.56,2026-05-28 13:00:00,SL,214.28,,,,,,,,,,0,PD Fibo Plus round1 fail,PD_FAIL,1779956100,4386.33,39.78,2026-05-28 14:15:00,4384.68,4386.36,4384.68,4386.36,,ท่าที่ 2 FVG 🟢 BUY — เขียวกลืนกิน,False,4377.58,4384.49,4395.67,4366.4,False,,,,,,,,,,,,,M15,289.28,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4389.42,2026-05-28 19:05:04,,4389.2,[M5_M15]_S2,2026-05-28 19:05:03,,,,-0.88,PD Zone fill che,,-0.22,-0.22,-0.22,-0.22,SELL,,,,,,,,,533702297,,,,,4498.69,109.49,2026-05-29 03:15:00,SL,489.95,,,,,,,,,,0,SL Guard blocked new LIMIT,CANCEL,1779968700,4389.13,0.07,2026-05-28 17:45:00,4389.03,4393.82,4389.03,4393.82,,ท่าที่ 2 FVG 🔴 SELL — แดงกลืนกิน,,,,,,,2,"M5,M15,M30",group,1779930900,4465.28,,,,,,,,M15,80.05,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4441.902499999999,2026-05-28 22:40:09,,4440.51,[M5_M15]_S2,2026-05-28 22:09:30,,,,-5.57,PD Zone fill rou,,1.94,3.42,7.27,-18.2,SELL,,,,,,,,,533235372,,,,,4498.69,58.18,2026-05-29 03:15:00,SL,305.5,,,,,,,,,,1,SL Guard blocked new LIMIT,CANCEL,1779997500,4503.63,63.12,2026-05-29 01:45:00,4503.59,4505.43,4503.59,4505.43,,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,,,,,,,2,"M5,M15,M30",group,1779930900,4465.28,,,,,,,,M15,215.5,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4445.785,2026-05-28 22:45:14,,4440.63,M15_S2_P1,2026-05-28 22:09:30,,,,-20.619999999999997,[sl 4474.39],,2.07,3.69,7.38,-33.76,SELL,,,,,,,,,533239894,,,,,4498.69,58.06,2026-05-29 03:15:00,SL,305.5,,,,,,,,,,1,SL Guard blocked new LIMIT,CANCEL,1779997500,4503.63,63.0,2026-05-29 01:45:00,4503.59,4505.43,4503.59,4505.43,,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,,,,,,,2,"M5,M15,M30",group,1779930900,4465.28,,,,,,,,M15,215.5,,,LIVE_ONLY,
,,,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4466.74,2026-05-28 22:49:24,,4477.57,[M1_M5_M15]_S2,2026-05-28 22:46:05,,,,43.32,[tp 4466.74],,10.83,10.83,10.83,10.83,SELL,,,,,,,,,532607893,,,,,4498.69,21.12,2026-05-29 03:15:00,SL,268.92,,,,,,,,,,1,SL Guard blocked new LIMIT,CANCEL,1779997500,4503.63,26.06,2026-05-29 01:45:00,4503.59,4505.43,4503.59,4505.43,,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,,,,,,,2,"M5,M15,M30",group,1779930900,4465.28,,,,,,,,M15,178.92,,,LIVE_ONLY,
