report_tf,sid,tf,lifecycle_tf,signal,pattern,entry_time,close_time,close_type,cancel_reason,entry,sl,tp,close_price,pnl,profit,parallel_tfs,parallel_patterns,gap_bot,gap_top,final_gap_bot,final_gap_top,detect_time_raw,entry_time_raw
M15,2,M15,,BUY,ท่าที่ 2 FVG 🟢 BUY — เขียวกลืนกิน,2026-05-28 08:00:00,2026-05-28 08:45:00,SL,,4439.84,4408.87,4489.24,4408.87,-30.97,-30.97,,,4438.79,4439.86,4438.79,4439.86,1779902100,1779933600
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — แดงกลืนกิน,2026-05-28 08:15:00,2026-05-28 08:15:00,CANCEL,Sweep Filter scan block,4440.63,4477.22,4404.04,,0.0,0.0,,,4440.42,4450.77,4440.42,4450.77,1779934500,1779934500
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,2026-05-28 08:30:00,2026-05-28 08:30:00,CANCEL,Sweep Filter scan block,4426.82,4458.92,4394.72,,0.0,0.0,,,4426.6,4437.82,4426.6,4437.82,1779935400,1779935400
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — แดงกลืนกิน,2026-05-28 09:00:00,2026-05-28 09:00:00,CANCEL,Sweep Filter scan block,4412.77,4440.53,4385.01,,0.0,0.0,,,4412.71,4415.94,4412.71,4415.94,1779937200,1779937200
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,2026-05-28 10:00:00,2026-05-28 10:00:00,CANCEL,Sweep Filter scan block,4397.94,4421.84,4374.04,,0.0,0.0,,,4397.88,4400.72,4397.88,4400.72,1779940800,1779940800
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — แดงกลืนกิน,2026-05-28 10:30:00,2026-05-28 10:30:00,CANCEL,Sweep Filter scan block,4387.97,4415.33,4360.61,,0.0,0.0,,,4387.92,4390.31,4387.92,4390.31,1779942600,1779942600
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,2026-05-28 10:45:00,2026-05-28 10:45:00,CANCEL,Sweep Filter scan block,4379.37,4408.8,4349.94,,0.0,0.0,,,4379.31,4382.26,4379.31,4382.26,1779943500,1779943500
M15,2,M15,,BUY,ท่าที่ 2 FVG 🟢 BUY — ปฏิเสธราคา,2026-05-28 12:45:00,2026-05-28 13:00:00,CANCEL,cancel_bars,4387.55,4354.56,4454.06,,0.0,0.0,,,4379.92,4387.71,4379.92,4387.71,1779950700,1779950700
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา [M5+M15],2026-05-28 13:15:00,2026-05-28 13:15:00,CANCEL,Sweep Filter scan block,4384.9,4411.96,4357.92,,0.0,0.0,M5|M15,ท่าที่ 2 FVG 🔴 SELL — แดงกลืนกิน|ท่าที่ 2 FVG 🔴 SELL — ปฏิเสธราคา,4384.88,4387.71,4384.88,4385.81,1779952500,1779952500
M15,2,M15,,BUY,ท่าที่ 2 FVG 🟢 BUY — เขียวกลืนกิน,2026-05-28 14:30:00,2026-05-28 18:00:00,SL,,4386.33,4386.49,4410.36,4386.49,0.16,0.16,,,4384.68,4386.36,4384.68,4386.36,1779956100,1779957000
M15,2,M15,,SELL,ท่าที่ 2 FVG 🔴 SELL — แดงกลืนกิน,2026-05-28 18:00:00,2026-05-28 19:30:00,SL,,4389.13,4387.36,4356.56,4387.36,1.77,1.77,,,4389.03,4393.82,4389.03,4393.82,1779968700,1779969600
