Synergy_Combo,TF,Lot,Trades,WinRate%,FullWins,LockWins,BEs,Losses,NetPnL($),PF,MaxDD($),WinMonths
combo_baseline_sweep,M30,0.01,266,45.5,14,107,142,3,885.79,54.65,6.74,13/13
combo_sweep_smt,M30,0.01,624,39.3,33,212,364,15,1606.71,19.66,15.33,13/13
combo_sweep_vwap,M30,0.01,245,46.1,13,100,130,2,844.11,87.4,5.13,13/13
combo_sweep_rsi_div,M30,0.01,480,39.8,28,163,275,14,1302.52,17.26,11.21,13/13
combo_grand_synergy,M30,0.01,235,46.4,12,97,124,2,799.95,82.88,5.13,13/13
