Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
Naiya Doji,D1,2025-05-05 01:00,SELL,3320.09,3320.09,3356.23,2509.11,3247.81,False,50.64,72.29,0.01,6.34,,86.07,96.37,1,SL,-36.14,2025-05-06 01:00,9963.86,2025-05-06,2025-05
Naiya Doji,D1,2025-05-08 01:00,BUY,3314.16,3314.16,3265.2,3645.25,3412.08,False,47.9,71.53,0.01,4.85,,60.0,126.0,2,SL,-48.96,2025-05-12 01:00,9914.9,2025-05-12,2025-05
Naiya Doji,D1,2025-05-08 01:00,BUY,3314.16,3314.16,3265.2,3645.25,3412.08,False,47.9,71.53,0.01,4.85,,60.0,126.0,1,SL,-48.96,2025-05-12 01:00,9865.94,2025-05-12,2025-05
Naiya Doji,D1,2025-05-12 01:00,BUY,3219.66,3219.66,3193.65,3261.74,3271.68,False,41.78,66.56,0.01,1.69,,50.78,82.33,7,TP,42.08,2025-05-12 01:00,9908.02,2025-05-12,2025-05
Naiya Doji,D1,2025-05-12 01:00,BUY,3219.66,3219.66,3193.65,3689.47,3271.68,False,41.78,66.56,0.01,1.69,,50.78,82.33,6,SL,-26.01,2025-05-14 01:00,9882.01,2025-05-14,2025-05
Naiya Doji,D1,2025-05-12 01:00,BUY,3219.66,3219.66,3193.65,3689.47,3271.68,False,41.78,66.56,0.01,1.69,,50.78,82.33,3,SL,-26.01,2025-05-14 01:00,9856.0,2025-05-14,2025-05
Naiya Doji,D1,2025-05-12 01:00,BUY,3219.66,3219.66,3193.65,3689.47,3271.68,False,41.78,66.56,0.01,1.69,,50.78,82.33,2,SL,-26.01,2025-05-14 01:00,9829.99,2025-05-14,2025-05
Naiya Doji,D1,2025-05-12 01:00,BUY,3219.66,3219.66,3193.65,3689.47,3271.68,False,41.78,66.56,0.01,1.69,,50.78,82.33,1,SL,-26.01,2025-05-14 01:00,9803.98,2025-05-14,2025-05
Naiya Hidden,D1,2025-05-12 01:00,BUY,3237.34,3237.34,3128.9,3729.48,3454.22,False,41.78,66.56,0.01,1.69,,50.78,82.33,6,SL,-108.44,2025-05-15 01:00,9695.54,2025-05-15,2025-05
Naiya Doji,D1,2025-05-14 01:00,BUY,3219.66,3219.66,3193.65,3689.47,3271.68,False,35.8,68.78,0.01,-0.2,,68.34,86.7,1,SL,-26.01,2025-05-14 01:00,9669.53,2025-05-14,2025-05
Naiya,D1,2025-05-15 01:00,SELL,3236.8,3236.8,3265.52,2765.61,3179.36,False,42.92,74.99,0.01,1.25,,51.05,127.29,1,SL,-28.72,2025-05-20 01:00,9640.81,2025-05-20,2025-05
Naiya,D1,2025-05-20 01:00,SELL,3267.27,3267.27,3288.98,2550.67,3223.85,False,53.43,80.12,0.01,2.41,,68.12,91.12,7,SL,-21.71,2025-05-20 01:00,9619.1,2025-05-20,2025-05
Naiya Doji,D1,2025-05-21 01:00,SELL,3320.09,3320.09,3356.23,2509.11,3247.81,False,48.76,76.06,0.01,3.14,,29.43,39.42,7,SL,-36.14,2025-05-23 01:00,9582.960000000001,2025-05-23,2025-05
Naiya Doji,D1,2025-05-21 01:00,SELL,3320.09,3320.09,3356.23,2709.55,3247.81,False,48.76,76.06,0.01,3.14,,29.43,39.42,6,SL,-36.14,2025-05-23 01:00,9546.82,2025-05-23,2025-05
Naiya Doji,D1,2025-05-21 01:00,SELL,3320.09,3320.09,3356.23,2709.55,3247.81,False,48.76,76.06,0.01,3.14,,29.43,39.42,5,SL,-36.14,2025-05-23 01:00,9510.68,2025-05-23,2025-05
Naiya Doji,D1,2025-05-21 01:00,SELL,3320.09,3320.09,3356.23,2709.55,3247.81,False,48.76,76.06,0.01,3.14,,29.43,39.42,4,SL,-36.14,2025-05-23 01:00,9474.54,2025-05-23,2025-05
Naiya Doji,D1,2025-05-21 01:00,SELL,3320.09,3320.09,3356.23,2709.55,3247.81,False,48.76,76.06,0.01,3.14,,29.43,39.42,3,SL,-36.14,2025-05-23 01:00,9438.4,2025-05-23,2025-05
Naiya Doji,D1,2025-05-21 01:00,SELL,3320.09,3320.09,3356.23,2709.55,3247.81,False,48.76,76.06,0.01,3.14,,29.43,39.42,2,SL,-36.14,2025-05-23 01:00,9402.26,2025-05-23,2025-05
Naiya Doji,D1,2025-05-27 01:00,BUY,3312.38,3312.38,3279.33,3636.52,3378.48,False,52.2,65.04,0.01,1.88,,36.78,64.65,3,SL,-33.05,2025-05-28 01:00,9369.210000000001,2025-05-28,2025-05
Naiya,D1,2025-05-27 01:00,BUY,3320.27,3320.27,3279.33,3636.52,3402.15,False,52.2,65.04,0.01,1.88,,36.78,64.65,3,SL,-40.94,2025-05-28 01:00,9328.27,2025-05-28,2025-05
Naiya Doji,D1,2025-05-27 01:00,BUY,3312.38,3312.38,3279.33,3636.52,3378.48,False,52.2,65.04,0.01,1.88,,36.78,64.65,1,SL,-33.05,2025-05-28 01:00,9295.220000000001,2025-05-28,2025-05
Naiya Doji,D1,2025-06-02 01:00,SELL,3340.09,3340.09,3356.79,2709.2,3306.69,False,68.45,57.28,0.01,3.66,,77.29,90.62,5,SL,-16.7,2025-06-02 01:00,9278.52,2025-06-02,2025-06
Naiya,D1,2025-06-02 01:00,SELL,3342.62,3342.62,3356.79,2709.2,3314.28,False,68.45,57.28,0.01,3.66,,77.29,90.62,5,SL,-14.17,2025-06-02 01:00,9264.35,2025-06-02,2025-06
Naiya Doji,D1,2025-06-02 01:00,SELL,3340.09,3340.09,3356.79,2975.04,3306.69,False,68.45,57.28,0.01,3.66,,77.29,90.62,4,SL,-16.7,2025-06-02 01:00,9247.65,2025-06-02,2025-06
Naiya Doji,D1,2025-06-02 01:00,SELL,3340.09,3340.09,3356.79,2975.04,3306.69,False,68.45,57.28,0.01,3.66,,77.29,90.62,3,SL,-16.7,2025-06-02 01:00,9230.95,2025-06-02,2025-06
Naiya Doji,D1,2025-06-02 01:00,SELL,3340.09,3340.09,3356.79,2975.04,3306.69,False,68.45,57.28,0.01,3.66,,77.29,90.62,2,SL,-16.7,2025-06-02 01:00,9214.25,2025-06-02,2025-06
Naiya Doji,D1,2025-06-02 01:00,SELL,3340.09,3340.09,3356.79,2975.04,3306.69,False,68.45,57.28,0.01,3.66,,77.29,90.62,1,SL,-16.7,2025-06-02 01:00,9197.55,2025-06-02,2025-06
Naiya,D1,2025-06-06 01:00,BUY,3315.01,3315.01,3309.27,3618.02,3326.49,False,49.1,58.16,0.01,0.48,,50.25,68.5,4,SL,-5.74,2025-06-06 01:00,9191.81,2025-06-06,2025-06
Naiya Doji,D1,2025-06-06 01:00,BUY,3312.38,3312.38,3279.33,3636.52,3378.48,False,49.1,58.16,0.01,0.48,,50.25,68.5,4,SL,-33.05,2025-06-27 01:00,9158.76,2025-06-27,2025-06
