Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,199,20,179,0,-335.11,-335.11
2025-04,578,63,515,0,-1917.91,-2253.02
2025-05,661,71,590,0,-2911.65,-5164.67
2025-06,677,75,602,0,-1630.78,-6795.45
2025-07,685,90,595,0,250.56999999999994,-6544.88
2025-08,677,94,583,0,-396.28000000000003,-6941.16
2025-09,519,104,415,0,4051.7,-2889.46
2025-10,635,74,561,0,-1901.12,-4790.58
2025-11,602,118,484,0,1836.56,-2954.02
2025-12,693,120,573,0,4513.54,1559.52
2026-01,644,108,536,0,5830.06,7389.58
2026-02,640,80,560,0,364.1900000000002,7753.77
2026-03,650,86,564,0,-2582.2,5171.570000000001
2026-04,654,58,592,0,-4845.0,326.5700000000006
2026-05,796,74,722,0,-5598.38,-5271.8099999999995
2026-06,700,106,594,0,-1118.21,-6390.0199999999995
2026-07,775,68,694,0,-3706.9500000000003,-10096.97
2026-08,603,89,514,0,-1239.9,-11336.869999999999
2026-09,411,82,318,0,2987.04,-8349.829999999998
