Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03-19,17,0,17,0,-34.0,-34.0
2025-03-20,17,2,15,0,-69.36,-103.36
2025-03-21,38,3,35,0,-58.11,-161.47
2025-03-24,10,0,10,0,-44.269999999999996,-205.74
2025-03-25,25,5,20,0,-43.94,-249.68
2025-03-26,16,0,16,0,-54.88,-304.56
2025-03-27,58,1,57,0,-182.31,-486.87
2025-03-28,3,1,2,0,17.380000000000003,-469.49
2025-03-31,15,8,7,0,134.38,-335.11
2025-04-01,21,3,18,0,-33.510000000000005,-368.62
2025-04-02,8,5,3,0,108.47,-260.15
2025-04-03,89,5,84,0,-104.45000000000002,-364.6
2025-04-04,69,24,45,0,288.7,-75.90000000000003
2025-04-07,12,3,9,0,57.96000000000001,-17.940000000000026
2025-04-08,8,0,8,0,-58.6,-76.54000000000002
2025-04-09,39,2,37,0,-202.08,-278.62
2025-04-10,28,2,26,0,-405.90000000000003,-684.52
2025-04-11,12,1,11,0,-71.03,-755.55
2025-04-14,8,3,5,0,39.53,-716.02
2025-04-15,24,0,24,0,-134.85999999999999,-850.88
2025-04-16,15,6,9,0,231.19,-619.69
2025-04-17,25,0,25,0,-226.68,-846.3700000000001
2025-04-21,26,1,25,0,-170.34,-1016.7100000000002
2025-04-22,20,2,18,0,-94.92999999999999,-1111.64
2025-04-23,29,3,26,0,-149.73000000000002,-1261.3700000000001
2025-04-24,22,0,22,0,-159.38,-1420.75
2025-04-25,28,1,27,0,-195.69,-1616.44
2025-04-28,34,0,34,0,-273.93,-1890.3700000000001
2025-04-29,5,0,5,0,-28.810000000000002,-1919.18
2025-04-30,56,2,54,0,-333.84000000000003,-2253.02
2025-05-01,28,10,18,0,92.47999999999999,-2160.54
2025-05-02,20,3,17,0,-111.62,-2272.16
2025-05-05,39,1,38,0,-345.9,-2618.06
2025-05-06,21,1,20,0,-181.12,-2799.18
2025-05-07,9,5,4,0,43.35,-2755.83
2025-05-08,54,2,52,0,-319.65,-3075.48
2025-05-09,13,5,8,0,11.470000000000002,-3064.01
2025-05-11,9,0,9,0,-215.82,-3279.8300000000004
2025-05-12,34,4,30,0,-196.86,-3476.6900000000005
2025-05-13,4,0,4,0,-35.29,-3511.9800000000005
2025-05-14,47,8,39,0,-91.30999999999999,-3603.2900000000004
2025-05-15,15,1,14,0,-193.44,-3796.7300000000005
2025-05-16,21,2,19,0,-47.78,-3844.5100000000007
2025-05-19,23,0,23,0,-221.82,-4066.330000000001
