bt_close_price,bt_close_ts,bt_entry,bt_fill_ts,bt_last_trail_sl,bt_last_trail_source,bt_last_trail_ts,bt_pnl,bt_reason,bt_s14_family,bt_scale_out_1_pnl,bt_scale_out_2_pnl,bt_scale_out_3_pnl,bt_scale_out_4_pnl,bt_side,bt_sl_guard_group,bt_sl_guard_trigger_tf,bt_trail_count,bt_trail_path,gap_reason,live_close_price,live_close_ts,live_close_vs_trail_sl_diff,live_entry,live_entry_comment,live_fill_ts,live_last_trail_sl,live_last_trail_source,live_last_trail_ts,live_pnl,live_reason,live_s14_family,live_scale_out_1_pnl,live_scale_out_2_pnl,live_scale_out_3_pnl,live_scale_out_4_pnl,live_side,live_sl_guard_activate_ts,live_sl_guard_close_ts,live_sl_guard_count,live_sl_guard_group,live_sl_guard_request_price,live_sl_guard_spread,live_sl_guard_trigger_candidates,live_sl_guard_trigger_tf,live_ticket,live_trail_count,live_trail_path,nearest_bt_entry,nearest_bt_entry_diff,nearest_bt_fill_ts,nearest_bt_reason,nearest_bt_time_diff_min,nearest_live_entry,nearest_live_entry_diff,nearest_live_fill_ts,nearest_live_reason,nearest_live_time_diff_min,status
,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4455.08,2026-05-28 09:00:09,,4455.24,M1_S4_SIGFVG,2026-05-28 09:00:08,,,,-0.64,PD Zone fill che,,-0.16,-0.16,-0.16,-0.16,BUY,,,,,,,,,533204656,,,4477.25,22.01,2026-06-04 12:00:00,PD_FILL_FAIL,10259.87,,,,,,LIVE_ONLY
,,,,,,,,,,,,,,,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,4447.35,2026-06-03 23:14:26,,4447.17,M1_S4_SIGFVG,2026-06-03 23:14:24,,,,-0.56,Fill Trend Reche,,-0.14,-0.14,-0.14,-0.14,SELL,,,,,,,,,537144854,,,4489.26,42.09,2026-06-02 00:30:00,SL,2804.4,,,,,,LIVE_ONLY
,,,,,,,,,,,,,,,,,,,LIVE_SIGNAL_PD_CLOSED_NO_REPLAY:TIME_TOO_FAR+ENTRY_TOO_FAR,4448.41,2026-06-04 08:39:06,,4447.66,M1_S4_SIGFVG,2026-06-04 08:39:05,,,,-1.28,PD Zone fill che,,-0.32,-0.32,-0.32,-0.32,SELL,,,,,,,,,537293116,,,4489.26,41.6,2026-06-02 00:30:00,SL,3369.08,,,,,,LIVE_ONLY
4477.22,2026-05-28 21:45:00,4448.91,2026-05-28 21:00:00,,,,-28.31,SL,,,,,,SELL,,,,,TIME_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4447.17,1.74,2026-06-03 23:14:24,Fill Trend Reche,8774.4,BACKTEST_ONLY
4533.02,2026-06-02 13:00:00,4489.26,2026-06-02 00:30:00,,,,-43.76,SL,,,,,,SELL,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4447.17,42.09,2026-06-03 23:14:24,Fill Trend Reche,2804.4,BACKTEST_ONLY
4477.19,2026-06-04 12:00:00,4477.25,2026-06-04 12:00:00,,,,-0.06,PD_FILL_FAIL,,,,,,BUY,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4455.24,22.01,2026-05-28 09:00:08,PD Zone fill che,10259.87,BACKTEST_ONLY
4339.61,2026-06-08 08:08:00,4339.72,2026-06-08 08:08:00,,,,0.11,PD_FILL_FAIL,,,,,,SELL,,,,,TIME_TOO_FAR+ENTRY_TOO_FAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4447.66,107.94,2026-06-04 08:39:05,PD Zone fill che,5728.92,BACKTEST_ONLY
