Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
09-04-2024 14:15:00,09-04-2024 16:35:00,S101,M5,BUY,2351.74,2343.23,2377.29,0.01,10.24,2010.24,TRAIL
11-04-2024 21:20:00,11-04-2024 23:40:00,S101,M5,SELL,2339.17,2346.56,2317.01,0.01,-7.59,2002.65,SL
15-04-2024 20:45:00,15-04-2024 21:10:00,S101,M5,SELL,2348.24,2356.4,2323.77,0.01,17.0,2019.65,TRAIL
19-04-2024 14:25:00,19-04-2024 15:05:00,S101,M5,BUY,2387.95,2381.48,2407.36,0.01,-6.67,2012.98,SL
23-04-2024 12:45:00,23-04-2024 13:20:00,S101,M5,BUY,2307.49,2302.85,2321.42,0.01,-4.84,2008.14,SL
25-04-2024 10:20:00,25-04-2024 13:50:00,S101,M5,SELL,2310.76,2321.49,2278.59,0.01,-10.93,1997.21,SL
25-04-2024 21:50:00,25-04-2024 23:20:00,S101,M5,BUY,2337.28,2323.12,2379.76,0.01,-14.36,1982.85,SL
26-04-2024 19:40:00,26-04-2024 19:50:00,S101,M5,BUY,2348.53,2341.09,2370.83,0.01,-7.64,1975.21,SL
06-05-2024 18:45:00,06-05-2024 19:40:00,S101,M5,SELL,2318.22,2322.23,2306.18,0.01,-4.21,1971.0,SL
06-05-2024 23:35:00,07-05-2024 03:15:00,S101,M5,SELL,2321.46,2328.5,2300.32,0.01,-7.24,1963.76,SL
09-05-2024 20:10:00,09-05-2024 20:40:00,S101,M5,BUY,2314.67,2310.82,2326.23,0.01,3.02,1966.78,TRAIL
10-05-2024 19:40:00,10-05-2024 20:05:00,S101,M5,SELL,2369.19,2375.95,2348.89,0.01,4.77,1971.55,TRAIL
14-05-2024 08:05:00,14-05-2024 09:35:00,S101,M5,BUY,2337.8,2334.43,2347.91,0.01,4.92,1976.47,TRAIL
17-05-2024 09:35:00,17-05-2024 09:50:00,S101,M5,BUY,2378.99,2376.1,2387.67,0.01,-3.09,1973.38,SL
03-06-2024 12:50:00,03-06-2024 14:05:00,S101,M5,SELL,2317.84,2324.96,2296.48,0.01,-7.32,1966.06,SL
07-06-2024 09:45:00,07-06-2024 10:40:00,S101,M5,SELL,2375.22,2380.06,2360.7,0.01,-5.04,1961.02,SL
11-06-2024 08:15:00,11-06-2024 09:20:00,S101,M5,SELL,2307.05,2312.29,2291.31,0.01,5.48,1966.5,TRAIL
14-06-2024 08:40:00,14-06-2024 12:30:00,S101,M5,SELL,2304.39,2308.66,2291.6,0.01,-4.47,1962.03,SL
17-06-2024 23:55:00,18-06-2024 07:30:00,S101,M5,SELL,2316.85,2324.15,2294.97,0.01,-7.5,1954.53,SL
19-06-2024 19:45:00,20-06-2024 08:00:00,S101,M5,SELL,2328.24,2332.16,2316.47,0.01,-4.12,1950.41,SL
20-06-2024 08:15:00,20-06-2024 08:55:00,S101,M5,BUY,2332.28,2327.38,2346.96,0.01,3.94,1954.35,TRAIL
21-06-2024 18:50:00,21-06-2024 20:05:00,S101,M5,SELL,2366.42,2370.19,2355.12,0.01,4.17,1958.52,TRAIL
26-06-2024 09:15:00,26-06-2024 17:35:00,S101,M5,SELL,2315.9,2321.77,2298.3,0.01,5.26,1963.78,TRAIL
26-06-2024 14:15:00,26-06-2024 17:20:00,S101,M5,BUY,2313.78,2308.77,2328.8,0.01,-5.21,1958.57,SL
26-06-2024 20:00:00,26-06-2024 20:10:00,S101,M5,BUY,2309.77,2304.57,2325.38,0.01,-5.4,1953.17,SL
02-07-2024 15:50:00,02-07-2024 16:15:00,S101,M5,SELL,2328.43,2331.96,2317.84,0.01,-3.73,1949.44,SL
02-07-2024 22:30:00,03-07-2024 14:40:00,S101,M5,SELL,2327.84,2336.73,2301.19,0.01,-9.09,1940.35,SL
05-07-2024 18:00:00,05-07-2024 20:00:00,S101,M5,SELL,2363.25,2366.78,2352.66,0.01,-3.73,1936.62,SL
08-07-2024 09:25:00,08-07-2024 10:45:00,S101,M5,BUY,2388.19,2382.8,2404.37,0.01,-5.59,1931.03,SL
15-07-2024 21:55:00,15-07-2024 22:05:00,S101,M5,SELL,2418.57,2422.29,2407.41,0.01,-3.92,1927.11,SL
16-07-2024 21:05:00,16-07-2024 21:40:00,S101,M5,SELL,2435.87,2445.25,2407.72,0.01,-9.58,1917.53,SL
