Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S111,M5,SELL,2336.72,2338.22,2333.72,0.01,-1.7,1941.47,SL
-,-,S111,M5,SELL,2310.6,2312.1,2308.45,0.01,-1.7,1939.77,SL
-,-,S111,M5,BUY,2315.74,2314.24,2322.46,0.01,-1.7,1938.07,SL
-,-,S111,M5,BUY,2315.74,2314.24,2322.46,0.01,-1.7,1936.37,SL
-,-,S111,M5,BUY,2315.74,2314.24,2322.46,0.01,-1.7,1934.67,SL
-,-,S111,M5,SELL,2324.18,2325.68,2321.27,0.01,-1.7,1932.97,SL
-,-,S111,M5,BUY,2307.55,2305.79,2318.9,0.01,-1.96,1931.01,SL
-,-,S111,M5,BUY,2307.55,2305.7,2318.9,0.01,-2.05,1928.96,SL
-,-,S111,M5,SELL,2319.82,2321.32,2315.67,0.01,-1.7,1927.26,SL
-,-,S111,M5,SELL,2319.82,2321.32,2315.67,0.01,-1.7,1925.56,SL
-,-,S111,M5,SELL,2319.82,2321.32,2315.67,0.01,-1.7,1923.86,SL
-,-,S111,M5,SELL,2305.82,2307.32,2303.14,0.01,2.48,1926.34,TP
-,-,S111,M5,SELL,2305.82,2307.32,2303.14,0.01,2.48,1928.82,TP
-,-,S111,M5,SELL,2305.82,2307.32,2303.14,0.01,2.48,1931.3,TP
-,-,S111,M5,SELL,2323.07,2324.57,2317.38,0.01,-1.7,1929.6,SL
-,-,S111,M5,SELL,2323.42,2324.92,2318.41,0.01,-1.7,1927.9,SL
-,-,S111,M5,SELL,2323.42,2324.92,2318.41,0.01,-1.7,1926.2,SL
-,-,S111,M5,SELL,2323.42,2324.92,2318.41,0.01,-1.7,1924.5,SL
-,-,S111,M5,SELL,2323.42,2324.92,2318.41,0.01,-1.7,1922.8,SL
-,-,S111,M5,SELL,2323.42,2324.92,2318.41,0.01,-1.7,1921.1,SL
-,-,S111,M5,SELL,2323.42,2324.92,2318.41,0.01,-1.7,1919.4,SL
-,-,S111,M5,SELL,2323.07,2324.57,2317.38,0.01,-1.7,1917.7,SL
-,-,S111,M5,SELL,2319.45,2320.95,2314.37,0.01,-1.7,1916.0,SL
-,-,S111,M5,SELL,2319.45,2320.95,2314.37,0.01,-1.7,1914.3,SL
-,-,S111,M5,SELL,2319.45,2320.95,2314.37,0.01,-1.7,1912.6,SL
-,-,S111,M5,SELL,2363.31,2364.81,2359.24,0.01,3.87,1916.47,TP
-,-,S111,M5,SELL,2363.31,2364.81,2359.24,0.01,3.87,1920.34,TP
-,-,S111,M5,SELL,2363.31,2364.81,2359.24,0.01,3.87,1924.21,TP
-,-,S111,M5,SELL,2363.31,2364.81,2359.24,0.01,3.87,1928.08,TP
-,-,S111,M5,SELL,2363.31,2364.81,2359.24,0.01,3.87,1931.95,TP
-,-,S111,M5,SELL,2363.31,2364.81,2359.24,0.01,3.87,1935.82,TP
-,-,S111,M5,SELL,2333.65,2335.15,2330.92,0.01,2.53,1938.35,TP
-,-,S111,M5,SELL,2333.65,2335.15,2330.92,0.01,2.53,1940.88,TP
-,-,S111,M5,SELL,2333.65,2335.15,2330.92,0.01,2.53,1943.41,TP
-,-,S111,M5,SELL,2333.65,2335.15,2330.92,0.01,2.53,1945.94,TP
-,-,S111,M5,SELL,2308.69,2310.19,2306.13,0.01,-1.7,1944.24,SL
-,-,S111,M5,SELL,2308.69,2310.19,2306.13,0.01,-1.7,1942.54,SL
-,-,S111,M5,SELL,2308.69,2310.19,2306.13,0.01,-1.7,1940.84,SL
-,-,S111,M5,BUY,2324.01,2322.51,2325.48,0.01,-1.7,1939.14,SL
-,-,S111,M5,SELL,2333.47,2334.97,2332.11,0.01,-1.7,1937.44,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1935.74,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1934.04,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1932.34,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1930.64,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1928.94,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1927.24,SL
-,-,S111,M5,SELL,2363.89,2365.39,2356.53,0.01,-1.7,1925.54,SL
