Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S106,M5,SELL,2393.65,2400.36,2374.59,0.01,-6.91,1993.09,SL
-,-,S106,M5,BUY,2350.32,2343.29,2365.91,0.01,-7.23,1985.86,SL
-,-,S106,M5,BUY,2370.11,2361.49,2389.31,0.01,19.0,2004.86,TP
-,-,S106,M5,SELL,2328.28,2333.53,2295.6,0.01,-5.45,1999.41,SL
-,-,S106,M5,SELL,2331.23,2338.73,2318.58,0.01,12.45,2011.86,TP
-,-,S106,M5,BUY,2334.89,2327.19,2343.11,0.01,-7.9,2003.96,SL
-,-,S106,M5,BUY,2307.16,2302.17,2321.43,0.01,14.07,2018.03,TP
-,-,S106,M5,SELL,2345.84,2349.73,2334.81,0.01,-4.09,2013.94,SL
-,-,S106,M5,BUY,2387.81,2383.32,2397.35,0.01,-4.69,2009.25,SL
-,-,S106,M5,BUY,2387.08,2383.32,2397.35,0.01,-3.96,2005.29,SL
-,-,S106,M5,SELL,2427.46,2432.98,2406.39,0.01,-5.72,1999.57,SL
-,-,S106,M5,BUY,2358.69,2349.16,2375.66,0.01,-9.73,1989.84,SL
-,-,S106,M5,BUY,2351.27,2347.29,2361.29,0.01,-4.18,1985.66,SL
-,-,S106,M5,SELL,2341.29,2345.44,2325.88,0.01,-4.35,1981.31,SL
-,-,S106,M5,SELL,2338.49,2347.37,2327.23,0.01,-9.08,1972.23,SL
-,-,S106,M5,SELL,2320.43,2328.12,2308.16,0.01,12.07,1984.3,TP
-,-,S106,M5,BUY,2309.64,2302.44,2316.32,0.01,6.48,1990.78,TP
-,-,S106,M5,BUY,2309.42,2302.44,2316.32,0.01,-7.18,1983.6,SL
-,-,S106,M5,BUY,2318.99,2316.12,2325.64,0.01,-3.07,1980.53,SL
-,-,S106,M5,SELL,2324.05,2329.24,2318.8,0.01,-5.39,1975.14,SL
-,-,S106,M5,BUY,2327.03,2322.32,2331.74,0.01,4.51,1979.65,TP
-,-,S106,M5,BUY,2358.78,2353.62,2365.61,0.01,6.63,1986.28,TP
-,-,S106,M5,SELL,2365.03,2369.58,2357.1,0.01,7.73,1994.01,TP
-,-,S106,M5,BUY,2323.84,2318.77,2330.1,0.01,-5.27,1988.74,SL
-,-,S106,M5,BUY,2327.24,2321.84,2334.33,0.01,-5.6,1983.14,SL
-,-,S106,M5,SELL,2334.31,2338.26,2324.92,0.01,9.19,1992.33,TP
-,-,S106,M5,BUY,2326.62,2317.59,2333.41,0.01,6.59,1998.92,TP
-,-,S106,M5,SELL,2360.06,2363.31,2355.51,0.01,4.35,2003.27,TP
-,-,S106,M5,BUY,2359.89,2356.94,2368.77,0.01,-3.15,2000.12,SL
-,-,S106,M5,BUY,2362.32,2354.63,2368.77,0.01,6.25,2006.37,TP
-,-,S106,M5,SELL,2469.89,2473.63,2457.42,0.01,-3.94,2002.43,SL
-,-,S106,M5,BUY,2403.07,2397.53,2412.13,0.01,-5.74,1996.69,SL
-,-,S106,M5,BUY,2391.29,2386.77,2403.97,0.01,12.48,2009.17,TP
-,-,S106,M5,SELL,2418.25,2421.93,2405.0,0.01,-3.88,2005.29,SL
-,-,S106,M5,BUY,2389.05,2385.44,2402.5,0.01,-3.81,2001.48,SL
-,-,S106,M5,BUY,2390.85,2383.98,2396.19,0.01,-7.07,1994.41,SL
-,-,S106,M5,SELL,2450.23,2463.77,2437.34,0.01,12.69,2007.1,TP
-,-,S106,M5,SELL,2465.67,2479.53,2435.0,0.01,30.47,2037.57,TP
-,-,S106,M5,BUY,2402.06,2393.35,2418.35,0.01,-8.91,2028.66,SL
-,-,S106,M5,SELL,2396.11,2402.23,2382.82,0.01,-6.32,2022.34,SL
-,-,S106,M5,SELL,2427.87,2434.63,2417.13,0.01,-6.96,2015.38,SL
-,-,S106,M5,BUY,2456.32,2447.6,2472.53,0.01,-8.92,2006.46,SL
-,-,S106,M5,SELL,2455.0,2460.39,2447.22,0.01,-5.59,2000.87,SL
-,-,S106,M5,BUY,2499.6,2495.82,2508.21,0.01,8.41,2009.28,TP
-,-,S106,M5,BUY,2511.43,2506.69,2519.92,0.01,-4.94,2004.34,SL
-,-,S106,M5,BUY,2500.53,2493.78,2514.64,0.01,-6.95,1997.39,SL
-,-,S106,M5,BUY,2509.37,2502.05,2517.68,0.01,8.11,2005.5,TP
-,-,S106,M5,SELL,2516.28,2525.88,2511.7,0.01,-9.8,1995.7,SL
-,-,S106,M5,SELL,2520.47,2525.58,2512.23,0.01,-5.31,1990.39,SL
-,-,S106,M5,SELL,2519.77,2525.58,2512.23,0.01,-6.01,1984.38,SL
-,-,S106,M5,BUY,2513.23,2504.94,2517.87,0.01,-8.49,1975.89,SL
-,-,S106,M5,BUY,2493.91,2483.3,2498.49,0.01,4.38,1980.27,TP
-,-,S106,M5,SELL,2516.04,2530.63,2513.03,0.01,2.81,1983.08,TP
-,-,S106,M5,BUY,2489.39,2484.05,2500.42,0.01,10.83,1993.91,TP
-,-,S106,M5,SELL,2499.84,2506.78,2487.48,0.01,-7.14,1986.77,SL
-,-,S106,M5,BUY,2616.95,2612.36,2631.36,0.01,14.21,2000.98,TP
-,-,S106,M5,BUY,2616.93,2612.36,2631.36,0.01,14.23,2015.21,TP
-,-,S106,M5,SELL,2630.83,2635.76,2618.81,0.01,-5.13,2010.08,SL
-,-,S106,M5,SELL,2643.16,2648.95,2633.95,0.01,-5.99,2004.09,SL
-,-,S106,M5,SELL,2652.42,2657.85,2640.03,0.01,-5.63,1998.46,SL
-,-,S106,M5,BUY,2640.08,2636.25,2651.93,0.01,11.65,2010.11,TP
-,-,S106,M5,BUY,2635.54,2629.68,2648.23,0.01,-6.06,2004.05,SL
-,-,S106,M5,BUY,2635.6,2627.06,2648.23,0.01,12.43,2016.48,TP
-,-,S106,M5,SELL,2643.61,2654.48,2633.78,0.01,9.63,2026.11,TP
-,-,S106,M5,SELL,2642.84,2651.62,2632.02,0.01,-8.98,2017.13,SL
-,-,S106,M5,SELL,2683.13,2690.24,2674.57,0.01,-7.31,2009.82,SL
-,-,S106,M5,SELL,2713.68,2718.53,2699.65,0.01,-5.05,2004.77,SL
-,-,S106,M5,SELL,2733.72,2740.84,2722.07,0.01,-7.32,1997.45,SL
-,-,S106,M5,BUY,2737.95,2730.15,2753.2,0.01,-8.0,1989.45,SL
-,-,S106,M5,BUY,2776.23,2769.38,2789.77,0.01,13.34,2002.79,TP
-,-,S106,M5,BUY,2781.15,2776.68,2790.07,0.01,-4.67,1998.12,SL
-,-,S106,M5,SELL,2757.51,2763.72,2744.87,0.01,12.44,2010.56,TP
-,-,S106,M5,BUY,2747.24,2738.22,2757.66,0.01,-9.22,2001.34,SL
-,-,S106,M5,BUY,2735.72,2732.37,2743.72,0.01,-3.55,1997.79,SL
-,-,S106,M5,BUY,2737.94,2730.38,2743.72,0.01,5.58,2003.37,TP
-,-,S106,M5,SELL,2743.07,2746.71,2735.37,0.01,-3.84,1999.53,SL
-,-,S106,M5,SELL,2741.79,2749.67,2735.77,0.01,5.82,2005.35,TP
-,-,S106,M5,BUY,2688.67,2678.81,2700.53,0.01,-10.06,1995.29,SL
-,-,S106,M5,BUY,2604.32,2598.03,2627.12,0.01,-6.49,1988.8,SL
-,-,S106,M5,SELL,2612.35,2620.2,2603.58,0.01,8.57,1997.37,TP
-,-,S106,M5,SELL,2570.7,2577.28,2554.42,0.01,-6.78,1990.59,SL
-,-,S106,M5,SELL,2568.31,2577.28,2554.42,0.01,-9.17,1981.42,SL
-,-,S106,M5,SELL,2641.35,2647.87,2628.58,0.01,-6.72,1974.7,SL
