Date,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03-20,3,0,3,0,-7.21,-7.21
2025-03-21,8,4,4,0,101.37,94.16000000000001
2025-03-24,12,5,7,0,2.969999999999999,97.13000000000001
2025-03-25,4,0,4,0,-27.5,69.63000000000001
2025-03-26,4,1,3,0,-12.4,57.23000000000001
2025-03-27,16,3,13,0,-18.450000000000006,38.78
2025-03-28,8,0,8,0,-85.8,-47.019999999999996
2025-03-31,4,0,4,0,-50.080000000000005,-97.1
2025-04-01,1,0,1,0,-23.8,-120.89999999999999
2025-04-03,15,1,14,0,-112.42000000000002,-233.32
2025-04-04,6,0,6,0,-102.46000000000001,-335.78
2025-04-07,12,4,8,0,-34.25999999999999,-370.03999999999996
2025-04-09,18,1,17,0,-276.16,-646.2
2025-04-10,43,4,39,0,-231.89999999999998,-878.1
2025-04-11,19,0,19,0,-367.86,-1245.96
2025-04-14,2,1,1,0,12.19,-1233.77
2025-04-15,3,1,2,0,-28.79,-1262.56
2025-04-16,27,6,21,0,230.27999999999997,-1032.28
2025-04-17,8,1,7,0,-38.900000000000006,-1071.18
2025-04-21,6,0,6,0,-81.92999999999999,-1153.1100000000001
2025-04-22,13,0,13,0,-227.25,-1380.3600000000001
2025-04-23,22,7,15,0,453.85999999999996,-926.5000000000002
2025-04-24,1,0,1,0,-42.56,-969.0600000000002
2025-04-25,3,1,2,0,2.5,-966.5600000000002
2025-04-28,5,1,4,0,-115.61,-1082.17
2025-04-29,3,0,3,0,-28.86,-1111.03
2025-04-30,10,5,5,0,43.849999999999994,-1067.18
2025-05-01,16,6,10,0,98.35,-968.83
2025-05-05,15,2,13,0,-244.48,-1213.31
2025-05-06,25,1,24,0,-329.04,-1542.35
2025-05-08,7,1,6,0,-53.08,-1595.4299999999998
2025-05-09,4,0,4,0,-87.7,-1683.1299999999999
2025-05-12,7,0,7,0,-173.19,-1856.32
2025-05-14,18,9,9,0,873.59,-982.7299999999999
2025-05-15,18,4,14,0,-154.51,-1137.2399999999998
2025-05-16,5,0,5,0,-64.27,-1201.5099999999998
2025-05-19,5,3,2,0,84.35,-1117.1599999999999
2025-05-20,22,3,19,0,-393.36,-1510.52
2025-05-21,7,1,6,0,119.10000000000001,-1391.42
2025-05-22,16,2,14,0,-123.53,-1514.95
2025-05-23,18,0,18,0,-456.67,-1971.6200000000001
2025-05-26,1,1,0,0,10.31,-1961.3100000000002
2025-05-27,7,5,2,0,122.6,-1838.7100000000003
2025-05-28,10,6,4,0,386.2,-1452.5100000000002
2025-05-29,5,0,5,0,-66.94,-1519.4500000000003
2025-05-30,4,2,2,0,80.85,-1438.6000000000004
2025-06-02,18,0,18,0,-312.15,-1750.7500000000005
2025-06-03,7,0,7,0,-109.42,-1860.1700000000005
2025-06-04,2,0,2,0,-23.96,-1884.1300000000006
2025-06-05,5,0,5,0,-71.03,-1955.1600000000005
2025-06-06,4,1,3,0,24.93,-1930.2300000000005
2025-06-09,6,1,5,0,-36.19,-1966.4200000000005
2025-06-10,6,1,5,0,-24.79,-1991.2100000000005
2025-06-11,9,1,8,0,-111.82000000000001,-2103.0300000000007
2025-06-12,8,1,7,0,-87.24000000000001,-2190.2700000000004
2025-06-13,22,2,20,0,-128.98,-2319.2500000000005
2025-06-16,6,4,2,0,77.49000000000001,-2241.76
2025-06-17,5,3,2,0,185.98000000000002,-2055.78
2025-06-18,1,1,0,0,84.43,-1971.3500000000001
2025-06-19,3,0,3,0,-35.019999999999996,-2006.3700000000001
2025-06-23,8,0,8,0,-134.43,-2140.8
2025-06-24,9,8,1,0,917.01,-1223.7900000000002
2025-06-26,3,0,3,0,-16.79,-1240.5800000000002
2025-06-27,16,8,8,0,677.72,-562.8600000000001
2025-07-01,6,0,6,0,-34.19,-597.0500000000002
2025-07-02,4,0,4,0,-23.69,-620.7400000000002
2025-07-03,6,4,2,0,159.29000000000002,-461.4500000000002
2025-07-07,5,2,3,0,56.31,-405.1400000000002
2025-07-08,5,1,4,0,-14.38,-419.5200000000002
2025-07-09,4,1,3,0,43.29,-376.2300000000002
2025-07-10,5,1,4,0,12.200000000000003,-364.0300000000002
2025-07-11,30,8,22,0,346.19,-17.840000000000202
2025-07-14,1,0,1,0,-17.72,-35.5600000000002
2025-07-15,9,3,6,0,51.95,16.3899999999998
2025-07-16,3,1,2,0,16.15,32.5399999999998
2025-07-17,4,1,3,0,32.64,65.17999999999981
2025-07-18,4,1,3,0,-17.39,47.78999999999981
2025-07-21,20,5,15,0,138.79,186.5799999999998
2025-07-22,7,0,7,0,-64.1,122.47999999999982
2025-07-23,4,1,3,0,26.179999999999996,148.65999999999983
2025-07-24,5,1,4,0,46.82000000000001,195.47999999999985
2025-07-25,15,4,11,0,121.2,316.67999999999984
2025-07-28,7,3,4,0,8.609999999999998,325.28999999999985
2025-07-29,1,0,1,0,-16.16,309.1299999999998
2025-07-30,28,15,13,0,580.21,889.3399999999999
2025-08-01,7,0,7,0,-79.12,810.2199999999999
2025-08-04,8,0,8,0,-87.59,722.6299999999999
2025-08-05,3,1,2,0,-9.350000000000001,713.2799999999999
2025-08-06,1,0,1,0,-3.52,709.7599999999999
2025-08-07,9,1,8,0,-74.11999999999999,635.6399999999999
2025-08-08,7,0,7,0,-94.03,541.6099999999999
2025-08-11,8,1,7,0,-23.430000000000003,518.18
2025-08-12,1,0,1,0,-6.61,511.56999999999994
2025-08-13,5,1,4,0,-36.480000000000004,475.0899999999999
2025-08-14,4,0,4,0,-45.55,429.5399999999999
2025-08-18,5,1,4,0,-5.269999999999999,424.2699999999999
2025-08-19,11,3,8,0,-34.03,390.2399999999999
2025-08-20,4,1,3,0,2.210000000000001,392.4499999999999
2025-08-21,3,1,2,0,8.149999999999999,400.59999999999985
2025-08-22,12,6,6,0,102.02000000000001,502.6199999999999
2025-08-25,2,0,2,0,-18.990000000000002,483.6299999999999
2025-08-26,10,4,6,0,37.91,521.5399999999998
2025-08-27,7,0,7,0,-60.01,461.52999999999986
2025-08-28,25,3,22,0,-120.27000000000001,341.2599999999999
2025-08-29,5,0,5,0,-116.14,225.1199999999999
2025-09-01,5,1,4,0,-30.11,195.00999999999988
2025-09-02,29,3,26,0,-30.340000000000003,164.66999999999987
2025-09-03,13,0,13,0,-190.29,-25.62000000000012
2025-09-04,3,0,3,0,-58.59,-84.21000000000012
2025-09-05,10,0,10,0,-101.21000000000001,-185.42000000000013
2025-09-08,9,2,7,0,-91.07,-276.4900000000001
2025-09-09,8,0,8,0,-93.54,-370.03000000000014
2025-09-11,3,0,3,0,-20.13,-390.16000000000014
2025-09-15,39,2,37,0,-499.26,-889.4200000000001
2025-09-16,9,0,9,0,-134.13,-1023.5500000000001
2025-09-17,13,9,4,0,257.28,-766.2700000000001
2025-09-18,3,0,3,0,-44.510000000000005,-810.7800000000001
2025-09-19,13,7,6,0,31.229999999999997,-779.5500000000001
2025-09-22,20,6,14,0,-134.12,-913.6700000000001
2025-09-23,10,2,8,0,9.950000000000014,-903.72
2025-09-24,2,0,2,0,-14.399999999999999,-918.12
2025-09-26,5,0,5,0,-99.79,-1017.91
2025-09-29,19,3,16,0,-241.51,-1259.42
2025-09-30,14,1,13,0,-245.38,-1504.8000000000002
2025-10-01,10,0,10,0,-111.01,-1615.8100000000002
2025-10-02,2,1,1,0,57.08,-1558.7300000000002
2025-10-03,4,0,4,0,-58.91,-1617.6400000000003
2025-10-06,17,0,17,0,-441.65,-2059.2900000000004
2025-10-07,16,0,16,0,-255.55,-2314.8400000000006
2025-10-08,22,0,22,0,-511.48,-2826.3200000000006
2025-10-09,5,1,4,0,-8.169999999999998,-2834.4900000000007
2025-10-10,1,0,1,0,-14.06,-2848.5500000000006
2025-10-13,20,0,20,0,-615.5,-3464.0500000000006
2025-10-14,7,0,7,0,-338.23,-3802.2800000000007
2025-10-15,5,0,5,0,-177.71,-3979.9900000000007
2025-10-16,18,0,18,0,-424.43,-4404.420000000001
2025-10-17,1,0,1,0,-19.4,-4423.820000000001
2025-10-20,7,1,6,0,-180.51,-4604.330000000001
2025-10-21,10,5,5,0,1040.99,-3563.340000000001
2025-10-22,1,0,1,0,-42.89,-3606.230000000001
2025-10-23,3,0,3,0,-135.54,-3741.770000000001
2025-10-24,2,0,2,0,-31.79,-3773.560000000001
2025-10-27,23,1,22,0,-532.0600000000001,-4305.620000000001
2025-10-28,28,9,19,0,503.92999999999995,-3801.690000000001
2025-10-29,1,0,1,0,-20.06,-3821.750000000001
2025-10-30,3,0,3,0,-51.79,-3873.540000000001
2025-11-03,6,6,0,0,148.6,-3724.940000000001
2025-11-04,12,8,4,0,127.76,-3597.1800000000007
2025-11-06,3,0,3,0,-76.59,-3673.770000000001
2025-11-07,7,2,5,0,-9.460000000000003,-3683.230000000001
2025-11-10,31,3,28,0,-430.74,-4113.970000000001
2025-11-11,5,0,5,0,-62.01,-4175.980000000001
2025-11-12,7,0,7,0,-106.82000000000001,-4282.800000000001
2025-11-13,11,2,9,0,-91.38000000000001,-4374.180000000001
2025-11-14,6,6,0,0,642.13,-3732.050000000001
2025-11-17,7,4,3,0,57.459999999999994,-3674.590000000001
2025-11-18,7,2,5,0,-118.75999999999999,-3793.3500000000013
2025-11-19,13,2,11,0,-158.47,-3951.820000000001
2025-11-20,4,2,2,0,62.11,-3889.710000000001
2025-11-21,7,3,4,0,-8.619999999999997,-3898.330000000001
2025-11-24,23,9,14,0,372.53,-3525.800000000001
2025-11-25,2,0,2,0,-63.23,-3589.030000000001
2025-11-26,12,0,12,0,-343.98,-3933.010000000001
2025-11-28,20,0,20,0,-409.85,-4342.8600000000015
2025-12-01,4,2,2,0,111.66,-4231.200000000002
2025-12-02,6,2,4,0,62.07000000000001,-4169.130000000002
2025-12-03,2,1,1,0,-0.33000000000000185,-4169.460000000002
2025-12-04,2,1,1,0,-2.34,-4171.800000000002
2025-12-05,11,3,8,0,-110.0,-4281.800000000002
2025-12-08,2,1,1,0,2.2799999999999994,-4279.520000000002
2025-12-09,5,2,3,0,1.4099999999999966,-4278.110000000002
2025-12-10,9,4,5,0,-0.1999999999999975,-4278.310000000002
2025-12-11,16,8,8,0,-61.25000000000001,-4339.560000000002
2025-12-12,10,1,9,0,-101.71,-4441.270000000002
2025-12-15,3,2,1,0,78.25,-4363.020000000002
2025-12-16,4,0,4,0,-89.38,-4452.400000000002
2025-12-17,1,1,0,0,38.32,-4414.080000000003
2025-12-18,18,0,18,0,-419.76,-4833.840000000003
2025-12-19,5,0,5,0,-54.459999999999994,-4888.300000000003
2025-12-22,12,3,9,0,128.29,-4760.010000000003
2025-12-23,18,0,18,0,-247.93,-5007.940000000003
2025-12-24,25,1,24,0,-337.18,-5345.1200000000035
2025-12-26,23,0,23,0,-644.98,-5990.100000000004
2025-12-29,5,2,3,0,101.97999999999999,-5888.120000000004
2025-12-30,1,0,1,0,-42.91,-5931.030000000004
2025-12-31,3,0,3,0,-44.8,-5975.8300000000045
2026-01-02,8,1,7,0,-180.32,-6156.150000000004
2026-01-05,10,0,10,0,-176.68,-6332.8300000000045
2026-01-06,17,1,16,0,-142.46,-6475.2900000000045
2026-01-07,9,6,3,0,237.84,-6237.450000000004
2026-01-08,10,4,6,0,155.58,-6081.870000000004
2026-01-09,11,3,8,0,99.76000000000002,-5982.110000000004
2026-01-12,3,1,2,0,247.89000000000001,-5734.220000000004
2026-01-13,5,0,5,0,-149.87,-5884.090000000004
2026-01-14,2,0,2,0,-37.769999999999996,-5921.860000000004
2026-01-16,6,2,4,0,71.47,-5850.390000000004
2026-01-19,19,0,19,0,-458.0,-6308.390000000004
2026-01-20,17,0,17,0,-402.82,-6711.210000000004
2026-01-21,16,0,16,0,-309.23,-7020.440000000004
2026-01-22,11,0,11,0,-538.47,-7558.910000000004
2026-01-23,4,0,4,0,-115.75,-7674.660000000004
2026-01-26,18,0,18,0,-487.13,-8161.7900000000045
2026-01-27,12,2,10,0,-213.13,-8374.920000000004
2026-01-28,17,1,16,0,-308.14,-8683.060000000003
2026-01-30,17,0,17,0,-1597.56,-10280.620000000003
2026-02-02,10,3,7,0,1468.4399999999998,-8812.180000000002
2026-02-03,5,0,5,0,-258.46,-9070.640000000001
2026-02-04,12,3,9,0,-381.32,-9451.960000000001
2026-02-05,10,5,5,0,755.2,-8696.76
2026-02-06,7,0,7,0,-498.59000000000003,-9195.35
2026-02-09,10,1,9,0,-215.26999999999998,-9410.62
2026-02-10,1,0,1,0,-53.87,-9464.490000000002
2026-02-11,12,0,12,0,-339.44,-9803.930000000002
2026-02-12,4,3,1,0,417.03,-9386.900000000001
2026-02-13,5,3,2,0,70.22,-9316.680000000002
2026-02-16,6,3,3,0,20.929999999999996,-9295.750000000002
2026-02-17,5,2,3,0,111.92,-9183.830000000002
2026-02-18,2,0,2,0,-123.7,-9307.530000000002
2026-02-20,46,5,41,0,-755.01,-10062.540000000003
2026-02-23,34,1,33,0,-968.16,-11030.700000000003
2026-02-24,5,0,5,0,-105.36,-11136.060000000003
2026-02-25,3,1,2,0,-12.32,-11148.380000000003
2026-02-27,29,1,28,0,-531.21,-11679.590000000004
2026-03-02,4,1,3,0,35.480000000000004,-11644.110000000004
2026-03-03,14,6,8,0,1066.04,-10578.070000000003
2026-03-04,2,2,0,0,163.36,-10414.710000000003
2026-03-05,4,0,4,0,-73.71000000000001,-10488.420000000002
2026-03-06,10,2,8,0,80.30000000000001,-10408.120000000003
2026-03-09,5,0,5,0,-190.34,-10598.460000000003
2026-03-10,23,6,17,0,-442.06,-11040.520000000002
2026-03-11,7,1,6,0,-123.27,-11163.790000000003
2026-03-12,7,3,4,0,55.1,-11108.690000000002
2026-03-13,1,1,0,0,180.19,-10928.500000000002
2026-03-16,11,7,4,0,637.48,-10291.020000000002
