Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,59,13,46,0,-97.10000000000001,-97.10000000000001
2025-04,217,33,184,0,-970.08,-1067.18
2025-05,210,46,164,0,-371.42,-1438.6000000000001
2025-06,138,31,107,0,875.74,-562.8600000000001
2025-07,173,52,121,0,1452.2,889.3399999999999
2025-08,137,23,114,0,-664.22,225.1199999999999
2025-09,227,36,191,0,-1729.92,-1504.8000000000002
2025-10,206,18,188,0,-2368.7400000000002,-3873.5400000000004
2025-11,183,49,134,0,-469.32,-4342.860000000001
2025-12,185,34,151,0,-1632.97,-5975.830000000001
2026-01,212,21,191,0,-4304.79,-10280.62
2026-02,206,31,175,0,-1398.97,-11679.59
2026-03,207,61,146,0,1015.2999999999998,-10664.29
2026-04,168,29,139,0,-583.39,-11247.68
2026-05,225,70,155,0,2765.25,-8482.43
2026-06,211,37,174,0,-629.05,-9111.48
2026-07,147,41,106,0,782.9699999999999,-8328.51
2026-08,239,34,202,0,-2557.11,-10885.62
2026-09,141,50,85,0,3285.85,-7599.77
