Month,Trades,Wins,Losses,BE,WinRate%,NetPnL($),ProfitFactor,CumProfit($)
2025-09,45,13,19,13,40.6,16.87,1.46,16.87
2025-10,57,21,16,20,56.8,99.43,2.19,116.3
2025-11,56,20,19,17,51.3,42.27,1.49,158.57
2025-12,74,34,24,16,58.6,125.96,2.27,284.53
2026-01,49,21,20,8,51.2,113.61,2.38,398.14
2026-02,49,15,24,10,38.5,22.69,1.15,420.83
2026-03,55,15,29,11,34.1,-26.0,0.88,394.83
2026-04,59,15,23,21,39.5,25.53,1.25,420.36
2026-05,69,22,26,21,45.8,60.23,1.55,480.59
2026-06,52,17,24,11,41.5,16.32,1.14,496.91
2026-07,53,15,24,14,38.5,24.99,1.29,521.9
2026-08,61,24,20,17,54.5,109.46,2.32,631.36
2026-09,28,9,14,5,39.1,33.88,1.63,665.24
