Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1425,186,1239,0,592.8000000000001,592.8000000000001
2025-04,4201,629,3572,0,1217.33,1810.13
2025-05,4528,563,3965,0,-1982.27,-172.13999999999987
2025-06,4474,555,3919,0,-565.37,-737.5099999999999
2025-07,4984,577,4407,0,-1090.45,-1827.96
2025-08,4566,551,4015,0,-2120.25,-3948.21
2025-09,4241,704,3537,0,7078.34,3130.13
2025-10,4723,611,4112,0,2150.8900000000003,5281.02
2025-11,4328,714,3614,0,7750.46,13031.48
2025-12,4732,668,4064,0,6273.070000000001,19304.55
2026-01,4596,699,3897,0,10281.69,29586.239999999998
2026-02,4545,555,3990,0,-1930.48,27655.76
2026-03,4531,523,4008,0,-2675.3199999999997,24980.44
2026-04,4497,561,3932,0,-268.4000000000002,24712.039999999997
2026-05,4797,628,4169,0,-4070.9300000000003,20641.109999999997
2026-06,4659,570,4089,0,-5132.7,15508.409999999996
2026-07,5121,640,4468,0,-1414.8300000000002,14093.579999999996
2026-08,4393,499,3894,0,-4987.92,9105.659999999996
2026-09,2908,416,2474,0,5949.28,15054.939999999995
